label_str,ltable_id,rtable_id,label,id_x,name_x,description_x,price_x,id_y,name_y,description_y,price_y
No,665,633,0,665,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t 2 handsets up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,633,panasonic kx-tg9372b expandable digital cordless phone,1 x phone line ( s ) black,86.54
No,997,542,0,997,canon pink 8.0 megapixel powershot digital camera sd1100isp,canon pink 8.0 megapixel powershot digital camera sd1100isp 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology melody pink finish,178.0,542,canon powershot sd1100 is digital elph camera swing silver 2508b001,"canon powershot sd1100 is 8 megapixels , iso 1600 , 3x optical zoom digital camera swing silver",
No,665,634,0,665,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t 2 handsets up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,634,panasonic kx-tg9344t expandable digital cordless phone,1 x phone line ( s ),116.21
No,696,773,0,696,lg lfc25770sw 25.0 cu . ft. smooth white french door bottom freezer refrigerator lfc25770wh,lg lfc25770sw 25.0 cu . ft. smooth white french door bottom freezer refrigerator lfc25770wh 4 slide out tempered glass shelves internal led touch pad digital temperature controls 2 humidity crispers 4 compartment crisper system multi air flow cooling iceplus accelerated freezing function lodecibel quiet operation bioshield anti bacterial door seal pull out freezer drawer smooth white finish,,773,lg 25 cf refrigerator 3 door white tall,,
No,665,641,0,665,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t 2 handsets up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,641,panasonic kx-tg9348t expandable digital cordless phone,1 x phone line ( s ) metallic black,
No,563,764,0,563,sony black 1080p upscaling dvd player dvpns700hb,sony black 1080p upscaling dvd player dvpns700hb 1080p upscaling video output through hdmi connection bravia sync high resolution jpeg output precision cinema progressive technology precision drive child lock multi disc resume multi brand tv remote control black finish,,764,sony dvp-ns700h / s dvd player dvpns700hs,"dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , svcd , video cd playback 1 disc ( s ) progressive scan silver",111.68
No,528,879,0,528,sony dvp-fx820 black 8 ' portable dvd player dvpfx820,"sony dvp-fx820 black 8 ' portable dvd player dvpfx820 swivel & flip screen with dual sensor for remote control control buttons on screen bezel 12 bit video dac with 108 mhz processing removable , rechargeable battery & car adapter included black finish",,879,sony dvpfx820 portable dvd player dvpfx820/w,"8 ' lcd dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , mp3 , jpeg playback 1 disc ( s ) progressive scan white",149.0
No,692,784,0,692,lg 5.6 cu . ft. black freestanding electric range lre30453bk,lg 5.6 cu . ft. black freestanding electric range lre30453bk intuitouch control system evenjet convection system 5.6 cubic capacity wideview oven window 5 radiant elements 25 heating settings black finish,,784,lg 5.6 cu.ft . freestanding electric range,,
No,301,426,0,301,lg wm2233w 4.0 cu ft white front load washer wm2233wh,lg wm2233w 4.0 cu ft white front load washer wm2233wh 4.0 cu . ft. capacity senseclean system water heater 7 washing programs 5 temperature levels 4 tray detergent dispenser sanitary cycle 1100 rpm maximum spin white finish,,426,lg 4.0 cu . ft. capacity front load washer w / sanitary cycle,,
No,1007,423,0,1007,lg white xl load capacity electric dryer dle0442wh,lg white xl load capacity electric dryer dle0442wh 7.3 cu . ft. capacity sensor dry system 9 drying programs 5 temperature levels precise temperature control with a variable heat source drying rack upfront electronic control with dial-a-cycle porcelain top lodecibel quiet operation white finish,,423,lg electric dryer with 9 drying programs,,
No,948,1000,0,948,canon powershot black 14.7 megapixel digital camera sd990isb,canon powershot black 14.7 megapixel digital camera sd990isb 14.7 megapixel 3.7 x optical zoom optical image stabilizer optical viewfinder large high-quality 2.5 ' purecolor lcd digic 4 image processor face detection self-timer intelligent contrast correction quick mode print/share button black finish,,1000,"canon powershot sd990 is 14 megapixel digital camera w / 3.7 x optical zoom , ua len , face detection , 2.5 lcd , & iso 1600 silver 3191b001",,299.88
No,479,792,0,479,sony black cyber-shot digital camera dscw150b,sony dscw150 black cyber-shot digital camera dscw150b 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide black finish,,792,sony cyber-shot dsc-w150 digital camera red dscw150r,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,139.94
No,665,639,0,665,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t,panasonic dect 6.0 black metallic expandable digital cordless phone system kxtg9332t 2 handsets up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,639,panasonic kx-tg9333t cordless phone kx-tg9333t,panasonic dect 6.0 1.9 ghz expandable cordless phone with digital answering system,
No,587,230,0,587,belkin cush top for computer laptop f8n044org,"belkin cush top for computer laptop f8n044org uniquely designed soft material for comfortable laptop use on the couch , bed , or floor convenient storage pocket center multi-sides accommodate any side laptop 6 colors to choose from orange finish",,230,belkin cushtop f8n044-grn,- green,
No,749,639,0,749,panasonic dect 6.0 silver expandable digital cordless phone system kxtg9332s,panasonic dect 6.0 silver expandable digital cordless phone system kxtg9332s 2 handsets system digital answering machine ringer id talking caller id voicemail hold mute clock alarm led lighting night mode speakerphone intercom 11 days standby 5 hours talk time silver finish,,639,panasonic kx-tg9333t cordless phone kx-tg9333t,panasonic dect 6.0 1.9 ghz expandable cordless phone with digital answering system,
No,386,424,0,386,lg dlex8377nm navy blue xl capacity electric steamdryer dlex8377blue,lg dlex8377nm navy blue xl capacity electric steamdryer dlex8377blue 7.3 cu . ft. capacity intelligent electronic controls with dual led display and dial-a-cycle dual humidity sensors precise temperature control with a variable heater 4 way venting drum light navy blue finish,,424,lg xl capacity electric dryer,,
No,405,628,0,405,sony mylo black personal communicator com2black,sony mylo black personal communicator com2black 3.5 ' wvga lcd touch screen 1.3 megapixel camera voice calling with skype ieee 802.11 b/g wireless lan music and video player memory stick duo/pro duo expansion slot 1gb internal memory built-in microphone black finish,,628,"sony mylo com-2 pda ( 1gb , memory stick duo ) personal communicator com2white",,197.88
No,764,634,0,764,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,634,panasonic kx-tg9344t expandable digital cordless phone,1 x phone line ( s ),116.21
No,669,587,0,669,sony dslr-a350 digital camera and 18-70mm zoom lens dslra350k,sony dslr-a350 digital camera and 18-70mm zoom lens dslra350k 14.2 megapixel tiltable 2.7 clear photo lcd plus screen smart teleconverter 2x zoom bionz image processor super steadyshot in-camera image stabilization anti-dust technology eye-start autofocus system auto pop-up flash black finish,,587,sony alpha dslr-a350 digital slr camera dslra350,14.2 megapixel 16:9 2.7 ' active matrix tft color lcd,594.73
No,141,173,0,141,panasonic lithium ion rechargeable battery black finish cgrs006a1b,panasonic lithium ion rechargeable battery cgrs006a1b compatible with dmcfz7 and dmcfz30 digital cameras,,173,panasonic cga-s007a / 1b lithium ion digital camera battery,lithium ion ( li-ion ) 3.7 v dc photo battery,
No,388,453,0,388,lg dlex8377wm white xl capacity electric steamdryer dlex8377wh,lg dlex8377wm white xl capacity electric steamdryer dlex8377wh 7.3 cu . ft. capacity intelligent electronic controls with dual led display and dial-a-cycle dual humidity sensors precise temperature control with a variable heater 4 way venting drum light white finish,,453,lg 27 ' front-load electric dryer with 7.3 cu . ft. capacity,,
No,764,635,0,764,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t,panasonic black expandable digital cordless dect 6.0 phone system kxtg9348t automatic clarity booster 5 hours talk time 11 days standby white backlit lcd 6-step speakerphone volume 1 drop & splash resistant phone 1.9 ghz frequency range night mode black finish,,635,panasonic kx-tg9343t cordless phone,panasonic kx-tg9343t dect 6.0 expandable digital cordless answering system w/3 handsets,102.12
No,298,423,0,298,lg pearl gray xl capacity electric dryer dle5955g,lg pearl gray xl capacity electric dryer dle5955g 7.3 cu . ft. capacity 9 drying programs 5 temperature levels precise temperature control with variable heat source flowsense duct clogging indicator upfront electronic control panel with dual led display and dial-a-cycle lodecibel quiet operation pearl gray finish,,423,lg electric dryer with 9 drying programs,,
No,480,880,0,480,sony red cyber-shot digital camera dscw150r,sony dscw150 red cyber-shot digital camera dscw150r 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide red finish,,880,sony cyber-shot dsc-w150 digital camera black dscw150/b,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,129.99
No,720,800,0,720,lg 2.0 cu . ft. over-the-range black microwave oven lmvm2085bk,lg 2.0 cu . ft. over-the-range black microwave oven lmvm2085bk warming lamp glide & spin sliding tray with turntable sensor cook feature 300 cfm exhaust system horizontal keypad elegant hidden vent wideview window halogen cooktop lighting black finish,,800,lg 2.0 cu.ft . over the range microwave oven,,
No,614,636,0,614,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9341t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9341t up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,,636,panasonic kx-tg9342t cordless phone,"1 x phone line ( s ) black , metallic",
No,770,624,0,770,garmin nuvi 205w gps navigation system 0100071840,"garmin nuvi 205w gps navigation system 0100071840 4.3 ' tft display contiguous u.s. , canada or regional sections of europe preloaded maps voice prompts 3d map option auto re-route choice of route setup fm traffic compatible msn direct for u.s. compatible touchscreen qwerty or abc keyboard sd card slot up to 4 hours of battery life anti-theft garmin lock grey finish",,624,garmin nvi 255w automobile navigator 010-00718-20,"garmin nuvi 255w 4.3 ' gps w / text to speech , where am i ?",204.99
No,298,453,0,298,lg pearl gray xl capacity electric dryer dle5955g,lg pearl gray xl capacity electric dryer dle5955g 7.3 cu . ft. capacity 9 drying programs 5 temperature levels precise temperature control with variable heat source flowsense duct clogging indicator upfront electronic control panel with dual led display and dial-a-cycle lodecibel quiet operation pearl gray finish,,453,lg 27 ' front-load electric dryer with 7.3 cu . ft. capacity,,
No,480,844,0,480,sony red cyber-shot digital camera dscw150r,sony dscw150 red cyber-shot digital camera dscw150r 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide red finish,,844,sony cyber-shot dsc-w150 digital camera silver dscw150,8.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,129.99
