label_str,label,id_x,name_x,description_x,price_x,id_y,name_y,description_y,price_y
Yes,1,47,omnimount tv top shelf mount cch1p,"omnimount tv top shelf mount cch1p tv top shelf mount for crt , lcd & dlp tvs platinum finish",,79,omnimount tv top shelf mount cch1p,steel 30 lb,
Yes,1,680,sony 32 ' bravia l-series black lcd flat panel hdtv kdl32l4000,"sony 32 ' bravia l-series black lcd flat panel hdtv kdl32l4000 1366 x 768 resolution up to 1080/60p input capable via hdmi atsc/ntsc tuner with qam 2,000:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d digital comb filter vesa hole spacing compatible black finish",,840,sony bravia kdl-32l4000 32 ' lcd tv kdl32l4000,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",597.72
Yes,1,672,sony picture station digital photo printer dppfp95,"sony picture station digital photo printer dppfp95 hdmi output lab-quality prints in 45 seconds one-button auto touch-up compatible with memory stick , sd , compact flash , and xd card white finish",,909,sony picture station digital photo printer dppfp95,,
Yes,1,775,samsung 7.1-channel blu-ray home theater system htbd2txaa,samsung ht-bd2t 7.1-channel blu-ray home theater system htbd2txaa 1100 watts total system power dolby true hd and dts-hd compatibility 1080 dvd up-conversion with hdmi full hd 1080p/24p playback black finish,,914,"samsung ht-bd2t blu-ray 7.1 home theater system blu-ray , dvd & cd playback , fm receiver w/30 station presets , 1100w total output , 4 tower speakers & subwoofer ht-bd2t / xaa",,
Yes,1,81,omnimount g-303 gray stellar series audio tower g303gr,omnimount g-303 gray stellar series audio tower g303gr supports tabletop flat panels three floating shelf design integrated cable management gray finish,,257,omnimount 3-shelf large-component tower stellarg303g,,
Yes,1,125,tivo series2 dual tuner digital video recorder tcd649080,tivo series2 dual tuner digital video recorder tcd649080 up to 80-hours of digital recording time pause and create instant replays of live tv supports recording from cable and satellite sources only usb connectivity remote control tivo service required and sold separately,,129,tivo tcd649080 series2 digital video recorder up to 80 hours capacity,,
Yes,1,904,olympus stylus 1050 sw black digital camera stylus1050swb,olympus stylus 1050 sw black digital camera stylus1050swb 10.1 megapixel shockproof waterproof up to 10 ft. freezeproof 3x optical zoom 2.7 ' lcd display 41.6 mb internal memory tap control feature face detection 27 shooting modes continuous shooting high iso sensitivity in-camera panorama movie mode black finish,,932,"olympus stylus 1050 sw 10 megapixel digital camera w / 3x optical zoom , 2.7 ' lcd , waterproof , shockproof & freezeproof , tap control , & face detection black 226455",,228.95
Yes,1,1079,logitech 2.1 multimedia silver speaker system z2300,logitech 2.1 multimedia silver speaker system z2300 thx-certified 200 watts of rms power ( 400 watts of peak power ) distortion-free bass phase plug design soundtouch wired remote control multiple source?ready 2.5 ' polished aluminum phase plug speaker driver 8 ' long-throw ported subwoofer driver silver finish,,22,logitech z-2300 multimedia speaker system 970118-0403,2.1-channel,
Yes,1,556,panasonic black 1080p up-conversion dvd recorder dmrez28k,panasonic black 1080p up-conversion dvd recorder dmrez28k digital tuner and 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback divx playback auto drive select black finish,,597,panasonic dmr-ez28k dvd player/recorder,"dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw , secure digital ( sd ) dvd video , cd-da , mp3 , jpeg , divx , pcm , mpeg-2 playback progressive scan 14.33 hour recording",
Yes,1,857,panasonic black lumix 10.1 megapixel digital camera dmcfz28k,panasonic black lumix 10.1 megapixel digital camera dmcfz28k 10.1 megapixel 27 - 486mm f/2 .8 -4.4 leica dc lens 2.7 ' tft lcd display ( 230k dots ) 18x optical zoom intelligent auto mode burst mode auto angle detection 50mb built-in memory black finish,,1012,panasonic lumix dmc-fz28 digital camera black,"panasonic dmc-fz28k lumix 10 megapixel digital camera with 27mm leica dc vario-elmarit lens , 18x optical zoom and intelligent auto mode black",
Yes,1,867,applecare protection plan for ipod touch or ipod classic mb591lla,applecare protection plan for ipod touch or ipod classic mb591lla extends your service coverage to up to two years includes both phone and in store techinical support,59.0,1001,applecare for ipod touch or ipod classic mb591ll/a,,49.99
