label_str,ltable_id,rtable_id,label,id_x,name_x,description_x,price_x,id_y,name_y,description_y,price_y
Yes,173,334,1,173,garmin gps carrying case black finish 0101070400,garmin gps carrying case 0101070400 protect your gps by absorbing the impact from routine drops prevent damage from scratches and spills,30.0,334,garmin lightweight gps case 010-10704-00,clam shell,
Yes,988,1022,1,988,sony 8 ' black lcd digital photo frame dpfd80,sony 8 ' black lcd digital photo frame dpfd80 4:3 widescreen lcd display vga 800 x 600 resolution 256 mb internal memory portrait-landscape auto orientation sensor on-off backlit sony logo clock and calendar mode usb and memory card slots remote control black finish,179.99,1022,sony dpfd80 digital photo frame,photo viewer 8 ' lcd,
Yes,873,1060,1,873,onkyo 7.1 channel home theater black receiver txsr876b,"onkyo 7.1 channel home theater black receiver txsr876b 140w x 7 hdmi v1 .3 thx ultra2 plus certification all discrete circuitry optimum gain volume audyssey dynamic eq dolby digital plus , dolby truehd , dts-hd master audio decoder hdmi deep color capable ( 36bit ) 1080p upscaling via hdmi analog to hdmi upconversion permanent memory storage back-lit remote black finish",,1060,onkyo tx-sr876 a/v receiver txsr876b,"dolby digital , dolby truehd , dts-hd , dolby digital ex , dolby digital plus , dolby pro logic ii , dolby truehd , dts , dts-es , dts neo :6 , thx surround ex , thx select 2fm , am",1077.98
Yes,359,308,1,359,sanus 15 ' 32 ' flat panel tv black wall mount mf209b1,sanus 15 ' 32 ' flat panel tv black wall mount mf209b1 mf209b1 supports up to 60 lbs easy to install virtual axis 3d tilting system black finish,96.0,308,sanus mf209-b1 full motion wall tv mount,60 lb,
Yes,893,906,1,893,klipsch 5.25 ' thx ultra2 in-ceiling white loudspeaker ks7502thx,klipsch 5.25 ' thx ultra2 in-ceiling white loudspeaker ks7502thx 100w continuous/400w peak power handling dual 1 ' titanium diaphragm compression drivers mated to wdst tractrix horn array dual 5.25 ' high-output cerametallic cone woofers mdf and aluminum motorboard/abs shell enclosure white finish price per speaker,1000.0,906,klipsch ks7502thx ( each ) ks-7502-thx,,1000.0
Yes,1013,802,1,1013,logitech quickcam vision pro for mac 960000254,logitech quickcam vision pro for mac 960000254 carl zeiss optics premium autofocus 720p high-quality images ( 1600 x 1200 ) 2 megapixel sensor rightlight 2 technology integrated microphone 30 frames per second universal monitor clip,129.0,802,logitech quickcam vision pro webcam 960-000254,for mac,
Yes,248,180,1,248,microsoft office home and student 2007 for windows vista 79g00007,"microsoft office home and student 2007 for windows vista - 79g00007 included excel 2007 , onenote 2007 , powerpoint 2007 , word 2007 results-oriented user interface smartart diagramming and enhanced charting capabilities enhanced reliability and security features document inspector",,180,microsoft office 2007 home and student 79g-00007,,82.99
Yes,405,552,1,405,sony mylo black personal communicator com2black,sony mylo black personal communicator com2black 3.5 ' wvga lcd touch screen 1.3 megapixel camera voice calling with skype ieee 802.11 b/g wireless lan music and video player memory stick duo/pro duo expansion slot 1gb internal memory built-in microphone black finish,,552,sony mylo com-2 personal communicator black com2black,,
Yes,865,937,1,865,nikon black 13.5 megapixel coolpix digital camera coolpixp6000bk,nikon black 13.5 megapixel coolpix digital camera coolpixp6000bk 13.5 effective megapixels 4x zoom-nikkor lens 2.7 ' high-resolution wide-viewing angle lcd monitor optical lens shift vr image stabilization wired lan connectivity built-in gps unit wireless remote control in-camera red-eye fix d-lighting black finish,,937,"nikon coolpix p6000 13 megapixels digital camera w / 4x wide angle optical zoom , 2.7 ' hi-res lcd , optical vr image stabilization , face priority af & tv movies with sound black 26135",,
Yes,13,197,1,13,sony 400 disc megastorage cd changer cdpcx455,sony 400 disc megastorage cd changer cdpcx455 mp3 playback capability cd-r/cd-rw playback twin jog dial for easy disc access megachanger control optical digital output keyboard input remote commander ® remote control,,197,sony cdp-cx455 cd player/changer cdpcx455,"cd-r , cd-rw , cd-rom mp3 , cd-text playback 400 disc ( s ) 32 programmable track ( s )",219.99
