label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
Yes,28,2000,1,28,gen-x media made easy vol . 3,gen-x,49.95,2000,media made easy volume 3,,24.9
Yes,1279,1030,1,1279,palo alto business plan pro premier 2007,palo-alto-software,199.0,1030,palo alto software bpdx palo alto business plan 2007 pro premier edition complete product business planning 1 user complete product standard pc,palo-alto-software,184.97
Yes,364,2395,1,364,adobe premiere elements 3.0 [ lb ],adobe,99.99,2395,adobe premiere elements 3 video editing software for windows consumer video editing software,,99.95
Yes,1162,2109,1,1162,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,2109,motu digital performer dp5 software music production software,,319.95
Yes,741,358,1,741,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,358,adobe illustrator cs3 for mac academic,adobe-education-box,199.99
Yes,1105,2490,1,1105,punch ! master landscape & home design,punch ! software,59.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
Yes,1143,2196,1,1143,crystal 3d impact ! pro 1.25 ( jewel case ),crystalgraphics,79.0,2196,crystal-graphics crystal 3d impact ! pro animation software,,99.95
Yes,1246,1061,1,1246,peachtree by sage complete accounting 2007,sage software,269.99,1061,sage software peachtree complete accounting 2007 software for windows tax & finance software,,249.95
Yes,921,177,1,921,the little mermaid/beauty and the beast,yamaha,34.95,177,phillip keveren disney 's the little mermaid/beauty and the beast,,23.59
Yes,600,2115,1,600,apple . mac 4.0 online service family pack,apple,179.95,2115,apple . mac family pack software five user license with 1-year subscription apple & mac software,,179.0
Yes,1319,683,1,1319,video patrol 5.0 by honest technology,global-marketing-partners,50.86,683,global marketing partners video patrol 5.0 honest technology,global-marketing-partners,25.2
Yes,1159,2117,1,1159,nero 7 ultra edition enhanced pc & home entrmnt soln,neso usa,99.99,2117,nero nero 7 ultra edition enhanced cd/dvd burning software for windows authoring software,,79.99
Yes,1346,604,1,1346,visual thesaurus the thinkmap inc.,csdc,39.95,604,csdc visual thesaurus the thinkmap inc.,,33.52
Yes,809,2585,1,809,hoyle : classic collection 2006,encore,19.99,2585,encore software 11052 hoyle : classic collection 2006 win 98 me 2000 xp,,18.97
Yes,599,2501,1,599,instant immersion french deluxe 2.0,topics entertainment,49.99,2501,instant immers french dlx 2,,27.57
Yes,1285,497,1,1285,black & white platinum pack ( mac ),feral interactive,29.99,497,feral interactive limited black & white platinum pack,,27.37
Yes,995,2253,1,995,apple remote desktop 3 unlim managed systems,apple,499.0,2253,apple remote desktop 3 unlimited client edition mac apple & mac software,,498.95
Yes,1012,813,1,1012,reel deal slots 2.0 for pc,phantom efx,9.99,813,phantom efx reel deal slots v 2.0,,7.36
Yes,932,774,1,932,registry mechanic 5.x pc system repair,pc tools,29.95,774,encore software 10598 registry mechanic win 98 me 2000 xp,,26.97
Yes,708,404,1,708,alliance future combat,strategy first,19.99,404,strategy first inc. alliance future combat,,16.37
Yes,1115,1427,1,1115,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,1427,punch software 85100 punch!master landscape pro v10 and home design,,59.97
Yes,790,2572,1,790,scrabble champion edition,encore,19.95,2572,encore software 11192 scrabble champion edition win 98 me 2000 xp,,18.97
Yes,454,2136,1,454,land before time : preschool,brighter-minds-media-inc .,9.99,2136,the land before time : preschool adventure,brighter-minds-media-inc .,12.9
Yes,1190,2468,1,1190,punch ! professional home design,punch ! software,89.99,2468,punch software 14100 punch ! professional home design suite for windows,punch software,62.99
Yes,1119,707,1,1119,apple remote desktop 3 10 managed systems,apple,299.0,707,apple remote desktop 3 ( 10 managed systems ),,299.99
Yes,1014,2835,1,1014,elementary advantage 2008,encore,39.99,2835,elementary advantage 2008 encore,,39.95
Yes,1275,2420,1,1275,punch ! super home suite,punch ! software,49.99,2420,punch software 38100 punch ! super home suite ( small box ),punch software,45.99
Yes,216,485,1,216,adobe illustrator cs3 upgrade from freehand [ mac ],adobe,199.0,485,adobe illustrator cs3 upgrade from freehand for mac,,206.99
Yes,1023,786,1,1023,aquarium 3 in 1 collection limited edition for win/mac,encore software,19.99,786,encore software 10123 aquarium 3-in-one limited edition ( eurpac ) win 95 98 me 2000 xp,,18.97
Yes,733,2934,1,733,clickart 1.2 million dvd 2006 by broderbund,encore software,49.99,2934,encore software 10466 clickart 1.2 million dvd 2006 by broderbund,,41.97
Yes,1008,1534,1,1008,norton internet security 2008 10 user,symantec,199.99,1534,norton internet security 2008 10 user,,199.99
Yes,268,3128,1,268,world of rainbow fish,global-software-publishing,19.99,3128,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19
