label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
No,45,2987,0,45,elementary school success deluxe 2006,topics entertainment,49.99,2987,elementary school success deluxe 2006,,12.95
No,233,2840,0,233,photo explosion deluxe 3.0,nova development,49.99,2840,photo explosion deluxe 3.0 nova,,49.99
No,513,989,0,513,mavis beacon typing 17 ( win/mac ),encore software,19.99,989,broderbund mavis beacon teaches typing standard17,,22.99
No,135,1886,0,135,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,1886,c8a-00066 microsoft dynamics crm professional v. 3.0 product upgrade license 20,,9676.92
No,1004,1378,0,1004,professor teaches excel & word,individual software,19.99,1378,individual software pmm-xw4 professor teaches excel & word 2007 win 2000 xp vista,,17.97
No,630,2858,0,630,stopzilla 4.0,roxio,47.33,2858,stopzilla ! 4.0 ( pc ) roxio,,29.99
No,636,2527,0,636,mavis beacon teaches typing deluxe v17,encore software,39.99,2527,encore software 10075 encore mavis beacon teaches typing v. 17.0 standard typing tutor pc mac,,18.97
No,669,2638,0,669,printmaster gold v 17.0,encore software,19.99,2638,printmaster gold v 17.0 ( win 98 me 2000 xp ),,19.95
No,1110,456,0,1110,the print shop 22 pro publisher deluxe sb cs by the print shop,encore software,99.95,456,encore inc print shop 22 pro publisher deluxe,,85.07
No,640,3201,0,640,alsoft diskwarrior : mac univeral binary,alsoft,,3201,alsoft disk warrior v/5 cd,,107.95
No,614,1207,0,614,microsoft works suite 2006,microsoft,99.0,1207,microsoft ( r ) works suite 2006,,99.99
No,256,1770,0,256,hallmark card studio 2005 deluxe,sierra home,49.99,1770,hgw hallmark card studio 2005 deluxe complete package 1 user cd win,,47.43
No,476,2877,0,476,ae outlook 2007 win32,microsoft corp,,2877,microsoft office outlook 2007,,109.95
No,67,1573,0,67,netgear vpn01l vpn client software,netgear,89.99,1573,prosafe vpn client software single user netgear inc. vpn01l,,27.78
No,646,809,0,646,instant immersion german audio,topics entertainment,,809,topics entertainment 40206 instant immersion german lab ( software/audiobook/workbook ) win 98 me 2000 xp/mac os 9 or x,,34.97
No,1272,1044,0,1272,punch ! home design architectural series 18,punch ! software,129.99,1044,punch software 41100 punch ! home design architectural series 18 complete product architectural 1 user ( s ) complete product standard english pc,,112.97
No,400,2943,0,400,pokemon team turbo ( jewel case ),valusoft,9.99,2943,pokemon team turbo,,7.95
No,1284,2490,0,1284,punch ! master landscape & home design,punch ! software,99.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
No,570,2271,0,570,professor teaches windows xp,individual software,19.99,2271,individual software prm-wn5 professor teaches windows xp,individual software,24.99
No,576,3041,0,576,cluefinders 3rd grade adventures : mystery of mathra,the learning company,24.99,3041,cluefinders 3rd grade adventures : mystery of mathra,,10.95
