label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
Yes,1291,701,1,1291,big tiny little a tiny little christmas,yamaha,34.95,701,big tiny little big tiny little a tiny little christmas,,23.59
Yes,1177,2137,1,1177,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,2137,microsoft microsoft office 2004 software suite mac education apple & mac software,,148.95
Yes,1133,304,1,1133,apple shake 4.1 visual effects ( mac ),apple computer,499.0,304,apple shake 4.1 mac os x,,499.99
Yes,1082,2069,1,1082,pitstop pro 7.0 upgr 5.x or below,enfocus software,299.0,2069,enfocus software pp7.0-u1-001 pitstop pro 7.0 upgr 5.x or below,,257.97
Yes,1036,769,1,1036,brain food games : cranium collection 2006,encore,19.95,769,encore software 11252 brain food games : cranium collection 2006 win 98 me 2000 xp,,18.97
No,13,767,0,13,spy sweeper spanish,webroot software,29.95,767,webroot software 65210 spy sweeper 3 pc,webroot software,31.99
Yes,750,342,1,750,microspot interiors ( mac ),microspot ltd.,99.95,342,microspot interiors version 3.6,,85.99
Yes,68,1578,1,68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,,1578,mom standard ops mgmt lic 2005 english mlp 5 oml,,889.99
Yes,1068,2023,1,1068,the print shop elements : labels & logos sb cs by the print shop,encore software,,2023,encore software 11041 the print shop elements : labels & logos sb cs by the print shop,,17.97
No,260,1744,0,260,cisco 2600xm ser ios ip/fw/ids cd26xm-ch = ),cisco systems enterprise,,1744,cd26xm-ch = cisco ios ip/fw/ids complete package cd,,360.82
Yes,671,223,1,671,sonic mega collection plus,sega-of-america-inc .,19.99,223,sega of america inc sonic mega collection,sega-of-america-inc .,17.55
Yes,950,2288,1,950,apple logic pro 7.2 upgrade,apple,299.0,2288,apple/emagic logic pro 7.2 software upgrade music production software,,259.95
No,406,3041,0,406,cluefinders 3rd grade,the learning company,,3041,cluefinders 3rd grade adventures : mystery of mathra,,10.95
No,45,2072,0,45,elementary school success deluxe 2006,topics entertainment,49.99,2072,topics entertainment reference success deluxe 2006,,22.9
No,952,2117,0,952,nero 7 ultra edition enhanced,nero inc.,99.99,2117,nero nero 7 ultra edition enhanced cd/dvd burning software for windows authoring software,,79.99
Yes,1014,2835,1,1014,elementary advantage 2008,encore,39.99,2835,elementary advantage 2008 encore,,39.95
Yes,75,1594,1,75,epson storyteller photo book creator 8 x 10 ( 20 pages ),epson,29.99,1594,epson s041886 story teller 8 x 10 20 pages,,32.91
Yes,1091,1401,1,1091,soundtrack 1.2,apple,199.99,1401,apple software m9301z/b soundtrack v1 .2,apple software,199.0
Yes,1145,904,1,1145,microsoft office 2004 standard ( mac ),microsoft,399.99,904,microsoft office 2004 standard,,369.99
No,223,82,0,223,symantec client security 3.1 with groupware protection business pack 50 user,symantec,3732.0,82,10517940 symantec client security with groupware protection business pack v. 3.1 -,,3323.92
No,1145,2411,0,1145,microsoft office 2004 standard ( mac ),microsoft,399.99,2411,office mac 2004 microsoft 731-01002,,331.77
Yes,1187,565,1,1187,clickart 1.2 million 2006 dvd,encore software,,565,encore inc clickart 1.2 million 2006 dvd,,42.27
No,705,204,0,705,professional home design suite platinum,punch ! software,99.95,204,punch software pro home design suite,,61.8
