label_str,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
No,0,527,adobe premiere elements 3.0,adobe,99.99,1696,adobe systems inc 29180248 adobe photoshop elements 5.0 / premiere elements 3.0,,139.51
No,0,963,synet pc sharing kit ( w/17ft usb ext.cable ),synet-electronics-inc .,,751,sup-040c synet pc sharing kit w / usb cable 5.18 m complete package 1 user win,,26.59
No,0,1001,printmaster 17 platinum by encore software,encore software,39.99,2071,encore software 13791 super granny 3,,17.97
No,0,1252,adobe photoshop cs2 fundamental techniques by julieanne kost,software cinema,,902,adobe photoshop cs3 extended for mac upgrade,,329.99
No,0,614,microsoft works suite 2006,microsoft,99.0,2821,microsoft excel 2007 ( pc ),,229.95
No,0,781,microsoft excel 2004 ( mac ),microsoft,229.99,2600,microsoft word 2004 upgrade for mac os x apple & mac software,,108.95
No,0,1145,microsoft office 2004 standard ( mac ),microsoft,399.99,1170,microsoft ( r ) works suite 2005,,99.99
No,0,947,britannica deluxe,avanquest software,29.95,1685,britannica deluxe 2008,,26.5
No,0,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,2803,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0
No,0,662,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft,669.0,1163,microsoft ( r ) office 2004 for mac student and teacher edition,,146.95
No,0,322,adobe premiere pro 2.0,adobe,849.0,182,adobe cs3 web premium upsell,,1434.99
No,0,532,quickbooks pro 2007 for mac ( mac ),intuit,199.95,1136,quicken ( r ) for mac 2007,,69.99
No,0,49,reference success deluxe 2006,topics entertainment,49.95,2060,elementary school success deluxe 2006,,15.9
No,0,808,3d home architect landscape designer v8,encore software,29.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
No,0,753,microsoft office & windows training professional,topics entertainment,49.95,3160,microsoft ( r ) windows ( r ) xp professional edition with sp2,,199.99
No,0,1118,adobe creative suite cs3 master collection upsell,adobe,1999.0,91,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,,18.88
No,0,722,steinberg nuendo 3 digital audio software,steinberg,2499.0,2238,steinberg cubase studio 4 software competitive crossgrade music production software,,199.99
No,0,146,microsoft mappoint 2006 standard edition,microsoft,299.0,1207,microsoft ( r ) works suite 2006,,99.99
No,0,532,quickbooks pro 2007 for mac ( mac ),intuit,199.95,1036,quickbooks ( r ) pro 2007 edition 3-user,,499.99
No,0,1151,pc tools spyware doctor 2007,encore,29.95,2063,encore software 10991 pc tools spyware doctor 2007 sbcs by pc tools,,25.97
No,0,229,vcomm system suite professional 7,avanquest,49.95,1734,avanquest usa 1461 system suit 7 professional,avanquest usa,44.99
No,0,431,microsoft windows server 2003 client additional license for devices 5 pack,microsoft,209.0,1011,microsoft windows server 2003 terminal server cals 20-pack ( per device ),,2429.99
No,0,779,3d home architect landscape v. 8 by encore software,encore software,39.99,2030,encore software 13911 3d home architect home & landscape deluxe suite version 9,,33.97
No,0,923,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,897,adobe contribute cs3 upgrade,,82.99
No,0,620,adobe premiere pro cs3,adobe,799.0,893,adobe cs3 design premium upgrade,,619.99
No,0,158,photo objects 150 000 for macintosh,nova development,49.99,986,adobe photoshop cs3 for mac,,609.99
No,0,883,adobe creative suite cs3 production premium,adobe,1699.0,369,adobe cs3 design premium upsell,,1639.99
No,0,1129,bias deck le 3.5 macintosh cd,bias,99.0,1355,bias deck 3.5 software music production software,,299.0
No,0,1321,instant immersion american sign language win/mac,topics entertainment,9.99,2143,instant immersion translator deluxe 2.0,,22.9
No,0,649,mcafee total protection 2007 3 users,mcafee,99.99,3033,quickbooks pro 2007 3 user,,409.52
No,0,271,microsoft office small business 2007,microsoft software,735.33,2816,microsoft word 2007 upgrade ( pc ),,109.95
No,0,1118,adobe creative suite cs3 master collection upsell,adobe,1999.0,3161,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96
No,0,823,microsoft word 2004 upgrade ( mac ),microsoft,109.99,2165,microsoft microsoft office pro 2004 software suite mac apple & mac software,,498.95
No,0,228,microsoft licenses win svr 2003 device cal l/sa ( r1800144 ),microsoft licenses,74.59,1715,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58
No,0,536,adobe photoshop elements 4.0 ( mac ),adobe,89.99,371,adobe photoshop cs3 for mac upgrade,,189.99
No,0,1118,adobe creative suite cs3 master collection upsell,adobe,1999.0,369,adobe cs3 design premium upsell,,1639.99
No,0,196,world of warcraft pc,vivendi,35.7,405,world of warcraft burning crusade,,39.99
No,0,109,instant immersion french 2.0,topics entertainment,29.99,845,topics entertainment instant immersion italian 2.0,,17.55
No,0,251,microsoft crm small business ed cal 3.0 license pack user cal,microsoft software,9929.0,1715,r18-00144 microsoft windows server license & software assurance 1 cal open business,,41.58
No,0,1078,3d home architect home v. 8 by encore software,encore software,39.99,2565,marine aquarium & goldfishscreen saver by encore software,,18.27
No,0,465,adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0,566,adobe cs3 web standard,,1035.99
No,0,155,softgrid cal for ts 4.1 english mlp 20 user cal,microsoft,,1893,vbc-00002 microsoft softgrid for terminal services v. 4.1 license 20 user cals -,,419.8
No,0,453,phonics success deluxe 2006 ( large box ),topics entertainment,49.99,548,topics entertainment math success deluxe 2008,,31.06
No,0,386,quickstudy u.s. government,selectsoft publishing,19.95,2954,quickstudy us government,,8.95
No,0,504,adobe audition 2.0 upgrade,adobe,129.0,2372,adobe audition 2.0 audio production software music production software,,348.95
No,0,1021,resumemaker professional 12.0,individual software,29.99,1447,i copydvds 2 professional edition,me-too-software,27.9
No,0,506,corel wordperfect office 12 standard upgrade,corel,149.99,946,adobe cs3 design standard upgrade,,413.99
No,0,1287,punch ! 5 in 1 home design,punch ! software,39.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
No,0,361,adobe creative suite cs3 web standard upsell,adobe,799.0,566,adobe cs3 web standard,,1035.99
No,0,371,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,3183,microsoft ( r ) money 2004 standard,,29.99
No,0,350,adobe creative suite cs3 design standard upsell [ mac ],adobe,899.0,984,adobe indesign cs3 for mac academic,,192.99
No,0,584,microsoft windows vista business full version [ dvd ],microsoft,299.95,111,t74-01215 microsoft windows small business server 2003 version upgrade license 5 addit,,186.73
No,0,1111,apple final cut studio 2 ( mac ),apple,1299.0,2852,. mac ( mac ) apple,,99.99
No,0,737,adobe photoshop cs2 ( mac ) [ old version ],adobe,649.0,1135,adobe photoshop cs3 extended complete package 1 user academic cd mac,,279.0
No,0,958,onone plug-in suite 3 for adobe photoshop,onone software,399.95,263,adobe photoshop cs3 extended for mac,,935.99
No,0,762,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,29.99,2123,i copy dvds 2 ultra edition,,29.9
No,0,1064,adventure workshop 4th-6th grade 7th ed sb cs by riverdeep,encore software,19.99,2026,encore software 12431 adventure workshop 8 4th-6th,,17.97
No,0,615,adobe creative suite cs3 design standard upgrade,adobe,399.0,192,adobe cs3 flash professional upgrade,,205.99
No,0,1065,ares rising,interplay,69.95,1629,warlords iii darklords rising,red-orb-entertainment,11.95
No,0,737,adobe photoshop cs2 ( mac ) [ old version ],adobe,649.0,1595,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
No,0,1349,adobe creative suite cs3 web standard upsell [ mac ],adobe,799.0,558,adobe cs3 design standard,,1243.99
No,0,1198,quickbooks point-of-sale basic 6.0,intuit,799.95,1402,quickbooks ( r ),,103.99
No,0,553,adobe indesign cs3 upgrade from pagemaker,adobe,199.0,485,adobe illustrator cs3 upgrade from freehand for mac,,206.99
No,0,269,microsoft publisher with digital imaging 2003 [ old version ],microsoft,209.99,1805,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8
No,0,565,adobe creative suite cs3 web premium [ mac ],adobe,1599.0,2112,adobe production premium cs3 software suite for windows professional editing software,,1698.95
