label_str,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
Yes,1,199,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,,1717,902453-007-e rumba unix-hp edition upgrade license 1 user volume level e 1000-1999,,106.48
Yes,1,92,computrace lojack for laptops 4 year subscription,absolute software,119.99,1648,absolute software lfl-n2-48 computrace lojack for laptops 4 year license,,105.68
Yes,1,626,steinberg halion symphonic orchestra virtual instrument ( academic version ),steinberg,374.99,292,steinberg software halion symphonic orchestra educational edition,,545.51
Yes,1,633,sportsman 's double play,masque,,281,masque publishing sportsmans double play with american billiards,,17.55
Yes,1,902,sony sound effects series vol 1 through 10,sony-pictures-digital-entertainment,,2605,madison media software ssda3000 sony sound effects series vol 1 through 10,sony-pictures-digital-entertainment,370.97
Yes,1,423,microsoft licenses word olp c ( 05903871 ),microsoft licenses,205.73,2364,microsoft 059-03871 molpc word sa,,111.78
Yes,1,876,adobe soundbooth cs3 [ mac ],adobe,199.0,2473,adobe soundbooth cs3 audio editing software mac music production software,,198.95
Yes,1,1271,anime studio 5 win 98/me 2000/xp mac os 10.4 & up,aladdin systems,49.99,467,allume anime studio 5,,44.99
Yes,1,557,adobe creative suite cs3 production premium,adobe,1699.0,2112,adobe production premium cs3 software suite for windows professional editing software,,1698.95
Yes,1,1145,microsoft office 2004 standard ( mac ),microsoft,399.99,2195,microsoft microsoft office 2004 software suite mac apple & mac software,,399.95
Yes,1,323,geometry ( win/mac ) ( jewel case ),fogware publishing,9.99,3106,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
Yes,1,924,hoyle casino ( 2007 ),encore,19.99,2553,encore software 10675 hoyle casino 2007 win 98 me 2000 xp,,18.97
Yes,1,681,hospital tycoon for pc,warner-new-media,29.99,267,warner home video games hospital tycoon,warner-new-media,26.33
Yes,1,698,morpheus photo animation suite,smith-micro-software-inc .,49.99,414,allume morpheus photo animation suite,smith-micro-software-inc .,41.99
Yes,1,1079,tropico 2 : pirate cove ( mac ),destineer inc,29.99,997,destineer tropico 2 : pirate cove,,29.99
Yes,1,308,virusbarrier x4 10.4 for mac-10 users,intego,329.95,3098,virusbarrier x4 10.4 for mac-10 users ( vbx4-10u ),,316.75
Yes,1,1132,civilization iv dvd-rom ( mac ),aspyr media,49.99,935,civilization iv mac os x aspyr,,45.99
Yes,1,524,apple final cut express hd 3.5 ( mac ),apple computer,299.0,2680,apple final cut express hd 3.5 video editing software for mac av production software,,299.0
Yes,1,505,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ],symantec,99.95,2162,symantec norton internet security 3.0 software for macintosh apple & mac software,,89.95
Yes,1,1310,ca antivirus 2007,computer associates,39.95,663,ca antivirus 2007,,32.28
Yes,1,673,bryce 6,re : launch,109.95,255,re : launch bryce 6,,94.94
Yes,1,548,quickbooks pro 2007 small business financial software,intuit,199.95,2302,intuit quickbooks pro 2007 software for windows tax & finance software,,179.95
Yes,1,1284,punch ! master landscape & home design,punch ! software,99.99,1052,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
Yes,1,284,sibelius 5 educational edition,sibelius-software-ltd .,329.0,3028,sibelius sibelius 5 software educational discount music production software,sibelius-software-ltd .,248.95
Yes,1,795,ca arcserve bkup r11 .5 win client vss software snap-shot - prod only,computer associates,,2594,computer associates babwbr1151s33 brightstor arcserve backup client for vss software snap-shot v. 11.5 for windows with service pack 1 add-on backup & recovery 1 server ( s ) complete product standard multilingual pc,,799.97
Yes,1,949,leave the lights on ( mac ),aspyr media,9.99,890,aspyr leave the lights on-bundle,,29.99
Yes,1,935,corel dvd moviefactory 6.0 plus,corel,79.99,2179,corel ulead dvd moviefactory plus 6 software for windows authoring software,,79.95
Yes,1,1031,singleclick network now ! pro,encore software,39.99,763,encore software 10392 network now ! pro ( win 98 me 2000 xp ),,34.97
Yes,1,1333,age of empires iii : the warchiefs expansion pack ( mac ),destineer,34.95,993,age of empires iii : warchiefs expansion pack,,34.95
Yes,1,1175,apple mac os x tiger 10.4.6 family pack ( mac ),apple computer,199.0,926,apple mac os x 10.4.6 tiger family pack,,185.99
Yes,1,836,i love the usa,global-software-publishing,9.99,2893,global software a1055 i love the usa,global software,11.99
Yes,1,660,usa/world extreme landscapes bundle,abacus,39.95,235,abacus usa/world extreme landscapes bundle,,38.43
Yes,1,1158,burning monkey solitaire 2005 edition,freeverse software,24.99,912,freeverse burning monkey solitaire 3d,,24.99
Yes,1,1325,street atlas usa 2007 plus dvd,delorme,59.95,677,delorme mapping street atlas usa 2007 plus dvd xx,,53.37
Yes,1,955,turbocad mac 3d for mac,imsi,249.99,851,imsi design llc turbocad mac 3d,,204.67
Yes,1,957,peachtree by sage premium accounting 2007 accountants ' edition,sage software,499.99,857,sage ( ptree ) premium accounting accountants edition 2007,,492.01
Yes,1,753,microsoft office & windows training professional,topics entertainment,49.95,1497,microsoft office and windows training professional,,29.99
Yes,1,421,3mds network operations manager diy annual subscptn 101 500u,3m,,2382,3mds network operations managerdiy annual subscptn 101 500u,,144.63
Yes,1,1248,american idol extreme music creator,sony media,49.95,1065,sony media software american idol extreme music creator software music production software,,49.95
Yes,1,348,microsoft office & windows training,topics entertainment,29.99,1585,microsoft office and windows training ( win 98 me nt 2000 xp ),,29.95
Yes,1,672,scholastic brain play : pre-kindergarten 1st grade,topics entertainment,19.99,1519,brain play preschool 1st grade,,25.99
Yes,1,811,chicken hunter wanted jc,encore,9.99,2582,encore software 10760 chicken hunter wanted win 98 me 2000 xp,,7.69
Yes,1,199,netmanage upg rumba unix-hp edition level 902453-007-c ),netmanage,,65,902453-007-b rumba unix-hp edition upgrade license 1 user volume level b 5-49 c,,147.73
Yes,1,1239,close quarters conflict,groove media,19.99,505,groove media inc close quarters conflict,,16.37
Yes,1,600,apple . mac 4.0 online service family pack,apple,179.95,515,apple . mac 4.0 family pack ( new or renewal ),,145.99
Yes,1,1283,namo webeditor 2006,namo,99.99,496,csdc namo webeditor suite 2006,,83.92
Yes,1,963,synet pc sharing kit ( w/17ft usb ext.cable ),synet-electronics-inc .,,869,synet electronics inc. synet pc sharing kit ( w/17ft usb ext.cable ),synet-electronics-inc .,26.14
Yes,1,712,spongebob squarepants typing 2008 win/mac,encore software,19.95,401,encore inc spongebob squarepants typing fun,,17.1
Yes,1,686,lego star wars ( dvd ) ( mac ),aspyr media,29.99,248,aspyr lego star wars,,29.99
Yes,1,810,monopoly here & now,encore,19.95,2586,encore software 11180 monopoly here & now win 98 me 2000 xp,,18.97
Yes,1,1319,video patrol 5.0 by honest technology,global-marketing-partners,50.86,683,global marketing partners video patrol 5.0 honest technology,global-marketing-partners,25.2
Yes,1,748,rollercoaster tycoon 3 : soaked,aspyr media,19.99,351,rollercoaster tycoon 3 soaked,,23.99
Yes,1,731,instant immersion italian platinum,topics entertainment,129.99,2313,instant immersion italian platinum ( win 95 98 me nt 2000 xp ),,129.99
Yes,1,89,everquest : titanium,sony-creative-software,19.95,1616,sony online entertainment inc 41032 everquest : titanium win 2000 xp,sony-creative-software,23.09
Yes,1,1344,sportsman 's double play,masque publishing,19.95,644,masque publishing sportsmans double play,,17.55
Yes,1,987,casual games pack,egames,19.99,825,egames . inc casual games pack,,16.62
Yes,1,701,airline tycoon deluxe,topware interactive,19.99,411,sos aggregation company airline tycoon deluxe topware interactive,,15.95
Yes,1,1098,rollercoaster tycoon 3 ( mac ),aspyr media,49.99,965,aspyr roller coaster tycoon 3 mac os x,,45.99
Yes,1,584,microsoft windows vista business full version [ dvd ],microsoft,299.95,2818,microsoft windows vista business ( pc ),,299.99
Yes,1,1247,audio success series : winning strategies,topics entertainment,,516,topics entertainment audio success series : winning strategies,,31.06
Yes,1,1151,pc tools spyware doctor 2007,encore,29.95,2126,encore software 10990 pc tools spyware doctor 2007 win 98 me 2000 xp,,26.97
Yes,1,803,adobe creative suite cs3 master collection [ mac ],adobe,2499.0,953,adobe cs3 master collection,,2499.99
Yes,1,1088,suitcase fusion 1u box,extensis,,975,extensis suitcase fusion 1u box,,99.99
Yes,1,437,aircraft power pack for ms flight simulator,red mile,29.99,2211,red mile entertainment 124 aircraft power pack for ms flight simulator win 98 me nt 2000 xp,,27.97
Yes,1,1167,micromat techtool protege with firewire device,micromat,,907,micromat techtool protege utility with 1gb firewire flash drive,,219.99
Yes,1,115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95,1685,britannica deluxe 2008,,26.5
Yes,1,1139,cakewalk sonar 6 producer ed,cakewalk,799.0,2197,cakewalk sonar 6 producers edition software music production software,,459.95
Yes,1,268,world of rainbow fish,global-software-publishing,19.99,3128,world of rainbow fish ( a9839m2h ),global-software-publishing,19.19
Yes,1,449,boomerang webpage designer gold,boomerang,,2149,web page designer gold,,36.9
Yes,1,692,sunset boulevard,yamaha,31.95,425,mike garson andrew lloyd webber andrew lloyd webber favorites featuring sunset boulevard,,23.59
Yes,1,1195,home design architect series 3000 v10 .0,punch ! software,149.95,1028,punch software 83100 punch ! home design architectural series 3000 v 10 ( win 98 me nt 2000 xp ),,124.97
Yes,1,123,master server-upg,novastor corporation,,1740,master server-upg,,174.99
Yes,1,1038,printmaster 17 gold by encore software,encore software,30.66,2339,encore software 10478 encore printmaster v. 17.0 gold complete product creativity application 1 user ( s ) complete product standard pc,,17.97
Yes,1,171,microsoft licenses word mac 10.0 eng govt ( d4800369 ),microsoft licenses,349.83,1472,microsoft d48-00369 word mac 10.0 eng gov ' t 659556873790,,191.94
Yes,1,1088,suitcase fusion 1u box,extensis,,975,extensis suitcase fusion 1u box,,99.99
Yes,1,1179,microspot x-rip ( mac ),microspot ltd,349.99,896,microspot x-rip large format print driver for os x,,335.99
Yes,1,799,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,2592,hp t1936aa uao digital sending software 4.0 ( 10 device license ),hp,369.99
Yes,1,480,jumpstart world 1st grade,knowledge adventure,19.99,2457,knowledge adventure inc. 20223 jumpstart world 1st grade mini box,,16.93
Yes,1,411,podmaxx '07,bling,29.99,2872,podmaxx '07 eb carlson,,29.99
Yes,1,488,star wars battlefront ( mac ),aspyr media,39.99,2415,aspyr media 10900 star wars battlefront mac,aspyr media,39.99
Yes,1,1018,wheel of fortune deluxe,encore,19.99,771,encore software 14130 wheel of fortune deluxe win 98 me 2000 xp vista,,18.97
Yes,1,783,corel dvd moviefactory 6.0,corel,49.99,2173,corel ulead dvd moviefactory 6 software for windows authoring software,,49.95
Yes,1,561,quicken 2007 basic,intuit,29.95,2386,intuit quicken basic 2007 software for windows tax & finance software,,29.95
Yes,1,1258,punch ! home design architectura series 18,punch ! software,129.99,2926,punch software 41100 punch ! home design architectural series 18,punch software,118.99
Yes,1,1258,punch ! home design architectura series 18,punch ! software,129.99,2765,punch software 41100 punch ! home design architectural series 18,punch software,118.99
Yes,1,738,print shop 22 deluxe,encore,49.99,433,encore inc print shop 22 deluxe,,42.69
Yes,1,1234,logic express 6,apple,299.99,2593,apple software t9164ll/a logic express 6,apple software,219.0
Yes,1,57,museums of the world,topics entertainment,19.99,2101,topics presents : museums of world,,12.9
Yes,1,756,44 years of the fantastic four,git corp,49.99,341,git 44 years of marvel fantastic 4 dvd-rom,,42.99
Yes,1,675,art explosion 600 000 images,nova development,79.99,258,nova development corp art explosion 600000 images,,72.86
Yes,1,817,macjournal v4 ( mac ),csdc,39.95,400,mariner macjournal 4 journal blog podcast software,,38.99
Yes,1,647,readiris pro 11 corporate edition ( mac ),iris,499.95,311,iris inc readiris pro 11 corporate edition,,430.58
Yes,1,1175,apple mac os x tiger 10.4.6 family pack ( mac ),apple computer,199.0,926,apple mac os x 10.4.6 tiger family pack,,185.99
Yes,1,570,professor teaches windows xp,individual software,19.99,2861,professor teaches windows xp individual software,,19.99
Yes,1,542,apple ilife '06 ( mac dvd ) [ older version ],apple computer,79.0,1504,ilife '06 mac apple ma166z/a,,47.8
Yes,1,579,h & r block taxcut 2006 premium federal + state + efile,h & r block,59.99,2532,h & r block taxcut premium federal and state with e-file efile software mac/win tax & finance software,,54.95
Yes,1,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,3027,microsoft office visio standard 2007 upgrade ( pc ),,129.95
Yes,1,1309,academy award winners,yamaha,31.95,662,bobby walters academy award winners,,23.59
Yes,1,629,soho labels & envelopes chronos l.c.,chronos,29.99,275,chronos soho labels and envelopes,,29.99
Yes,1,95,autocad 2007 courseware customizing the interface,autodesk psg,47.95,1630,autocad 2007 coursewarecustomizing the interface,,39.69
Yes,1,1306,emedia guitarpro 5 win/mac,emedia,59.99,705,emedia music corp guitar pro v 5.1 ( hybrid ),,51.92
Yes,1,1173,amazing spider-man complete comic book collection win/mac,git corp,49.99,899,git amazing spider-man the complete collection dvd-rom,,42.99
Yes,1,966,gmp data rescue license 24300 ),global-marketing-partners,349.0,874,prosoft engineering data rescue universal license,global-marketing-partners,236.34
Yes,1,855,micromat podlock ( mac ),micromat,69.0,189,micromat podlock ipod utility software,,39.99
Yes,1,525,corel painter x win/mac,corel,429.0,237,corel painter x,,395.99
Yes,1,505,norton internet security mac 3.0 [ antivirus firewall privacy controls iclean ],symantec,99.95,2162,symantec norton internet security 3.0 software for macintosh apple & mac software,,89.95
Yes,1,372,readiris pro 11 corporate edition,iris inc.,399.99,2827,readiris pro 11 corporate edition for pc,,349.99
Yes,1,1175,apple mac os x tiger 10.4.6 family pack ( mac ),apple computer,199.0,2158,apple mac os x v10 .4 tiger software family pack apple & mac software,,199.95
