label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
No,571,946,0,571,microsoft visio standard 2007 version upgrade,microsoft,129.95,946,adobe cs3 design standard upgrade,,413.99
No,574,2423,0,574,microsoft mappoint 2006 with gps,microsoft,349.0,2423,microsoft student with encarta premium 2008 complete package,,43.6
No,250,2839,0,250,adobe after effects professional 7.0,adobe,999.0,2839,adobe flash cs3 professional ( mac ),,699.0
No,396,1253,0,396,quickbooks premier non-profit edition 2005,intuit inc.,499.95,1253,quickbooks ( r ),,199.99
No,892,951,0,892,adobe premiere pro cs3,adobe,799.0,951,adobe soundbooth cs3 academic,,95.99
No,1229,1595,0,1229,adobe photoshop cs2 advanced techniques by julieanne kost,software cinema,,1595,adobe photoshop cs3 ( v10 .0 ) mac adobe 13102488,,537.65
No,510,2845,0,510,reader rabbit learning system 1st grade,encore software,29.99,2845,dr. seuss reading learning system 2008 encore,,19.95
No,26,521,0,26,adobe premiere pro cs3 upgrade,adobe,299.0,521,adobe cs3 design premium,,1865.99
No,1272,2438,0,1272,punch ! home design architectural series 18,punch ! software,129.99,2438,punch software 17100 punch ! super home suite v. 3.0 complete product architectural 1 user complete productcomplete productstandard english pc,,45.97
No,808,313,0,808,3d home architect landscape designer v8,encore software,29.99,313,encore inc 3d home architect home design deluxe version 9,,25.49
No,93,2959,0,93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,2959,microsoft windows vista business full version,,249.95
No,1334,3188,0,1334,adobe creative suite cs3 web standard,adobe,999.0,3188,adobe creative suite 3 web standard complete package academic cd mac,,369.0
No,669,674,0,669,printmaster gold v 17.0,encore software,19.99,674,print master platinum v17,,29.9
No,632,2112,0,632,microsoft windows xp professional full version with sp2,microsoft,299.99,2112,adobe production premium cs3 software suite for windows professional editing software,,1698.95
No,113,3117,0,113,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85,3117,microsoft windows terminal server 2003 client additional license for users - 5 user ( 824048 ),,719.04
No,753,2524,0,753,microsoft office & windows training professional,topics entertainment,49.95,2524,adobe after effects cs3 professional software for windows effects software,,998.95
No,709,1548,0,709,dk smart steps 3rd grade,global-software-publishing,9.99,1548,smart steps 4th grade ( jc ),dorling-kindersley-multimedia - ( dk ),11.95
No,604,915,0,604,microsoft office small business 2007 full version,microsoft,449.95,915,microsoft office 2004 std upgrade,,219.99
No,719,3106,0,719,best of card games ( jewel case ),on-hand-software,9.99,3106,geometry ( win/mac ) ( jewel case ) ( 10158 ),,9.59
No,646,845,0,646,instant immersion german audio,topics entertainment,,845,topics entertainment instant immersion italian 2.0,,17.55
No,371,3183,0,371,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,3183,microsoft ( r ) money 2004 standard,,29.99
No,1182,2398,0,1182,onone software pxl smartscale windows and macintosh ),onone software,,2398,onone software inc. mpr-40212,onone software inc.,66.27
No,244,2803,0,244,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,5479.0,2803,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0
No,587,2474,0,587,microsoft word 2007 version upgrade,microsoft,109.95,2474,word mac 2004 upgrade microsoft d48-00488,,97.36
No,562,3161,0,562,adobe dreamweaver cs3 upgrade [ mac ],adobe,199.0,3161,adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,,859.96
No,1174,939,0,1174,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,939,adobe cs3 design premium academic,,575.99
No,72,3110,0,72,midway arcade treasures ( jewel case ),encore software,9.99,3110,cross stitch design studio ( jewel case ) ( 8006 ),m-and-r-technologies,9.59
No,953,1510,0,953,digital vault,stompsoft inc.,29.99,1510,digital video & audio prod book,sony-pictures-digital-entertainment,27.5
No,584,2518,0,584,microsoft windows vista business full version [ dvd ],microsoft,299.95,2518,microsoft powerpoint mac 2004 version upgrade,,89.99
