label_str,ltable_id,rtable_id,label,id_x,title_x,manufacturer_x,price_x,id_y,title_y,manufacturer_y,price_y
Yes,1279,1030,1,1279,palo alto business plan pro premier 2007,palo-alto-software,199.0,1030,palo alto software bpdx palo alto business plan 2007 pro premier edition complete product business planning 1 user complete product standard pc,palo-alto-software,184.97
Yes,642,2839,1,642,adobe flash pro cs3 [ mac ],adobe,699.0,2839,adobe flash cs3 professional ( mac ),,699.0
Yes,364,2395,1,364,adobe premiere elements 3.0 [ lb ],adobe,99.99,2395,adobe premiere elements 3 video editing software for windows consumer video editing software,,99.95
Yes,1162,2109,1,1162,motu digital performer 5 digital audio software competitive upgrade ( mac only ),motu,395.0,2109,motu digital performer dp5 software music production software,,319.95
Yes,741,358,1,741,illustrator cs3 13 mac ed 1u,adobe-education-box,199.0,358,adobe illustrator cs3 for mac academic,adobe-education-box,199.99
Yes,1105,2490,1,1105,punch ! master landscape & home design,punch ! software,59.99,2490,punch software 26100 punch ! master landscape & home design architectural 1 user ( s ) pc,,45.97
Yes,1143,2196,1,1143,crystal 3d impact ! pro 1.25 ( jewel case ),crystalgraphics,79.0,2196,crystal-graphics crystal 3d impact ! pro animation software,,99.95
Yes,1246,1061,1,1246,peachtree by sage complete accounting 2007,sage software,269.99,1061,sage software peachtree complete accounting 2007 software for windows tax & finance software,,249.95
Yes,600,2115,1,600,apple . mac 4.0 online service family pack,apple,179.95,2115,apple . mac family pack software five user license with 1-year subscription apple & mac software,,179.0
Yes,490,2803,1,490,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,2803,visual studio pro 2005 upgrade ( pc ) microsoft,,549.0
Yes,1319,683,1,1319,video patrol 5.0 by honest technology,global-marketing-partners,50.86,683,global marketing partners video patrol 5.0 honest technology,global-marketing-partners,25.2
Yes,1159,2117,1,1159,nero 7 ultra edition enhanced pc & home entrmnt soln,neso usa,99.99,2117,nero nero 7 ultra edition enhanced cd/dvd burning software for windows authoring software,,79.99
Yes,587,2816,1,587,microsoft word 2007 version upgrade,microsoft,109.95,2816,microsoft word 2007 upgrade ( pc ),,109.95
Yes,648,305,1,648,internet security barrier x4 antispam edition,intego inc,,305,intego inc internet security barrier x4 antispam edition,,71.75
