label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
Yes,610,1595,1,610,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari",sigmod conference,1995,1595,efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",international conference on management of data,1995
Yes,1453,299,1,1453,independence is good : dependency-based histogram synopses for high-dimensional data,"amol deshpande , rajeev rastogi , minos n. garofalakis",sigmod conference,2001,299,independence is good : dependency-based histogram synopses for high-dimensional data,"amol deshpande , minos garofalakis , rajeev rastogi",international conference on management of data,2001
Yes,2580,616,1,2580,emergent semantics and the multimedia semantic web,"william i. grosky , farshad fotouhi , d. v. sreenath",sigmod record,2002,616,emergent semantics and the multimedia semantic web,"w. i. grosky , d. v. sreenath , f. fotouhi",acm sigmod record,2002
Yes,1061,1284,1,1061,data management for pervasive computing,"mitch cherniack , stanley b. zdonik , michael j. franklin",vldb,2001,1284,data management for pervasive computing,"mitch cherniack , michael j. franklin , stanley b. zdonik",very large data bases,2001
Yes,99,2247,1,99,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",vldb,1994,2247,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",very large data bases,1994
Yes,1348,186,1,1348,approximate medians and other quantiles in one pass and with limited memory,"bruce g. lindsay , gurmeet singh manku , sridhar rajagopalan",sigmod conference,1998,186,approximate medians and other quantiles in one pass and with limited memory,"gurmeet singh manku , sridhar rajagopalan , bruce g. lindsay",international conference on management of data,1998
Yes,1548,2291,1,1548,graphdb : modeling and querying graphs in databases,ralf hartmut güting,vldb,1994,2291,graphdb : modeling and querying graphs in databases,ralf hartmut g &#252; ting,very large data bases,1994
Yes,1054,1155,1,1054,concurrency and recovery for index trees,"david b. lomet , betty salzberg",vldb j.,1997,1155,concurrency and recovery for index trees,"david lomet , betty salzberg",the vldb journal -- the international journal on very large data bases,1997
Yes,2523,1376,1,2523,integrating the ub-tree into a database system kernel,"robert fenk , rudolf bayer , volker markl , martin zirkel , frank ramsak , klaus elhardt",vldb,2000,1376,integrating the ub-tree into a database system kernel,"frank ramsak , volker markl , robert fenk , martin zirkel , klaus elhardt , rudolf bayer",very large data bases,2000
Yes,740,1177,1,740,fast image retrieval using color-spatial information,"kian-lee tan , tat-seng chua , beng chin ooi , wynne hsu",vldb j.,1998,1177,fast image retrieval using color-spatial information,"beng chin ooi , kian-lee tan , tat seng chua , wynne hsu",the vldb journal -- the international journal on very large data bases,1998
Yes,57,899,1,57,research in information managment at dublin city university,"alan f. smeaton , mark roantree",sigmod record,2002,899,research in information managment at dublin city university,"mark roantree , alan f. smeaton",acm sigmod record,2002
Yes,2038,895,1,2038,controlling data warehouses with knowledge networks,"jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer",vldb,2000,895,controlling data warehouses with knowledge networks,"elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke",very large data bases,2000
Yes,2589,431,1,2589,eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",sigmod conference,2000,431,eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",international conference on management of data,2000
Yes,624,920,1,624,ansi sql hierarchical processing can fully integrate native xml,michael m. david,sigmod record,2003,920,ansi sql hierarchical processing can fully integrate native xml,michael m. david,acm sigmod record,2003
Yes,2227,2091,1,2227,warping indexes with envelope transforms for query by humming,"dennis shasha , yunyue zhu",sigmod conference,2003,2091,warping indexes with envelope transforms for query by humming,"yunyue zhu , dennis shasha",international conference on management of data,2003
Yes,2179,1254,1,2179,opt + + : an object-oriented implementation for extensible database query optimization,"david j. dewitt , navin kabra",vldb j.,1999,1254,opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra , david j. dewitt",the vldb journal -- the international journal on very large data bases,1999
Yes,2141,861,1,2141,the evolution of the web and implications for an incremental crawler,"junghoo cho , hector garcia-molina",vldb,2000,861,the evolution of the web and implications for an incremental crawler,"junghoo cho , hector garcia-molina",very large data bases,2000
Yes,49,1913,1,49,an overview of data warehousing and olap technology,"surajit chaudhuri , umeshwar dayal",sigmod record,1997,1913,an overview of data warehousing and olap technology,"surajit chaudhuri , umeshwar dayal",acm sigmod record,1997
Yes,1236,660,1,1236,the xml typechecking problem,dan suciu,sigmod record,2002,660,the xml typechecking problem,dan suciu,acm sigmod record,2002
Yes,2081,1419,1,2081,naos - efficient and modular reactive capabilities in an object-oriented database system,"thierry coupaye , t. svensen , christine collet",vldb,1994,1419,naos - efficient and modular reactive capabilities in an object-oriented database system,"christine collet , thierry coupaye , t. svensen",very large data bases,1994
Yes,331,1701,1,331,comprehension syntax,"limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin",sigmod record,1994,1701,comprehension syntax,"peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",acm sigmod record,1994
Yes,606,1438,1,606,the fittest survives : an adaptive approach to query optimization,"kian-lee tan , son dao , hongjun lu",vldb,1995,1438,the fittest survives : an adaptive approach to query optimization,"hongjun lu , kian-lee tan , son dao",very large data bases,1995
Yes,2063,1944,1,2063,the building blocks for specifying communication behavior of complex objects : an activity-driven approach,"ling liu , robert meersman",acm trans . database syst .,1996,1944,the building blocks for specifying communication behavior of complex objects : an activity-driven approach,"ling liu , robert meersman",acm transactions on database systems ( tods ),1996
Yes,424,1813,1,424,beyond market baskets : generalizing association rules to correlations,"rajeev motwani , sergey brin , craig silverstein",sigmod conference,1997,1813,beyond market baskets : generalizing association rules to correlations,"sergey brin , rajeev motwani , craig silverstein",international conference on management of data,1997
Yes,392,1768,1,392,materialized views and data warehouses,nick roussopoulos,sigmod record,1998,1768,materialized views and data warehouses,nick roussopoulos,acm sigmod record,1998
Yes,44,406,1,44,mocha : a database middleware system featuring automatic deployment of application-specific functionality,"manuel rodriguez-martinez , joseph jájá , john m. mcgann , nick roussopoulos , zhexuan song , stephen kelley , vadim katz",sigmod conference,2000,406,mocha : a database middleware system featuring automatic deployment of application-specific functionality,"manuel rodr &#237; guez-mart &#237; nez , nick roussopoulos , john m. mcgann , stephen kelley , vadim katz , zhexuan song , joseph j &#225; j &#225;",international conference on management of data,2000
Yes,774,826,1,774,user-defined table operators : enhancing extensibility for ordbms,"bernhard mitschang , michael jaedicke",vldb,1999,826,user-defined table operators : enhancing extensibility for ordbms,"michael jaedicke , bernhard mitschang",very large data bases,1999
Yes,972,1513,1,972,applying update streams in a soft real-time database system,"brad adelberg , hector garcia-molina , ben kao",sigmod conference,1995,1513,applying update streams in a soft real-time database system,"b. adelberg , h. garcia-molina , b. kao",international conference on management of data,1995
Yes,1559,1723,1,1559,multi-step processing of spatial joins,"ralf schneider , thomas brinkhoff , bernhard seeger , hans-peter kriegel",sigmod conference,1994,1723,multi-step processing of spatial joins,"thomas brinkhoff , hans-peter kriegel , ralf schneider , bernhard seeger",international conference on management of data,1994
Yes,2416,976,1,2416,filtering with approximate predicates,"hector garcia-molina , narayanan shivakumar , chandra chekuri",vldb,1998,976,filtering with approximate predicates,"narayanan shivakumar , hector garcia-molina , chandra chekuri",very large data bases,1998
Yes,1326,2230,1,1326,p-grid : a self-organizing structured p2p system,"zoran despotovic , manfred hauswirth , karl aberer , philippe cudré-mauroux , magdalena punceva , anwitaman datta , roman schmidt",sigmod record,2003,2230,p-grid : a self-organizing structured p2p system,"karl aberer , philippe cudr &#233; - mauroux , anwitaman datta , zoran despotovic , manfred hauswirth , magdalena punceva , roman schmidt",acm sigmod record,2003
Yes,441,1363,1,441,hierarchical compact cube for range-max queries,"hua-gang li , sin yeung lee , tok wang ling",vldb,2000,1363,hierarchical compact cube for range-max queries,"sin yeung lee , tok wang ling , hua-gang li",very large data bases,2000
Yes,2495,940,1,2495,optimizing queries across diverse data sources,"edward l. wimmers , donald kossmann , jun yang , laura m. haas",vldb,1997,940,optimizing queries across diverse data sources,"laura m. haas , donald kossmann , edward l. wimmers , jun yang",very large data bases,1997
Yes,1190,2221,1,1190,reasoning about spatial relationships in picture retrieval systems,"clement t. yu , a. prasad sistla , r. haddad",vldb,1994,2221,reasoning about spatial relationships in picture retrieval systems,"a. prasad sistla , clement t. yu , r. haddad",very large data bases,1994
Yes,1799,1976,1,1799,structures for manipulating proposed updates in object-oriented databases,"richard hull , mohammed rupawalla , michael doherty",sigmod conference,1996,1976,structures for manipulating proposed updates in object-oriented databases,"michael doherty , richard hull , mohammed rupawalla",international conference on management of data,1996
Yes,1666,1158,1,1666,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,"karl aberer , xiaoya yang , klemens böhm , erich j. neuhold",vldb j.,1997,1158,structured document storage and refined declarative and navigational access mechanisms in hyperstorm,"klemens b &#246; hm , karl aberer , erich j. neuhold , xiaoya yang",the vldb journal -- the international journal on very large data bases,1997
Yes,1115,1425,1,1115,towards automated performance tuning for complex workloads,"michael j. carey , manish mehta , miron livny , kurt p. brown",vldb,1994,1425,towards automated performance tuning for complex workloads,"kurt p. brown , manish mehta , michael j. carey , miron livny",very large data bases,1994
Yes,1718,1631,1,1718,odmg-93 : a standard for object-oriented dbmss,r. g. g. cattell,sigmod conference,1994,1631,odmg-93 : a standard for object-oriented dbmss,r. g. g. cattell,international conference on management of data,1994
Yes,2341,1046,1,2341,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",vldb,1996,1046,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases,1996
Yes,720,1248,1,720,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues","nelson mendonça mattos , joachim thomas , theo härder , stefan deßloch , bernhard mitschang",vldb j.,1998,1248,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues","stefan de &#223; loch , theo h &#228; rder , nelson mattos , bernhard mitschang , joachim thomas",the vldb journal -- the international journal on very large data bases,1998
Yes,73,311,1,73,prefer : a system for the efficient execution of multi-parametric ranked queries,"yannis papakonstantinou , vagelis hristidis , nick koudas",sigmod conference,2001,311,prefer : a system for the efficient execution of multi-parametric ranked queries,"vagelis hristidis , nick koudas , yannis papakonstantinou",international conference on management of data,2001
Yes,397,1016,1,397,bulk-loading techniques for object databases and an application to relational data,"claude delobel , sophie cluet , sihem amer-yahia",vldb,1998,1016,bulk-loading techniques for object databases and an application to relational data,"sihem amer-yahia , sophie cluet , claude delobel",very large data bases,1998
Yes,963,931,1,963,efficient testing of high performance transaction processing systems,"d. wildfogel , ramana yerneni",vldb,1997,931,efficient testing of high performance transaction processing systems,"d. wildfogel , ramana yerneni",very large data bases,1997
Yes,1266,2142,1,1266,in cyber space no one can hear you scream,chris pound,vldb,1999,2142,in cyber space no one can hear you scream,chris pound,very large data bases,1999
Yes,2504,1704,1,2504,the database research group at eth zurich,"hans-jörg schek , moira c. norrie , gerhard weikum , stephen blott",sigmod record,1994,1704,the database research group at eth zurich,"moira c. norrie , stephen m. blott , hans-j &#246; rg schek , gerhard weikum",acm sigmod record,1994
Yes,683,1744,1,683,virtual database technology,"venky harinarayan , ashish gupta , anand rajaraman",sigmod record,1997,1744,virtual database technology,"ashish gupta , venky harinarayan , anand rajaraman",acm sigmod record,1997
Yes,2309,2179,1,2309,actiview : adaptive data presentation using supersql,"motomichi toyama , yoko maeda",vldb,2001,2179,actiview : adaptive data presentation using supersql,"yoko maeda , motomichi toyama",very large data bases,2001
Yes,1438,1659,1,1438,implementing deletion in b + - trees,jan jannink,sigmod record,1995,1659,implementing deletion in b + - trees,jan jannink,acm sigmod record,1995
Yes,2000,1117,1,2000,retrieval of composite multimedia objects,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",vldb,1995,1117,retrieval of composite multimedia objects,"surajit chaudhuri , shahram ghandeharizadeh , cyrus shahabi",very large data bases,1995
Yes,2225,1243,1,2225,db2 spatial extender - spatial data within the rdbms,david w. adler,vldb,2001,1243,db2 spatial extender - spatial data within the rdbms,david w. adler,very large data bases,2001
Yes,1690,695,1,1690,partial results for online query processing,"joseph m. hellerstein , vijayshankar raman",sigmod conference,2002,695,partial results for online query processing,"vijayshankar raman , joseph m. hellerstein",international conference on management of data,2002
Yes,1746,1465,1,1746,duplicate removal in information system dissemination,"tak w. yan , hector garcia-molina",vldb,1995,1465,duplicate removal in information system dissemination,"tak w. yan , hector garcia-molina",very large data bases,1995
Yes,770,1691,1,770,research issues in active database systems : report from the closing panel at ride-ads '94,jennifer widom,sigmod record,1994,1691,research issues in active database systems : report from the closing panel at ride-ads '94,jennifer widom,acm sigmod record,1994
Yes,1328,517,1,1328,automata theory for xml researchers,frank neven,sigmod record,2002,517,automata theory for xml researchers,frank neven,acm sigmod record,2002
Yes,2131,225,1,2131,the trigs active object-oriented database system - an overview,"gerti kappel , werner retschitzegger",sigmod record,1998,225,the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",acm sigmod record,1998
Yes,2094,1570,1,2094,query evaluation in deductive databases with alternating fixpoint semantics,weidong chen,acm trans . database syst .,1995,1570,query evaluation in deductive databases with alternating fixpoint semantics,weidong chen,acm transactions on database systems ( tods ),1995
Yes,1993,1462,1,1993,aggregate-query processing in data warehousing environments,"venky harinarayan , dallan quass , ashish gupta",vldb,1995,1462,aggregate-query processing in data warehousing environments,"ashish gupta , venky harinarayan , dallan quass",very large data bases,1995
Yes,1557,2226,1,1557,power efficient data gathering and aggregation in wireless sensor networks,"ibrahim korpeoglu , hüseyin özgür tan",sigmod record,2003,2226,power efficient data gathering and aggregation in wireless sensor networks,"h &#252; seyin &#214; zg &#252; r tan , ibrahim k &#246; rpeo &#487; lu",acm sigmod record,2003
Yes,413,1129,1,413,zoo : a desktop experiment management environment,"miron livny , yannis e. ioannidis , nagavamsi ponnekanti , shivani gupta",vldb,1996,1129,zoo : a desktop experiment management environment,"yannis e. ioannidis , miron livny , s. gupta , nagavamsi ponnekanti",very large data bases,1996
