label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
No,924,1026,0,924,user-adaptive exploration of multidimensional data 2000,sunita sarawagi,vldb,,1026,"a foundation for multi-dimensional databases marc gyssens , laks v. s. lakshmanan",,very large data bases,1997.0
No,2296,639,0,2296,the mariposa distributed database management system sigmod record 1996,jeff sidell,,,639,"tigukat : a uniform behavioral objectbase management system m. tamer &#214; zsu , randal peters , duane szafron , boman irani , anna lipka , adriana mu &#241; oz 1995",,the vldb journal -- the international journal on very large data bases,
No,1187,1413,0,1187,relational databases for querying xml documents : limitations and opportunities vldb,"jeffrey f. naughton , kristin tufte , chun zhang , gang he , david j. dewitt , jayavel shanmugasundaram",,1999.0,1413,"storage and retrieval of xml data using relational databases surajit chaudhuri , kyuseok shim",,very large data bases,2001.0
No,671,2234,0,671,"guest editorial yannis e. ioannidis , raghu ramakrishnan , philip a. bernstein vldb j. 2003",,,,2234,guest editor 's introduction acm sigmod record 2003,karl aberer,,
No,1419,932,0,1419,preference formulas in relational queries jan chomicki,,acm trans . database syst .,2003.0,932,groupwise processing of relational queries,"damianos chatziantoniou , kenneth a. ross",very large data bases,1997.0
No,1814,797,0,1814,upsizing from file server to clent server architectures the access team,,sigmod conference,1995.0,797,an adaptive hybrid server architecture for client caching odbmss 1999,"kaladhar voruganti , m. tamer &#214; zsu , ronald c. unrau",very large data bases,
No,2111,542,0,2111,information director 's message sigmod record,alberto o. mendelzon,,2000.0,542,treasurer 's message joachim hammer,,acm sigmod record,2002.0
No,290,54,0,290,efficient computation of iceberg cubes with complex measures 2001,"guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,,54,"bottom-up computation of sparse and iceberg cube kevin beyer , raghu ramakrishnan",,international conference on management of data,1999.0
No,2546,670,0,2546,"infomaster : an information integration system arthur m. keller , michael r. genesereth , oliver m. duschka sigmod conference",,,1997.0,670,"supply chain infrastructures : system integration and information sharing michael o. ball , meng ma , louiqa raschid , zhengying zhao acm sigmod record",,,2002.0
No,1107,147,0,1107,the ecrc multi database system sigmod conference,"heribert schütz , willem jonker",,1995.0,147,"the multidimensional database system rasdaman p. baumann , a. dehmel , p. furtado , r. ritsch , n. widmann international conference on management of data",,,1998.0
No,932,1754,0,932,query rewriting for semistructured data sigmod conference 1999,"vasilis vassalos , yannis papakonstantinou",,,1754,semistructured and structured data in the web : going back and forth,"paolo atzeni , giansalvatore mecca , paolo merialdo",acm sigmod record,1997.0
No,2270,1318,0,2270,visdb : a system for visualizing large databases,"hans-peter kriegel , daniel a. keim",sigmod conference,1995.0,1318,vxmlr : a visual xml-relational database system 2001,"aoying zhou , hongjun lu , shihui zheng , yuqi liang , long zhang , wenyun ji , zengping tian",very large data bases,
No,1799,1035,0,1799,"structures for manipulating proposed updates in object-oriented databases richard hull , mohammed rupawalla , michael doherty 1996",,sigmod conference,,1035,"optimizing queries with universal quantification in object-oriented and object-relational databases jens clau &#223; en , alfons kemper , guido moerkotte , klaus peithner",,very large data bases,1997.0
No,826,1604,0,826,database research at the university of illinois at urbana-champaign 2002,"chengxiang zhai , marianne winslett , yuanyuan zhou , kevin chen-chuan chang , jiawei han , anhai doan",sigmod record,,1604,"data and knowledge base research at hong kong university of science and technology p. drew , b. hamidzadeh , k. karlapalem , a. kean , d. lee , q. li , f. lochovsky , c. d. shum , b. wuthrich acm sigmod record",,,1995.0
No,2013,1049,0,2013,"incremental maintenance for materialized views over semistructured data vasilis vassalos , janet l. wiener , michael rys , serge abiteboul , jason mchugh vldb 1998",,,,1049,query decomposition and view maintenance for query languages for unstructured data very large data bases,dan suciu,,1996.0
Yes,1770,1605,1,1770,the database group at national technical university of athens ( ntua ),"timos k. sellis , yannis vassiliou",sigmod record,1995.0,1605,the database group at national technical university of athens ( ntua ) corporate national technical univ. of athens,,acm sigmod record,1995.0
No,1291,70,0,1291,answering queries using views : a survey vldb j. 2001,alon y. halevy,,,70,answering complex sql queries using automatic summary tables international conference on management of data,"markos zaharioudakis , roberta cochrane , george lapis , hamid pirahesh , monica urata",,2000.0
No,1217,1665,0,1217,"smooth - a distributed multimedia database system christian hanin , roland tusch , carmen riedler , harald kosch , margit lang , lászló böszörményi , christian hofbauer , alexander bachlechner vldb",,,2001.0,1665,a language based multidatabase system 1994,"eva k &#252; hn , thomas tschernko , konrad schwarz",international conference on management of data,
