label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
No,934,226,0,934,reminiscences on influential papers richard t. snodgrass 1998,,sigmod record,,226,reminiscences on influential papers richard snodgrass acm sigmod record 1998,,,
No,1380,2129,0,1380,book review column karl aberer,,sigmod record,2003.0,2129,book reviews acm sigmod record 2003,,,
No,2462,879,0,2462,"efficiently publishing relational data as xml documents bruce g. lindsay , hamid pirahesh , berthold reinwald , michael j. carey , rimon barr , jayavel shanmugasundaram , eugene j. shekita 2001",,vldb j.,,879,efficiently publishing relational data as xml documents,"jayavel shanmugasundaram , eugene j. shekita , rimon barr , michael j. carey , bruce g. lindsay , hamid pirahesh , berthold reinwald",very large data bases,2000.0
No,2148,551,0,2148,"reminiscences on influential papers gerhard weikum , alon y. levy , divesh srivastava , eric simon , patrick e. o'neil , victor vianu , kenneth a. ross , christos faloutsos sigmod record",,,2000.0,551,reminiscences on influential papers 2001,kenneth a. ross,acm sigmod record,
No,344,2187,0,344,"energy-performance trade-offs for spatial access methods on memory-resident data mahmut t. kandemir , ning an , mary jane irwin , anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan vldb j. 2002",,,,2187,"analyzing energy behavior of spatial access methods for memory-resident data ning an , anand sivasubramaniam , narayanan vijaykrishnan , mahmut t. kandemir , mary jane irwin , sudhanva gurumurthi",,very large data bases,2001.0
No,13,776,0,13,"wavecluster : a wavelet based clustering approach for spatial data in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.",,,2000.0,776,wavecluster : a multi-resolution clustering approach for very large spatial databases,"gholamhosein sheikholeslami , surojit chatterjee , aidong zhang",very large data bases,1998.0
No,899,1852,0,899,devise : integrated querying and visualization of large datasets sigmod conference,"miron livny , raghu ramakrishnan , donko donjerkovic , shilpa lawande , jussi myllymaki , guangshun chen , r. kent wenger , kevin s. beyer",,1997.0,1852,devise ( demo abstract ) : integrated querying and visual exploration of large datasets 1997,"m. livny , r. ramakrishnan , k. beyer , g. chen , d. donjerkovic , s. lawande , j. myllymaki , k. wenger",international conference on management of data,
No,926,74,0,926,"an extensible compressor for xml data dan suciu , hartmut liefke 2000",,sigmod record,,74,"xmill : an efficient compressor for xml data hartmut liefke , dan suciu 2000",,international conference on management of data,
No,2297,35,0,2297,"o-o , what have they done to db2 ?","bennet vance , richard swagerman , michael j. carey , srinivasa narayanan , nelson mendonça mattos , donald d. chamberlin , doug doole , serge rielau",vldb,1999.0,35,"o-o , what 's happening to db2 ? 1999","m. carey , d. chamberlin , d. doole , s. rielau , n. mattos , s. narayanan , b. vance , r. swagerman",international conference on management of data,
No,387,527,0,387,reminiscences on influential papers sigmod record,"kenneth a. ross , kyuseok shim , mary f. fernandez",,2002.0,527,"reminiscences on influential papers kenneth a. ross , theodore johnson , richard thomas snodgrass acm sigmod record 2002",,,
No,575,650,0,575,"reminiscences on influential papers theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross 2002",,sigmod record,,650,influential papers ken ross acm sigmod record,,,2002.0
No,1899,745,0,1899,book review column karl aberer sigmod record,,,2002.0,745,book reviews acm sigmod record 2002,karl aberer,,
No,2391,551,0,2391,reminiscences on influential papers sigmod record,"kenneth a. ross , beng chin ooi , frank neven",,2003.0,551,reminiscences on influential papers 2001,kenneth a. ross,acm sigmod record,
No,705,599,0,705,book review column karl aberer sigmod record,,,2002.0,599,book reviews karl aberer,,acm sigmod record,2001.0
