label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
Yes,557,78,1,557,closest pair queries in spatial databases 2000,"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos",sigmod conference,,78,closest pair queries in spatial databases 2000,"antonio corral , yannis manolopoulos , yannis theodoridis , michael vassilakopoulos",international conference on management of data,
Yes,2449,1551,1,2449,real world requirements for decision support - implications for rdbms 1995,sanju k. bansal,sigmod conference,,1551,real world requirements for decision support-implications for rdbms sanju k. bansal 1995,,international conference on management of data,
Yes,1762,158,1,1762,microsoft.com : a high-scale data management and transaction processing solution sherri kennamer,,sigmod conference,1998.0,158,microsoft.com : a high-scale data management and transaction processing solution international conference on management of data,sherri kennamer,,1998.0
Yes,1438,1659,1,1438,implementing deletion in b + - trees 1995,jan jannink,sigmod record,,1659,implementing deletion in b + - trees jan jannink,,acm sigmod record,1995.0
Yes,1745,1754,1,1745,semistructured und structured data in the web : going back and forth sigmod record,"paolo merialdo , giansalvatore mecca , paolo atzeni",,1997.0,1754,semistructured and structured data in the web : going back and forth,"paolo atzeni , giansalvatore mecca , paolo merialdo",acm sigmod record,1997.0
Yes,1506,1575,1,1506,"response to a close look at the ifo data model serge abiteboul , richard hull",,sigmod record,1995.0,1575,response to a close look at the ifo data model acm sigmod record,"serge abiteboul , richard hull",,1995.0
Yes,2377,484,1,2377,"timer-driven database triggers and alerters : semantics and a challenge eric n. hanson , lloyd noronha sigmod record",,,1999.0,484,timer-driven database triggers and alerters : semantics and a challenge acm sigmod record,"eric n. hanson , lloyd x. noronha",,1999.0
Yes,1390,783,1,1390,aqua : a fast decision support systems using approximate query answers vldb,"swarup acharya , phillip b. gibbons , viswanath poosala",,1999.0,783,"aqua : a fast decision support systems using approximate query answers swarup acharya , phillip b. gibbons , viswanath poosala very large data bases 1999",,,
Yes,1948,405,1,1948,a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite sigmod conference 2000,"german shegalov , gerhard weikum , wolfgang wonner , michael gillmann , jeanine weißenfels",,,405,"a goal-driven auto-configuration tool for the distributed workflow management system mentorlite michael gillmann , jeanine weissenfels , german shegalov , wolfgang wonner , gerhard weikum",,international conference on management of data,2000.0
Yes,2061,1127,1,2061,"what is the data warehousing problem ? ( are materialized views the answer ? ) inderpal singh mumick , ashish gupta vldb 1996",,,,1127,"what is the data warehousing problem ? ( are materialized views the answer ? ) ashish gupta , inderpal singh mumick very large data bases",,,1996.0
Yes,465,1003,1,465,ibm 's db2 universal database demonstrations at vldb '98 vldb,"k. bernhard schiefer , karen brannon , guy m. lohman , gene fuh , jim kleewein",,1998.0,1003,ibm 's db2 universal database demonstrations at vldb '98 1998,"k. bernhard schiefer , jim kleewein , karen brannon , guy m. lohman , gene fuh",very large data bases,
Yes,390,264,1,390,"the nimble integration engine daniel s. weld , alon y. halevy , denise draper sigmod conference 2001",,,,264,the nimble integration engine international conference on management of data 2001,"denise draper , alon y. halevy , daniel s. weld",,
Yes,823,581,1,823,"the glue-nail deductive database system : design , implementation , and evaluation 1994","geoffrey phipps , marcia a. derr , shinichi morishita",vldb j.,,581,"the glue-nail deductive database system : design , implementation , and evaluation marcia a. derr , shinichi morishita , geoffrey phipps 1994",,the vldb journal -- the international journal on very large data bases,
Yes,1019,629,1,1019,"the software information base : a server for reuse panos constantopoulos , yannis vassiliou , matthias jarke , john mylopoulos vldb j. 1995",,,,629,"the software information base : a server for reuse panos constantopoulos , matthias jarke , john mylopoulos , yannis vassiliou the vldb journal -- the international journal on very large data bases",,,1995.0
No,614,88,0,614,"the need for distributed asynchronous transactions lyman do , prabhu ram , pamela drew",,sigmod conference,1999.0,88,"distributed transactions in practice prabhu ram , lyman do , pamela drew acm sigmod record",,,1999.0
Yes,1126,199,1,1126,"query processing techniques for arrays kenneth salem , arunprasad p. marathe sigmod conference 1999",,,,199,"query processing techniques for arrays arunprasad p. marathe , kenneth salem",,international conference on management of data,1999.0
Yes,330,456,1,330,metadata standards for data warehousing : open information model vs. common warehouse metamodel 2000,"anca vaduva , thomas vetterli , martin staudt",sigmod record,,456,metadata standards for data warehousing : open information model vs. common warehouse metadata,"thomas vetterli , anca vaduva , martin staudt",acm sigmod record,2000.0
No,1105,249,0,1105,pixel-oriented database visualizations 1996,daniel a. keim,sigmod record,,249,databases and visualization daniel a. keim 1996,,international conference on management of data,
Yes,2596,1681,1,2596,research issues in databases for arcs : active rapidly changing data systems sigmod record 1994,anindya datta,,,1681,research issues in databases for arcs : active rapidly changing data systems,anindya datta,acm sigmod record,1994.0
Yes,590,36,1,590,hypertext databases and data mining soumen chakrabarti 1999,,sigmod conference,,36,hypertext databases and data mining soumen chakrabarti international conference on management of data,,,1999.0
