label_str,ltable_id,rtable_id,label,title_x,authors_x,venue_x,year_x,title_y,authors_y,venue_y,year_y
No,2,1145,0,incremental maintenance for non-distributive aggregate functions vldb 2002,"themistoklis palpanas , richard sidle , hamid pirahesh , roberta cochrane",,,"incremental maintenance of externally materialized views martin staudt , matthias jarke 1996",,very large data bases,
No,3,219,0,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,,integration of spatial join algorithms for processing multiple inputs international conference on management of data 1999,"nikos mamoulis , dimitris papadias",,
No,3,1106,0,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,,"processing object-oriented queries with invertible late bound functions staffan flodin , tore risch very large data bases",,,1995.0
No,3,1182,0,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,,garbage collection in object-oriented databases using transactional cyclic reference counting the vldb journal -- the international journal on very large data bases,"p. roy , s. seshadri , a. silberschatz , s. sudarshan , s. ashwin",,1998.0
No,3,1915,0,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,,converting relational to object-oriented databases 1997,joseph fong,acm sigmod record,
No,3,1983,0,"cost-based selection of path expression processing algorithms in object-oriented databases zhao-hui tang , georges gardarin , jean-robert gruser vldb 1996",,,,static detection of security flaws in object-oriented databases international conference on management of data 1996,keishi tajima,,
No,5,2175,0,efficient geometry-based similarity search of 3d spatial databases daniel a. keim sigmod conference,,,1999.0,index-driven similarity search in metric spaces 2003,"gisli r. hjaltason , hanan samet",acm transactions on database systems ( tods ),
No,7,894,0,enhanced abstract data types in object-relational databases vldb j. 1998,praveen seshadri,,,"managing intervals efficiently in object-relational databases hans-peter kriegel , marco p &#246; tke , thomas seidl very large data bases",,,2000.0
No,7,1650,0,enhanced abstract data types in object-relational databases vldb j. 1998,praveen seshadri,,,declarative updates of relational databases acm transactions on database systems ( tods ),weidong chen,,1995.0
No,9,1051,0,unisql 's next-generation object-relational database management system sigmod record,"phil janus , albert d'andrea",,1996.0,dwms : data warehouse management system narendra mohan very large data bases 1996,,,
No,9,1179,0,unisql 's next-generation object-relational database management system sigmod record,"phil janus , albert d'andrea",,1996.0,enhanced abstract data types in object-relational databases,praveen seshadri,the vldb journal -- the international journal on very large data bases,1998.0
No,9,1898,0,unisql 's next-generation object-relational database management system sigmod record,"phil janus , albert d'andrea",,1996.0,the mariposa distributed database management system acm sigmod record,jeff sidell,,1996.0
No,9,2240,0,unisql 's next-generation object-relational database management system sigmod record,"phil janus , albert d'andrea",,1996.0,"relational data sharing in peer-based data management systems beng chin ooi , yanfeng shu , kian-lee tan acm sigmod record",,,2003.0
No,11,1675,0,"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",,sigmod conference,2003.0,open object database management systems international conference on management of data,jos &#233; a. blakeley,,1994.0
No,11,1918,0,"aurora : a data stream management system nesime tatbul , daniel j. abadi , c. erwin , anurag maskey , mitch cherniack , alex rasin , christian convey , a. singer , eduardo f. galvez , r. yan , ugur çetintemel , ying xing , stanley b. zdonik , michael stonebraker , donald carney , m. hatoun",,sigmod conference,2003.0,data management for earth system science 1997,"james frew , jeff dozier",acm sigmod record,
No,13,1785,0,"wavecluster : a wavelet based clustering approach for spatial data in very large databases surojit chatterjee , gholamhosein sheikholeslami , aidong zhang vldb j.",,,2000.0,cure : an efficient clustering algorithm for large databases international conference on management of data 1998,"sudipto guha , rajeev rastogi , kyuseok shim",,
No,17,1387,0,a framework for implementing hypothetical queries sigmod conference 1997,"timothy griffin , richard hull",,,"hypothetical queries in an olap environment andrey balmin , thanos papadimitriou , yannis papakonstantinou 2000",,very large data bases,
No,18,817,0,parametric query optimization vldb j. 1997,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",,,"probabilistic optimization of top n queries donko donjerkovic , raghu ramakrishnan very large data bases 1999",,,
No,18,1883,0,parametric query optimization vldb j. 1997,"raymond t. ng , timos k. sellis , yannis e. ioannidis , kyuseok shim",,,outerjoin simplification and reordering for query optimization acm transactions on database systems ( tods ),"c &#233; sar galindo-legaria , arnon rosenthal",,1997.0
No,20,480,0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002,,,,report on ngits ' 99 : the fourth international workshop on next generation information technologies and systems opher etzion acm sigmod record 1999,,,
No,20,2210,0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) joachim hammer sigmod record 2002,,,,report on the 5th international workshop on the design and management of data warehouses ( dmdw ' 03 ) acm sigmod record 2003,"hans j. lenz , panos vassiliadis , manfred jeusfeld , martin staudt",,
No,34,1072,0,efficient snapshot differential algorithms for data warehousing,"hector garcia-molina , wilburt labio",vldb,1996.0,"algorithms for materialized view design in data warehousing environment jian yang , kamalakar karlapalem , qing li 1997",,very large data bases,
No,35,1376,0,"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendonça mattos",,vldb,1996.0,integrating the ub-tree into a database system kernel 2000,"frank ramsak , volker markl , robert fenk , martin zirkel , klaus elhardt , rudolf bayer",very large data bases,
