label_str,ltable_id,rtable_id,label,title_x,authors_x,venue_x,year_x,title_y,authors_y,venue_y,year_y
Yes,24,159,1,"free parallel data mining bin li , dennis shasha sigmod conference 1998",,,,free parallel data mining international conference on management of data 1998,"bin li , dennis shasha",,
Yes,52,1680,1,how to modify sql queries in order to guarantee sure answers,hans-joachim klein,sigmod record,1994.0,how to modify sql queries in order to guarantee sure answers,h.-j . klein,acm sigmod record,1994.0
Yes,56,263,1,updating xml,"daniel s. weld , zachary g. ives , igor tatarinov , alon y. halevy",sigmod conference,2001.0,updating xml international conference on management of data 2001,"igor tatarinov , zachary g. ives , alon y. halevy , daniel s. weld",,
Yes,82,810,1,explaining differences in multidimensional aggregates sunita sarawagi vldb,,,1999.0,explaining differences in multidimensional aggregates 1999,sunita sarawagi,very large data bases,
Yes,83,1454,1,"a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system kun-lung wu , philip s. yu , james z. teng , jen-yao chung 1995",,vldb,,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system 1995,"kun-lung wu , philip s. yu , jen-yao chung , james z. teng",very large data bases,
Yes,85,1539,1,"workflow automation : applications , technology , and research ( tutorial ) amit p. sheth 1995",,sigmod conference,,"workflow automation : applications , technology and research amit sheth",,international conference on management of data,1995.0
Yes,117,596,1,information warfare and security - book review h. v. jagadish sigmod record 2001,,,,information warfare and security h. v. jagadish 2001,,acm sigmod record,
Yes,137,1831,1,"revisiting commit processing in distributed database systems krithi ramamritham , jayant r. haritsa , ramesh gupta sigmod conference",,,1997.0,revisiting commit processing in distributed database systems 1997,"ramesh gupta , jayant haritsa , krithi ramamritham",international conference on management of data,
Yes,150,252,1,thinksheet : a tool for tailoring complex documents sigmod conference,"dao-i lin , peter piatko , roman yangarber , dennis shasha",,1996.0,"thinksheet : a tool for tailoring complex documents peter piatko , roman yangarber , daoi lin , dennis shasha international conference on management of data 1996",,,
Yes,151,1960,1,"on-line reorganization of sparsely-populated b + trees betty salzberg , chendong zou 1996",,sigmod conference,,"on-line reorganization of sparsely-populated b + - trees chendong zou , betty salzberg international conference on management of data 1996",,,
Yes,180,1668,1,enterprise information architectures -- they 're finally changing 1994,wesley p. melling,sigmod conference,,enterprise information architectures-they 're finally changing international conference on management of data,wesley p. melling,,1994.0
Yes,187,739,1,"phoenix project : fault-tolerant applications roger s. barga , david b. lomet sigmod record 2002",,,,phoenix project : fault-tolerant applications,"roger barga , david lomet",acm sigmod record,2002.0
Yes,226,1012,1,mining surprising patterns using temporal description length vldb,"soumen chakrabarti , byron dom , sunita sarawagi",,1998.0,mining surprising patterns using temporal description length 1998,"soumen chakrabarti , sunita sarawagi , byron dom",very large data bases,
Yes,234,2207,1,"fast algorithms for mining association rules in large databases ramakrishnan srikant , rakesh agrawal 1994",,vldb,,fast algorithms for mining association rules in large databases very large data bases,"rakesh agrawal , ramakrishnan srikant",,1994.0
Yes,244,679,1,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search sigmod conference 2002",charu c. aggarwal,,,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,international conference on management of data,2002.0
Yes,267,384,1,lambda-db : an odmg-based object-oriented dbms 2000,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",sigmod conference,,lambda-db : an odmg-based object-oriented dbms international conference on management of data,"leonidas fegaras , chandrasekhar srinivasan , arvind rajendran , david maier",,2000.0
Yes,276,651,1,too much middleware sigmod record 2002,michael stonebraker,,,too much middleware michael stonebraker acm sigmod record 2002,,,
Yes,288,1515,1,enhancing database correctness : a statistical approach,"wen-chi hou , zhongyang zhang",sigmod conference,1995.0,"enhancing database correctness : a statistical approach wen-chi hou , zhongyang zhang 1995",,international conference on management of data,
Yes,289,1697,1,"constructing the next 100 database management systems andreas geppert , klaus r. dittrich sigmod record",,,1994.0,"constructing the next 100 database management systems : like the handyman or like the engineer ? andreas geppert , klaus r. dittrich acm sigmod record",,,1994.0
Yes,292,674,1,"a monte carlo algorithm for fast projective clustering michael jones , pankaj k. agarwal , t. m. murali , cecilia magdalena procopiuc sigmod conference",,,2002.0,a monte carlo algorithm for fast projective clustering international conference on management of data,"cecilia m. procopiuc , michael jones , pankaj k. agarwal , t. m. murali",,2002.0
Yes,300,1742,1,"aries/csa : a method for database recovery in client-server architectures c. mohan , inderpal narang sigmod conference 1994",,,,"aries/csa : a method for database recovery in client-server architectures c. mohan , inderpal narang international conference on management of data 1994",,,
Yes,306,1522,1,paradise : a database system for gis applications 1995,paradise team,sigmod conference,,paradise : a database system for gis applications corporate the paradise team 1995,,international conference on management of data,
Yes,319,824,1,"a novel index supporting high volume data warehouse insertion anindya datta , chris jermaine , edward omiecinski vldb",,,1999.0,"a novel index supporting high volume data warehouse insertion chris jermaine , anindya datta , edward omiecinski very large data bases 1999",,,
Yes,324,138,1,"multiview access protocols for large-scale replication weimin du , xiangning liu , abdelsalam helal acm trans . database syst .",,,1998.0,multiview access protocols for large-scale replication,"xiangning liu , abdelsalam helal , weimin du",acm transactions on database systems ( tods ),1998.0
Yes,358,665,1,"a multi-agent system infrastructure for software component market-place : an ontological perspective riza cenk erdur , oguz dikenelli sigmod record 2002",,,,a multi-agent system infrastructure for software component market-place : an ontological perspective,"riza cenk erdur , o &#287; uz dikenelli",acm sigmod record,2002.0
Yes,366,1719,1,"optimization of dynamic query evaluation plans goetz graefe , richard l. cole",,sigmod conference,1994.0,optimization of dynamic query evaluation plans international conference on management of data,"richard l. cole , goetz graefe",,1994.0
Yes,378,2276,1,cost-driven vertical class partitioning for methods in object oriented databases vldb j.,"qing li , chi-wai fung , kamalakar karlapalem",,2003.0,cost-driven vertical class partitioning for methods in object oriented databases 2003,"chi-wai fung , kamalakar karlapalem , qing li",the vldb journal -- the international journal on very large data bases,
Yes,381,281,1,the prototype of the dare system sigmod conference 2001,"tiziana catarci , giuseppe santucci",,,the prototype of the dare system international conference on management of data,"tiziana catarci , giuseppe santucci",,2001.0
