label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
Yes,1310,594,1,1310,describing semistructured data sigmod record,luca cardelli,,2001.0,594,describing semistructured data acm sigmod record 2001,luca cardelli,,
Yes,1047,1437,1,1047,managing a db2 parallel edition database vldb 1995,gilles fecteau,,,1437,managing a db2 parallel edition database gilles fecteau very large data bases,,,1995.0
Yes,361,980,1,361,"datablitz : a high performance main-memory storage manager p. p. s. narayan , s. joshi , m. nemeth , abraham silberschatz , henry f. korth , a. khivesera , jerry baulier , s. sudarshan , philip bohannon , peter mcilroy , j. miller , s. gogate , rajeev rastogi , c. gupta vldb",,,1998.0,980,"datablitz : a high performance main-memory storage manager jerry baulier , philip bohannon , s. gogate , s. joshi , c. gupta , a. khivesera , henry f. korth , peter mcilroy , j. miller , p. p. s. narayan , m. nemeth , rajeev rastogi , abraham silberschatz , s. sudarshan",,very large data bases,1998.0
Yes,2404,1163,1,2404,a database model for object dynamics vldb j. 1997,"mike p. papazoglou , bernd j. krämer",,,1163,a database model for object dynamics the vldb journal -- the international journal on very large data bases,"m. p. papazoglou , b. j. kr &#228; mer",,1997.0
Yes,1609,2116,1,1609,business-to-business interactions : issues and enabling technologies vldb j.,"anne h. h. ngu , athman bouguettaya , brahim medjahed , ahmed k. elmagarmid , boualem benatallah",,2003.0,2116,business-to-business interactions : issues and enabling technologies,"b. medjahed , b. benatallah , a. bouguettaya , a. h. h. ngu , a. k. elmagarmid",the vldb journal -- the international journal on very large data bases,2003.0
Yes,548,1367,1,548,model-based information integration in a neuroscience mediator system,"bertram ludäscher , amarnath gupta , maryann e. martone",vldb,2000.0,1367,model-based information integration in a neuroscience mediator system,"bertram lud &#228; scher , amarnath gupta , maryann e. martone",very large data bases,2000.0
Yes,99,2247,1,99,investigation of algebraic query optimisation techniques for database programming languages,"alexandra poulovassilis , carol small",vldb,1994.0,2247,"investigation of algebraic query optimisation techniques for database programming languages alexandra poulovassilis , carol small very large data bases 1994",,,
Yes,1982,2102,1,1982,an architecture to support scalable online personalization on the web,"kaushik dutta , debra e. vandermeer , krithi ramamritham , anindya datta , shamkant b. navathe",vldb j.,2001.0,2102,an architecture to support scalable online personalization on the web the vldb journal -- the international journal on very large data bases 2001,"anindya datta , kaushik dutta , debra vandermeer , krithi ramamritham , shamkant b. navathe",,
Yes,1054,1155,1,1054,concurrency and recovery for index trees vldb j. 1997,"david b. lomet , betty salzberg",,,1155,"concurrency and recovery for index trees david lomet , betty salzberg the vldb journal -- the international journal on very large data bases",,,1997.0
Yes,433,565,1,433,research activities in database management and information retrieval at the university of illinois at chicago,"a. prasad sistla , isabel f. cruz , ashfaq a. khokhar , clement t. yu , bing liu , ouri wolfson",sigmod record,2002.0,565,"research activities in database management and information retrieval at university of illinois at chicago isabel cruz , ashfaq khokhar , bing liu , prasad sistla , ouri wolfson , clement yu",,acm sigmod record,2002.0
