label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
Yes,1861,64163,1,1861,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,64163,on-demand data elevation in a hierarchical multimedia storage server,"p triantallou , t papadakis","proc . of 23rd intl. conf . on very large data bases , vldb ,",1997.0
Yes,2187,64008,1,2187,"database tuning : principles , experiments , and troubleshooting techniques","d shasha , p bonnet",vldb,2002,64008,"database tuning : principles , experiments , and troubleshooting techniques ( part i )","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",2002.0
Yes,1323,63679,1,1323,geominer : a system prototype for spatial data mining,"j han , k koperski , n stefanovic",sigmod conference,1997,63679,geominer : a system prototype for spatial mining,"j han , k koperski , n stefanovic","proceedings , 1997 acm-sigmod international conference on & hellip ; ,",
Yes,95,13903,1,95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,13903,fast algorithms for mining association rules in databases,"r agrawal , r srikant","the 20th int &#39; l conf . on vldb , chile ,",
Yes,1480,45262,1,1480,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",sigmod conference,1995,45262,a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton","proceedings of the acm sigmod international conference on & hellip ; ,",1995.0
Yes,944,63682,1,944,dynamat : a dynamic view management system for data warehouses,"y kotidis , n roussopoulos",sigmod conference,1999,63682,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,
Yes,1082,25283,1,1082,storage and retrieval of xml data using relational databases,,,2001,25283,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0
Yes,566,35892,1,566,an overview of data warehousing and olap technology,"s chaudhuri , u dayal",sigmod record,1997,35892,an overview of data warehousing and olap technology .,"s chaudhri , u dayal",,1997.0
Yes,909,38317,1,909,path sharing and predicate evaluation for high-performance xml filtering,"y diao , m altinel , m franklin , h zhang , p fischer",acm trans . database syst .,2003,38317,yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering,"y diao , m altinel , mj franklin , h zhang , p fischer",acm transactions on database systems ( tods ),
Yes,1187,4546,1,1187,ariadne : a system for constructing mediators for internet sources,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",sigmod conference,1998,4546,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,
Yes,171,1241,1,171,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994,1241,and j. yu . client-server paradise,"dj dewitt , n kabra , j luo , jm pate","proceedings ofthe twentieth international conference on vey & hellip ; ,",
Yes,387,3234,1,387,electronic market : the roadmap for university libraries and members to survive in the information jungle,"m christoffel , s pulkowski , b schmitt , p lockemann",sigmod record,1998,3234,electronic market : the roadmap for university libraries and members to survive in the information,acms anthology,"sigmod record ,",1998.0
Yes,86,48634,1,86,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994,48634,dual-buffering strategies in object bases,"a kemper , d kossmann","vldb ,",1994.0
Yes,2298,63027,1,2298,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin",acm trans . database syst .,1994,63027,a. tuzhilin . on completeness of historical relational query languages,"j cliord , a croker","working paper stern is-91-41 , center for research on information",
Yes,365,19738,1,365,sql and management of external data,"j melton , j michels , v josifovski , k kulkarni , p schwarz , k zeidenstein",sigmod record,2001,19738,"krishna , kulkarni , peter schwarz , kathy zeidenstein , sql and management of external data","j melton , je michels , v josifovski","sigmod record , mar ,",
Yes,1280,49293,1,1280,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote )",,,2000,49293,"biodiversity informatics : the challenge of rapid development , large databases , and complex data (","ma lane , jl edwards , e nielsen","& hellip ; international conference on very large data bases table of & hellip ; ,",2000.0
Yes,1884,53983,1,1884,recovering information from summary data,"c faloutsos , h jagadish , n sidiropoulos",vldb,1997,53983,recovering information from summary data,"hv jagadish , nd sidiropoulost",,
Yes,820,9595,1,820,anatomy of a real e-commerce system,a jhingran,sigmod conference,2000,9595,anatomy of a real e-commerce system,a jhingran,,
