label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
No,283,25847,0,283,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000,25847,xmill : an efficient compressor for xml data,"l hartmut , d suciu",,
No,1281,34451,0,1281,infosleuth : semantic integration of information in open and dynamic environments ( experience paper ),"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",sigmod conference,1997,34451,1997 . infosleuth : agent-based semantic integration of information in open and dynamic environments,r bayardoâ ? ¦,proc . acm sigmod int &#39; l conference on management of,
No,968,15368,0,968,exploratory mining via constrained frequent set queries,"r ng , l lakshmanan , j han , t mah",sigmod conference,1999,15368,exploratory mining and pruning optimizations of constrained associations rules,"tn raymond , lvs lakshmanan , j han , a pang",proceedings of the acm sigmod international conference on,
No,2487,27703,0,2487,online dynamic reordering,"v raman , b raman , j hellerstein",vldb j.,2000,27703,online dynamic reordering for interactive data processing,"v raman , b raman , jm hellerstein","vldb ,",1999.0
No,2568,44203,0,2568,sampling large databases for association rules,h toivonen,vldb,1996,44203,mining association rules between sets of items in large databases,"ra as941 , t imielinksi , a swami","proc . of the acm sigmod intâ ?? l conf . on management of data , & hellip ; ,",
No,1901,33577,0,1901,guest editor 's introduction,,,2003,33577,guest editorial,"v atluri , a joshi , y yesha","the vldb journal the international journal on very large & hellip ; ,",2003.0
No,1375,58784,0,1375,strudel : a web-site management system,"m fernandez , d florescu , j kang , a levy , d suciu",sigmod conference,1997,58784,"e suciu , d. , â ?? a query language for a web-site management systemâ ??","m fernandez , d florescu , j kang , a levy","sigmod record , setembro de ,",
No,2275,48938,0,2275,"lh * - a scalable , distributed data structure","w litwin , m neimat , d schneider",acm trans . database syst .,1996,48938,rp * : a family of order-preserving scalable distributed data structures,"d schneider , pa ca , ma neimat , w litwin",,
No,2437,54241,0,2437,data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback",vldb j.,1998,54241,load balancing in parallel disk systems,d partitioning,"technical report , in : the vldb",
No,2483,7916,0,2483,guest editorial,,,2000,7916,guest editorial,c allocchio,"computer networks ,",2000.0
