label_str,ltable_id,rtable_id,label,title_x,authors_x,venue_x,year_x,title_y,authors_y,venue_y,year_y
No,3,29717,0,editor 's notes l liu 2002,,sigmod record,,"editor 's notes social studies and the young learner ,",r diem,,
No,3,29979,0,editor 's notes l liu 2002,,sigmod record,,"editors ' notes pj gray , tw banta",,"new directions for higher education ,",
No,4,1055,0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2002,,,,report on the 5th international workshop on knowledge representation meets databases ( krdbâ ?? 98 ) a borgida 1998.0,,"sigmod record ,",
No,4,39402,0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2002,,,,"report on mobide 2003 : the 3rd international acm workshop on data engineering for wireless and s banerjee , m cherniack , v kumar , pk chrysanthis ,",,"sigmod record ,",2005.0
No,4,52389,0,report on the acm fourth international workshop on data warehousing and olap ( dolap 2001 ) 2002,,,,report on ngits ' 99 : the fourth international workshop on next generation information technologies o etzion,,"acm sigmod record ,",1999.0
No,5,61919,0,"schema and database evolution in the o2 object database system f ferrandina , t meyer , r zicari , g ferran , j madec 1995",,vldb,,standardization and database systems,eh sibley,"vldb ,",
No,6,4018,0,"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",,vldb,,"spatial query processing in an object-oriented system proc . acm sigmod/nt/conf . on the management of data , may ,",j orenstein,,
No,6,59605,0,"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",,vldb,,acyclic query processing in object-oriented databases .,acms anthology,,
No,7,25992,0,"phoenix project : fault-tolerant applications r barga , d lomet 2002",,sigmod record,,fault-tolerant systems in commercial applications o serlin,,"ieee computer ,",
No,7,46456,0,"phoenix project : fault-tolerant applications r barga , d lomet 2002",,sigmod record,,"versant replication : supporting fault-tolerant object databases ym shyy , hs au-yeung , cp chou 1995.0",,"sigmod conference ,",
No,8,972,0,mining the world wide web : an information search approach - book review 2002,,,,"building clinical information spaces on the world wide web proceedings of the 23rd annual sas users group international & hellip ; ,",p wehr,,
No,10,27763,0,report on the nsf workshop on building an infrastructure for mobile and wireless systems,,,2002.0,venture leader for mobility and wireless systems 2003.0,p smyth,"bt technology journal ,",
No,11,47003,0,"retrieval of composite multimedia objects s chaudhuri , s ghandeharizadeh , c shahabi",,vldb,1995.0,composite multimedia and active objects,sj gibbs,,
No,12,16499,0,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0,modern database systems w kimâ ? ¦,,,1995.0
No,12,22433,0,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0,architecture for distributed multimedia database systems .,"pb berra , cyr chen , a ghafoor , cc lin , tdc little ,",,
No,12,32362,0,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0,multimedia database management systems b prabhakaran,,,
No,12,50005,0,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002.0,multimedia database management systems g lu,,,1999.0
No,14,11014,0,reminiscences on influential papers,,,2002.0,reminiscences of an indian official,o cavenagh,,1884.0
No,15,16001,0,"type classification of semi-structured documents m tresch , n palmer , a luniewski vldb 1995",,,,structured multimedia document classification,"l denoyer , jn vittaut , s brunessaux , s brunessaux",,
No,17,10483,0,"managing intra-operator parallelism in parallel database systems m mehta , d dewitt vldb",,,1995.0,"managing a db2 parallel edition database g fe & au , n york , c ontario",,,
