label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
No,2563,6425,0,2563,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,6425,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,
No,611,15632,0,611,dna-miner : a system prototype for mining dna sequences,"j han , h jamil , y lu , l chen , y liao , j pei",sigmod conference,2001,15632,n. stefanovic 1997 â ?? geominer : a system prototype for spatial data miningâ ??,"j han , k koperski",proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,
No,631,27684,0,631,communication efficient distributed mining of association rules,"a schuster , r wolff",sigmod conference,2001,27684,mining generalized association rules,"r agrawal , r srikant","proceedings of the 1995 international conference of very & hellip ; ,",
No,2454,7504,0,2454,global transaction support for workflow management systems : from formal specification to practical implementation,"p grefen , j vonk , p apers",vldb j.,2001,7504,distributed transaction support for workflow management applications,"j vonk , p grefen , e boertjes , p apers","procs . 10th int . conf . on database and expert system & hellip ; ,",
No,1834,45355,0,1834,the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996,45355,"the tv-tree { an index structure for high-dimensional data . the vldb journal , 3 ( 4 ) : 517 { 549","ki lin , hv jagadish , c faloutsos",,1994.0
No,1105,60693,0,1105,database systems management and oracle8,c doherty,sigmod conference,1998,60693,the cedar database management system,m brownâ ? ¦,"proc . 1981 acmsigmod conference on management of data , ann & hellip ; ,",
No,1012,631,0,1012,online association rule mining,c hidber,sigmod conference,1999,631,mining fuzzy association rules in database,"mk chan , f ada , hw man","sigmod record ,",
No,2076,1563,0,2076,mixed mode xml query processing,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003,1563,a transducer-based xml query processor,", p mukhopadhyay , y papakonstantinou","vldb ,",2002.0
No,19,6179,0,19,mining generalized association rules,"r srikant , r agrawal",vldb,1995,6179,mining association rules from semi-structured data,"k maruyama , k uehara","icdcs workshop of knowledge discovery and data mining in the & hellip ; ,",2000.0
No,95,5659,0,95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,5659,"data mining using two-dimensional optimized association rules for numeric data : scheme , algorithms ,","t fukuda , y morimoto , s morishita , t tokuyama",proceedings of the acm sigmod international conference on,
No,794,20719,0,794,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995,20719,temporal databases,rt snodgrass,,
No,990,12798,0,990,data management issues in electronic commerce ( panel ),m жzsu,sigmod conference,1999,12798,special section on data management issues in e-commerce,a dogac,"acm sigmod record ,",
No,2161,932,0,2161,banks : browsing and keyword searching in relational databases,"b aditya , g bhalotia , s chakrabarti , a hulgeri , c nakhe , p parag , s sudarshan",vldb,2002,932,distance browsing in spatial databases,"gr hjaltason , h samet","acm transactions on database systems ,",1999.0
No,2455,31743,0,2455,answering queries using views : a survey,a halevy,vldb j.,2001,31743,a scalable algorithm for answering queries using views,ay levy,,
No,1219,41899,0,1219,tavant system architecture for sell-side channel management,"s narayanan , s subramanian",vldb,2001,41899,a control system architecture for intelligent systems,j albus,"procs . of the 1987 ieee intl. conf . on systems , man and & hellip ; ,",
