label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
Yes,1799,25640,1,1799,the montage extensible datablade achitecture,m ubell,sigmod conference,1994,25640,the montage extensible datablade architecture,m ubell,"proc . sigmod intl. conf . on management of data ,",1994.0
Yes,513,21851,1,513,integrating dynamically-fetched external information into a dbms for semistructured data,"j mchugh , j widom",sigmod record,1997,21851,integrating dynamically-fetched external information into a dbms for semistructured data,"j mchugh , j widom","sigmod record ,",1997.0
Yes,633,5563,1,633,workflow history management,"p koksal , s arpinar , a dogac",sigmod record,1998,5563,workflow history management .,acms anthology,"sigmod record ,",1998.0
Yes,1672,11173,1,1672,data warehouse configuration,"d theodoratos , t sellis",vldb,1997,11173,data warehouse configuration,"d theodoratos , t sellis","vldb ,",1997.0
Yes,385,26759,1,385,a scalable hash ripple join algorithm,"g luo , c ellmann , p haas , j naughton",sigmod conference,2002,26759,a scalable hash ripple join algorithm,g luo,,
Yes,1656,45351,1,1656,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998,45351,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
Yes,1201,61763,1,1201,cheetah : a lightweight transaction server for plug-and-play internet data management,"g pardon , g alonso",vldb,2000,61763,cheetah : a lightweight transaction server for plugand-play internet data managementâ '',"g pardon , g alonso",proceedings of the 26th vldb conference ( vldb,
Yes,826,30351,1,826,multigranularity locking in multiple job classes transaction processing system,"s ng , s hung",sigmod record,1995,30351,multigranularity locking in multiple job classes transaction processing system,"s ng , s hung","acm sigmod record ,",1995.0
Yes,6,38997,1,6,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski",vldb,1995,38997,procedures in object-oriented query languages,"k subieta , y kambayashi , j leszczylowski","proceedings of the international conference on very large & hellip ; ,",1995.0
Yes,192,13744,1,192,experiments on access to digital libraries : how can images and text be used together,m lesk,vldb,1994,13744,experiments on access to digital libraries : how can images and text be used together,m lesk,"proceedings of the international conference on very large & hellip ; ,",1994.0
Yes,2502,21135,1,2502,an internet-based negotiation server for e-commerce,"s su , c huang , j hammer , y huang , h li , l wang , y liu , c pluempitiwiriyawej , m lee , h lam",vldb j.,2001,21135,an internet-based negotiation server for e-commerce,"y stanley , h chunbo , h joachimâ ? ¦","very large data bases j ,",
Yes,196,46744,1,196,distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003,46744,distributed top-k monitoring,"b babcock , c olston",,
Yes,46,54596,1,46,interviewing during a tight job market,,,2002,54596,interviewing during a tight job market,"zg ives , q luo","acm sigmod record ,",2002.0
Yes,627,25771,1,627,catalog management in websphere commerce suite,t maguire,sigmod conference,2001,25771,catalog management in websphere commerce suite,t maguire,,
Yes,1871,14016,1,1871,merging ranks from heterogeneous internet sources,"l gravano , h garcia-molina",vldb,1997,14016,merging ranks from heterogeneous internet sources,"l gravano , h garcia-molina","proceedings of the international conference on very large & hellip ; ,",1997.0
Yes,1821,53275,1,1821,unisql/x unified relational and object-oriented database system,w kim,sigmod conference,1994,53275,unisql/x unified relational and object-oriented database system,w kim,"sigmod conference ,",1994.0
Yes,1678,25201,1,1678,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources","m roth , p schwarz",vldb,1997,25201,"donâ ?? t scrap it , wrap it ! a wrapper architecture for legacy sources","mt roth , p schwarz","proceedings of vldb conference ,",
Yes,1901,10507,1,1901,guest editor 's introduction,,,2003,10507,guest editor 's introduction,k aberer,"acm sigmod record ,",2003.0
Yes,1190,53516,1,1190,efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin",vldb,2000,53516,xfilter : efficient filtering of xml documents for selective dissemination of information,"m altinel , m franklin","proceedings of the 26th vldb conference , egypt",
Yes,2477,51583,1,2477,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"c wang , x wang",vldb j.,2001,51583,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"c wang , xs wang","the vldb journal the international journal on very large & hellip ; ,",2001.0
Yes,942,13830,1,942,locally adaptive dimensionality reduction for indexing large time series databases,"k chakrabarti , e keogh , s mehrotra , m pazzani",acm trans . database syst .,2002,13830,locally adaptive dimensionality reduction for indexing large time series databases,"k chakrabarti , e keogh , s mehrotra , m pazzani","acm transactions on database systems ,",2002.0
Yes,2481,53218,1,2481,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,53218,one-dimensional and multi-dimensional substring selectivity estimation,"hv jagadish , o kapitskaia , rt ng , d srivastava","the vldb journal the international journal on very large & hellip ; ,",2000.0
Yes,1479,63011,1,1479,"data-driven , one-to-one web site generation for data-intensive applications","s ceri , p fraternali , s paraboschi",vldb,1999,63011,"data-driven , one-to-one web site generation for data-intensive applications","s ceri , p fraternali , s paraboschi","proceedings of the 25th international conference on very & hellip ; ,",1999.0
Yes,2458,46644,1,2458,complex relationships and knowledge discovery support in the infoquilt system,"a sheth , s thacker , s patel",vldb j.,2003,46644,complex relationships and knowledge discovery support in the infoquilt system,"a sheth , s thacker , s patel","the vldb journal the international journal on very large & hellip ; ,",2003.0
Yes,1438,55458,1,1438,"data mining using two-dimensional optimized accociation rules : scheme , algorithms , and visualization","t fukuda , y morimoto , s morishita , t tokuyama",sigmod conference,1996,55458,"data mining using two-dimensional optimized association rules : scheme , algorithms , and visualization","t fukuda , y morimoto , s morishita , t tokuyama","proceedings of the 1996 acm sigmod international conference & hellip ; ,",1996.0
Yes,1970,29564,1,1970,bypassing joins in disjunctive queries,"m steinbrunn , k peithner , g moerkotte , a kemper",vldb,1995,29564,bypassing joins in disjunctive queries,acm.org,"vldb ,",1995.0
