label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
No,1105,50108,0,1105,database systems management and oracle8 sigmod conference,c doherty,,1998.0,50108,multimedia database management systems ( panel ),s christodoulakis,"sigmod conference ,",
No,1404,58415,0,1404,temporal aggregation in active database rules sigmod conference 1997,"i motakis , c zaniolo",,,58415,incomplete information in relational temporal databases,k shashi,"proc . of the 18th vldb conference ,",
No,2168,55061,0,2168,caching technologies for web applications 2001,c mohan,vldb,,55061,"case-based reasoning technology : from foundations to applications lecture notes in computer science ,","m lenz , b bartsch-spã ¶ rl , hd burkhard , s wess",,1998.0
No,1845,50502,0,1845,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,50502,"the database language gem proceedmgs of 1983 acm sigmod conference , ( may",c zamolo,,
No,944,14824,0,944,"dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999",,,,14824,"dynamic buffer management for near video-on-demand systems multimedia tools and applications , 1998.0","wj tsai , sy lee",,
No,684,39238,0,684,overview of the stanford real-time information processor ( strip ) sigmod record,"b adelberg , b kao , h garcia-molina",,1996.0,39238,"the role of time in information processing a bolour , l anderson , l dekeyser , h wong sigmod",,,
No,1429,24414,0,1429,"optimizing queries over multimedia repositories s chaudhuri , l gravano 1996",,sigmod conference,,24414,optimizing queries on files,mp consens,,
No,1944,59362,0,1944,relational data sharing in peer-based data management systems,"b ooi , y shu , k tan",sigmod record,2003.0,59362,view management in distributed data base systems 1983.0,"e bertino , lm haas , bg lindsay","vldb ,",
No,49,29840,0,49,w3qs : a query system for the world-wide web vldb,"d konopnicki , o shmueli",,1995.0,29840,"database techniques for the world-wide web : a survey d florescu , a levy , a mendelzon 1998.0",,"sigmod record ,",
No,1439,19238,0,1439,mining quantitative association rules in large relational tables sigmod conference,"r srikant , r agrawal",,1996.0,19238,mining association rules between sets of items in large databases 1993.0,"r agrawal , a swami",,
No,1811,40223,0,1811,"coalescing in temporal databases m bіhlen , r snodgrass , m soo",,vldb,1996.0,40223,bibliography on temporal databases md soo 1991.0,,"acm sigmod record ,",
No,436,11082,0,436,statement from the treasurer e hanson 1999,,sigmod record,,11082,from the past secretary treasurer jd joyce 1977.0,,"acm sigmod record ,",
No,2509,48130,0,2509,a predicate-based caching scheme for client-server database architectures 1996,"a keller , j basu",vldb j.,,48130,performance and scalability of client-server database architectures 1992.0,"a delis , n roussopoulos","proceedings of the international conference on very large & hellip ; ,",
No,510,57750,0,510,"continually evaluating similarity-based pattern queries on a streaming time series l gao , x wang sigmod conference",,,2002.0,57750,"similarity-based queries for time series data dra mendelzon proc . of the acm sigmod conf. , tucson , az , may , 1997.0",,,
No,2500,2170,0,2500,e-services - guest editorial 2001,,,,2170,"guest editorial z bankowski , a scott , f snyder 1998.0",,"european law journal ,",
No,1826,5132,0,1826,the design and implementation of a sequence database system vldb,"p seshadri , m livny , r ramakrishnan",,1996.0,5132,design and implementation of intentional names . master 's thesis e schwartz 1999.0,,,
No,1899,19184,0,1899,"towards an odmg-compliant visual object query language m chavda , p wood 1997",,vldb,,19184,oql-an object-oriented query language,"am alashqur , syw su , h lam","proc . of the intâ ?? l conf . on vldb ,",
No,555,37253,0,555,an extended entity-relationship model for geographic applications sigmod record 1997,"t hadzilacos , n tryfona",,,37253,"the entity-relationship model acm transactions on database systems ,",p chen,,1976.0
No,2256,52025,0,2256,"space optimization in deductive databases d srivastava , s sudarshan , r ramakrishnan , j naughton 1995",,acm trans . database syst .,,52025,"reactive consistency control in deductive databases g moerkotte , pc lockemann acm transactions on database systems ,",,,1991.0
No,812,5278,0,812,editor 's notes and erratum,,,1994.0,5278,"editor 's notes new directions for program evaluation ,",nl smith,,1981.0
No,554,568,0,554,"a query language for a web-site management system m fernandez , d florescu , a levy , d suciu sigmod record 1997",,,,568,strudel : a web-site management system,"m fernandez , j kang , a levy , d suciu",,
No,1749,17329,0,1749,implementation of magic-sets in a relational database system 1994,"i mumick , h pirahesh",sigmod conference,,17329,"access path selectionin a relationaldatabasemanagement system pg selingerandâ ? ¦ proc . acm sigmod intl. conf . on management of data , & hellip ; ,",,,
No,1433,56270,0,1433,"probabilistic optimization of top n queries d donjerkovic , r ramakrishnan",,vldb,1999.0,56270,"optimization of large join queries proc . acm sigmod int &#39; l conf . management of data ,",asa gupta,,
No,1407,41758,0,1407,"secure transaction processing in firm real-time database systems b george , j haritsa",,sigmod conference,1997.0,41758,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham","sigmod conference ,",1997.0
No,519,36667,0,519,"infering structure in semistructured data s nestorov , s abiteboul , r motwani sigmod record 1997",,,,36667,path constraints on semistructured and structured data,portal.acm.org,,
No,1899,50779,0,1899,"towards an odmg-compliant visual object query language m chavda , p wood 1997",,vldb,,50779,"towards an effective calculus for object query languages l fegaras , d maier 1995.0",,"sigmod conference ,",
No,2208,6890,0,2208,"watermarking relational databases r agrawal , j kiernan",,vldb,2002.0,6890,"object-oriented querrying of existing relational databases da keim , hp kriegel , a miethsam",,,
No,563,6890,0,563,extraction of object-oriented structures from existing relational databases,"s ramanathan , j hodges",sigmod record,1997.0,6890,"object-oriented querrying of existing relational databases da keim , hp kriegel , a miethsam",,,
No,2007,25820,0,2007,"efficient approximation of optimization queries under parametric aggregation constraints s guha , d gunopulos , n koudas , d srivastava , m vlachos 2003",,vldb,,25820,"a robust , optimization-based approach for approximate answering of aggregation queries","s chaudhuri , g das , v narasayya",proc .,
No,2006,38537,0,2006,the tpr * - tree : an optimized spatio-temporal access method for predictive queries vldb,"y tao , d papadias , j sun",,2003.0,38537,"the r * - tree : an e cient and robust access method for points and rectangles proc . acm-sigmod international conference on management of & hellip ; ,","n beckmann , hp kriegel , r schneider , b seeger",,
No,1082,28180,0,1082,storage and retrieval of xml data using relational databases,,,2001.0,28180,"watermarking relational databases r agrawal , j kiernan 2002.0",,"vldb ,",
