label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
Yes,1861,64163,1,1861,on-demand data elevation in hierarchical multimedia storage servers vldb,"p triantafillou , t papadakis",,1997.0,64163,"on-demand data elevation in a hierarchical multimedia storage server proc . of 23rd intl. conf . on very large data bases , vldb ,","p triantallou , t papadakis",,1997.0
Yes,2187,64008,1,2187,"database tuning : principles , experiments , and troubleshooting techniques d shasha , p bonnet vldb 2002",,,,64008,"database tuning : principles , experiments , and troubleshooting techniques ( part i ) 2002.0","d shasha , p bonnet","proceedings of the 2002 acm sigmod international conference & hellip ; ,",
Yes,1323,63679,1,1323,"geominer : a system prototype for spatial data mining j han , k koperski , n stefanovic sigmod conference",,,1997.0,63679,"geominer : a system prototype for spatial mining j han , k koperski , n stefanovic proceedings , 1997 acm-sigmod international conference on & hellip ; ,",,,
Yes,1480,45262,1,1480,a critique of ansi sql isolation levels sigmod conference,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",,1995.0,45262,a critique of ansi sql isolation levels 1995.0,"h berenson , p bernstein , j gray , j melton","proceedings of the acm sigmod international conference on & hellip ; ,",
Yes,944,63682,1,944,"dynamat : a dynamic view management system for data warehouses y kotidis , n roussopoulos sigmod conference 1999",,,,63682,dynamat : a dynamic viewmanagement system fordata warehouses,ykn roussopoulos,proc . of the acm sigmod,
Yes,1985,41766,1,1985,"zoo : a desktop experiment management environment y ioannidis , m livny , s gupta , n ponnekanti",,vldb,1996.0,41766,"zoo : a desktop experiment management environment , m livny , s gupta , n ponnekanti vldb , 1996.0",,,
Yes,1082,25283,1,1082,storage and retrieval of xml data using relational databases,,,2001.0,25283,storage and retrieval of xml data using relational databases,"s chaudhuri , k shim","data engineering , 2003 . proceedings . 19th international & hellip ; ,",2003.0
Yes,566,35892,1,566,an overview of data warehousing and olap technology sigmod record,"s chaudhuri , u dayal",,1997.0,35892,"an overview of data warehousing and olap technology . s chaudhri , u dayal",,,1997.0
Yes,909,38317,1,909,path sharing and predicate evaluation for high-performance xml filtering acm trans . database syst . 2003,"y diao , m altinel , m franklin , h zhang , p fischer",,,38317,"yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering y diao , m altinel , mj franklin , h zhang , p fischer acm transactions on database systems ( tods )",,,
Yes,1656,45351,1,1656,a raster approximation for processing of spatial joins,"g zimbrao , j souza",vldb,1998.0,45351,a raster approximation for processing of spatial joins,g zimbrao,"vldb ,",1998.0
Yes,1187,4546,1,1187,ariadne : a system for constructing mediators for internet sources sigmod conference,"j ambite , n ashish , g barish , c knoblock , s minton , p modi , i muslea , a philpot , s tejada",,1998.0,4546,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,"jl ambite , n ashish , g barish",proc . of a cm sigmod conf . on management of,
Yes,171,1241,1,171,client-server paradise,"d dewitt , n kabra , j luo , j patel , j yu",vldb,1994.0,1241,"and j. yu . client-server paradise proceedings ofthe twentieth international conference on vey & hellip ; ,","dj dewitt , n kabra , j luo , jm pate",,
Yes,362,51537,1,362,report on the fourth international conference on flexible query answering systems,,,2001.0,51537,report on the fourth international conference on flexible query answering systems ( fqas 2000 ),"p bosc , a motro , g pasi","sigmod record ,",2001.0
Yes,1376,49864,1,1376,the evolution of the web and implications for an incremental crawler,"j cho , h garcia-molina",vldb,2000.0,49864,"the evolution of the web and implicationsfor an incremental crawler j cho , h garcia-molina technical report , stanford university , 1999 . http://dbpubs .",,,
Yes,2502,21135,1,2502,"an internet-based negotiation server for e-commerce s su , c huang , j hammer , y huang , h li , l wang , y liu , c pluempitiwiriyawej , m lee , h lam vldb j. 2001",,,,21135,"an internet-based negotiation server for e-commerce y stanley , h chunbo , h joachimâ ? ¦",,"very large data bases j ,",
Yes,2298,63027,1,2298,"on completeness of historical relational query languages j clifford , a croker , a tuzhilin",,acm trans . database syst .,1994.0,63027,"a. tuzhilin . on completeness of historical relational query languages working paper stern is-91-41 , center for research on information","j cliord , a croker",,
Yes,196,46744,1,196,distributed top-k monitoring sigmod conference,"b babcock , c olston",,2003.0,46744,"distributed top-k monitoring b babcock , c olston",,,
Yes,365,19738,1,365,"sql and management of external data j melton , j michels , v josifovski , k kulkarni , p schwarz , k zeidenstein 2001",,sigmod record,,19738,"krishna , kulkarni , peter schwarz , kathy zeidenstein , sql and management of external data","j melton , je michels , v josifovski","sigmod record , mar ,",
Yes,1280,49293,1,1280,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote )",,,2000.0,49293,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( ma lane , jl edwards , e nielsen 2000.0",,"& hellip ; international conference on very large data bases table of & hellip ; ,",
Yes,1884,53983,1,1884,"recovering information from summary data c faloutsos , h jagadish , n sidiropoulos 1997",,vldb,,53983,"recovering information from summary data hv jagadish , nd sidiropoulost",,,
