label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
No,283,25847,0,283,an extensible compressor for xml data sigmod record,"h liefke , d suciu",,2000.0,25847,"xmill : an efficient compressor for xml data l hartmut , d suciu",,,
No,1281,34451,0,1281,infosleuth : semantic integration of information in open and dynamic environments ( experience paper ) sigmod conference 1997,"r jr. , w bohrer , r brice , a cichocki , j fowler , a helal , v kashyap , t ksiezyk , g martin , m nodine , m rashid , m rusinkiewicz , r shea , c unnikrishnan , a unruh , d woelk",,,34451,1997 . infosleuth : agent-based semantic integration of information in open and dynamic environments,r bayardoâ ? ¦,proc . acm sigmod int &#39; l conference on management of,
No,968,15368,0,968,"exploratory mining via constrained frequent set queries r ng , l lakshmanan , j han , t mah sigmod conference 1999",,,,15368,exploratory mining and pruning optimizations of constrained associations rules proceedings of the acm sigmod international conference on,"tn raymond , lvs lakshmanan , j han , a pang",,
No,93,18320,0,93,"an algebraic approach to rule analysis in expert database systems e baralis , j widom 1994",,vldb,,18320,"an algebraic approach to static analysis of active database rules e baralis , j widom",,"acm transactions on database systems ,",2000.0
No,2487,27703,0,2487,online dynamic reordering vldb j. 2000,"v raman , b raman , j hellerstein",,,27703,online dynamic reordering for interactive data processing,"v raman , b raman , jm hellerstein","vldb ,",1999.0
No,2400,28491,0,2400,"secure bufering in firm real-time database systems b george , j haritsa vldb j.",,,2000.0,28491,"secure concurrency control in firm real-time database systems distributed and parallel databases , 2000.0","b george , jr haritsa",,
No,1901,33577,0,1901,guest editor 's introduction,,,2003.0,33577,"guest editorial v atluri , a joshi , y yesha 2003.0",,"the vldb journal the international journal on very large & hellip ; ,",
No,1375,58784,0,1375,"strudel : a web-site management system m fernandez , d florescu , j kang , a levy , d suciu 1997",,sigmod conference,,58784,"e suciu , d. , â ?? a query language for a web-site management systemâ ??","m fernandez , d florescu , j kang , a levy","sigmod record , setembro de ,",
No,2036,50625,0,2036,a system for keyword proximity search on xml databases vldb 2003,"a balmin , v hristidis , n koudas , y papakonstantinou , d srivastava , t wang",,,50625,"keyword proximity search in xml trees v hristidis , n koudas , y papakonstantinou",,,
No,2275,48938,0,2275,"lh * - a scalable , distributed data structure w litwin , m neimat , d schneider acm trans . database syst .",,,1996.0,48938,"rp * : a family of order-preserving scalable distributed data structures d schneider , pa ca , ma neimat , w litwin",,,
No,2437,54241,0,2437,"data partitioning and load balancing in parallel disk systems p scheuermann , g weikum , p zabback",,vldb j.,1998.0,54241,"load balancing in parallel disk systems technical report , in : the vldb",d partitioning,,
No,2483,7916,0,2483,guest editorial,,,2000.0,7916,guest editorial c allocchio,,"computer networks ,",2000.0
No,2346,63010,0,2346,object normal forms and dependency constraints for object-oriented schemata acm trans . database syst .,"z tari , j stokes , s spaccapietra",,1997.0,63010,", spaccapietra stefano : object normal forms and dependency constraints for object-oriented schemata t zahir",,acm transactions on database,
No,1637,1596,0,1637,keynote address,,,1995.0,1596,keynote address t bailey,,"women in aviation international conference , reno , nv , march ,",
No,512,25463,0,512,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation 2002,"a datta , k dutta , h thomas , d vandermeer , s suresha , k ramamritham",sigmod conference,,25463,"e. , suresha , and ramamritham , krithi ( 2002 ) . proxy-based acceleration of dynamically generated a datta , k dutta , hm thomas , d vandermeer proceedings of 2002 acm sigmod conference , madison , & hellip ; ,",,,
No,1326,23335,0,1326,"meaningful change detection in structured data s chawathe , h garcia-molina 1997",,sigmod conference,,23335,"j. widom change detection in hierarchically structured information s chawathe , a rajaraman , h garcia-molina proc . of the acm sigmod int . conf . on management of",,,
No,410,3858,0,410,chair 's message 1998,,,,3858,"needha chair 's message ieee edsoc/asee ee div . '' newsletter '' , spring",m hagler,,
No,2425,42501,0,2425,"fast image retrieval using color-spatial information b ooi , k tan , t chua , w hsu vldb j. 1998",,,,42501,fast signature-based color-spatial image retrieval,"ts chua , kl tan , bc ooi",,
No,505,41972,0,505,on views and xml s abiteboul sigmod record,,,1999.0,41972,"on views and xml . sigmod record , 1999.0",acms anthology,,
No,982,41489,0,982,"datablitz storage manager : main memory database performance for critical applications j baulier , p bohannon , s gogate , c gupta , s haldar , s joshi , a khivesera , h korth , p mcilroy , j miller , p narayan , m nemeth , r rastogi , s seshadri , a silberschatz , s sudarshan , m wilder , c wei 1999",,sigmod conference,,41489,datablitz : a high performance main-memory storage manager j baulier,,,
No,1431,42998,0,1431,"query optimization for xml j mchugh , j widom",,vldb,1999.0,42998,query optimizationfor semistructured data jmhj widom,,"technical report , stanford university database group , november",
No,148,39339,0,148,reminiscences on influential papers,,,2001.0,39339,reminiscences on influential papers . acms anthology sigmod 1998.0,,,
No,2451,40790,0,2451,indexing of now-relative spatio-bitemporal data,"s saltenis , c jensen",vldb j.,2002.0,40790,"andg . slivinskas . r-treebasedindexing ofnow-relative bitemporal data r bliujflute , cs jensen , s saltenis the proc . of the 24th vldb conf ,",,,
No,2266,6467,0,2266,polymorphism and type inference in database programming acm trans . database syst . 1996,"p buneman , a ohori",,,6467,"databaseprogramminginmachiavelliâ ?? apolymorphiclanguagewithstatictypeinference a ohori , p buneman , v breazu-tannen",,"acm sigmod intl. conf . on management of data , pages46â ?? 57 ,",
No,1955,59265,0,1955,reminiscences on influential papers,,,2003.0,59265,influential papers k ross 2002.0,,"acm sigmod record ,",
No,580,339,0,580,chair 's message 1998,,,,339,"sigcas chair 's message computers and society ,",cd martin,,
No,583,24364,0,583,"roadrunner : automatic data extraction from data-intensive web sites v crescenzi , g mecca , p merialdo 2002",,sigmod conference,,24364,"roadrunner : towards automatic data extraction from large web sites g mecca , v crescenzi , p merialdo proceedings of the 27th very large databases conference , & hellip ; ,",,,
No,18,17960,0,18,"advances in databases and information systems ( adbis ) a caplinskas , j eder , o vasilecas",,sigmod record,2002.0,17960,of the sixth east-european conference on advances in databases and information systems adbis ' 2002,"sa stupnikov , la kalinichenko , d jin song",,2002.0
No,2466,39902,0,2466,guest editorial,,,2002.0,39902,gaps in perception ( guest editorial ) ma heller,,"perception ,",
No,2483,34163,0,2483,guest editorial,,,2000.0,34163,editorial,n wall,"bt technology journal ,",2000.0
No,1375,12732,0,1375,"strudel : a web-site management system m fernandez , d florescu , j kang , a levy , d suciu 1997",,sigmod conference,,12732,catc hingthe boat with strudel : experiences with aw eb-sitemanagement system,"m fernandez , d florescu , j kang , a levy",proceedings of,
No,1053,21004,0,1053,views in a large scale xml repository,"s cluet , p veltri , d vodislav",vldb,2001.0,21004,"views in a large scale xml database v aguilera , s cluet , t milo , d vodislav , p veltri vldb journal ,",,,
No,777,18744,0,777,a close look at the ifo data model sigmod record,m hanna,,1995.0,18744,"response to â ?? a close look at the ifo data modelâ ?? s abiteboul , r hull acm sigmod record ,",,,1995.0
No,1901,14605,0,1901,guest editor 's introduction,,,2003.0,14605,guest editorâ ?? s introduction tnd independence 2003.0,,"sigmod record ,",
No,1923,30737,0,1923,"efficient incremental garbage collection for client-server object database systems l amsaleg , m franklin , o gruber vldb 1995",,,,30737,garbage collection for a client-server persistent object store 1999.0,"l amsaleg , mj franklin , o gruber","acm transactions on computer systems ,",
No,253,39606,0,253,"investigation of algebraic query optimisation techniques for database programming languages a poulovassilis , c small vldb",,,1994.0,39606,"algebraic query optimisation for database programming languages a poulovassilis , c small 1996.0",,"the vldb journal the international journal on very large & hellip ; ,",
No,2360,45165,0,2360,information gathering in the world-wide web : the w3ql query language and the w3qs system,"d konopnicki , o shmueli",acm trans . database syst .,1998.0,45165,w3qs : a query system for the world-wide web,"o shmueli , d konopnicki",proc . of the internat . conf . on very large data,
No,88,41242,0,88,hector garcia-molina speaks out,m winslett,,2002.0,41242,"hector garcia-molina speaks out regarding startups , how life is getting harder , delta papers , cs in sigmod record , 2002.0",m winslett,,
No,1937,20566,0,1937,in-context peer-to-peer information filtering on the web a ouksel,,sigmod record,2003.0,20566,"semantics and in-context peer-to-peer information filtering and model calibration on the web workshop on semantic web technologies for searching and & hellip ; ,",am ouksel,,
No,637,39339,0,637,reminiscences on influential papers 1998,,,,39339,reminiscences on influential papers . acms anthology sigmod 1998.0,,,
No,1498,60630,0,1498,state of the art in workflow management research and products 1996,,,,60630,"workflow management : state of the art vs. state of the products w du , a elmagarmid",,,
No,2456,18910,0,2456,psoup : a system for streaming queries over streaming data vldb j.,"s chandrasekaran , m franklin",,2003.0,18910,"streaming queries over streaming data s chandrasekaran , mj franklin",,"vldb ,",2002.0
No,2400,43981,0,2400,"secure bufering in firm real-time database systems b george , j haritsa vldb j.",,,2000.0,43981,secure processing in real-time database systems,"b george , j haritsa","proc . of acm sigmod conf ,",
No,2365,35264,0,2365,an access control model supporting periodicity constraints and temporal reasoning acm trans . database syst . 1998,"e bertino , c bettini , e ferrari , p samarati",,,35264,"reasoning with temporall authorizations and periodicity constraints in database access control acm trans . on database systems ,","e bertino , c bettini , e ferrari , p samarati",,
No,1633,21421,0,1633,keynote address,,,1995.0,21421,keynote address on concurrent programming pb hansen,,,
No,19,51361,0,19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,51361,"fast algorithms for mining association rules , proc vldb","r agrawal , r srikant",,
No,1632,30538,0,1632,"the mirror mmdbms architecture a vries , m doorn , h blanken , p apers vldb 1999",,,,30538,"de vries , mark g. lm van doorn , henk m. blanken , & peter mg apers , the mirror mmdbms architecture p arjen proceedings of the international conference on very large",,,
No,1034,38780,0,1034,the need for distributed asynchronous transactions,"l do , p ram , p drew",sigmod conference,1999.0,38780,"distributed transactions in practice sigmod record , 1999.0","p ram , l do , p drew",,
No,2298,29078,0,2298,"on completeness of historical relational query languages j clifford , a croker , a tuzhilin",,acm trans . database syst .,1994.0,29078,on completeness query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ,",1994.0
No,1633,45119,0,1633,keynote address,,,1995.0,45119,"keynote address international symposium on shared memory multiprocessing ,",f baskett,,
No,2600,42325,0,2600,"supporting periodic authorizations and temporal reasoning in database access control e bertino , c bettini , e ferrari , p samarati",,vldb,1996.0,42325,p. an access control mechanism supporting periodicity constraints and temporal reasoning acm trans . on database,"e bertino , c bettini , es ferrari",,
No,2588,58131,0,2588,guest editor 's introduction,,,2002.0,58131,guest editorial 2002.0,ay halevy,"the vldb journal the international journal on very large & hellip ; ,",
No,1868,46106,0,1868,sting : a statistical information grid approach to spatial data mining vldb,"w wang , j yang , r muntz",,1997.0,46106,sting + : an approach to active spatial data mining,"w wang , j yang , r muntz",,
No,357,50601,0,357,"a vision of management of complex models p bernstein , a halevy , r pottinger",,sigmod record,2000.0,50601,"model management : managing complex information structures pa bernstein , ay halevy , ra pottinger sigmod record ,",,,
No,2588,40962,0,2588,guest editor 's introduction,,,2002.0,40962,guest editor 's introduction : media spaces,g singh,,
