label_str,ltable_id,rtable_id,label,title_x,authors_x,venue_x,year_x,title_y,authors_y,venue_y,year_y
Yes,0,59995,1,"towards a cooperative transaction model - the cooperative activity model m rusinkiewicz , w klas , t tesch , j wфsch , p muth 1995",,vldb,,"w asch , j. , muth , p. : towards a cooperative transaction model-the cooperative activity model","m rusinkiewicz , w klas , t tesch",proc . ofthe 21 stinternational conference on very large,
Yes,2,21187,1,using formal methods to reason about semantics-based decompositions of transactions vldb,"p ammann , s jajodia , i ray",,1995.0,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray","proceedings of the international conference on very large & hellip ; ,",1995.0
Yes,5,35628,1,"schema and database evolution in the o2 object database system f ferrandina , t meyer , r zicari , g ferran , j madec 1995",,vldb,,"schema and database evolution in the 02 object database system proceedings of the 21th international conference on very & hellip ; , 1995.0","f ferrandina , t meyer , r zicari , g ferran , je",,
Yes,9,35567,1,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms 1995,"f moser , a kraiss , w klas",vldb,,"l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms f moser , w klas proceedings of the international conference on very large & hellip ; ,",,,1995.0
Yes,9,51737,1,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms 1995,"f moser , a kraiss , w klas",vldb,,w ; klas . l/mrp : a buer management strategy for interactive continuous data ows in a multimedia dbms,"f moser , a kraisse",international conference on very large,
Yes,17,35922,1,"managing intra-operator parallelism in parallel database systems m mehta , d dewitt vldb",,,1995.0,"managing intra-operator parallelism in parallel database systems m mehta proceedings of the international conference on very large & hellip ; , 1995.0",,,
Yes,18,28404,1,"advances in databases and information systems ( adbis ) a caplinskas , j eder , o vasilecas",,sigmod record,2002.0,"advances in databases and information systems : report of 5 theast european conference adbis ' 2001 a caplinskas , j eder , o vasilecas acm sigmod record ,",,,2002.0
Yes,18,41055,1,"advances in databases and information systems ( adbis ) a caplinskas , j eder , o vasilecas",,sigmod record,2002.0,"advances in databases and information systems a caplinskas , j eder",,,
Yes,19,5072,1,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,mining generalized association rules,"r srikant , r agrawal",,1995.0
Yes,19,48814,1,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,"r. ( 1995 ) , mining generalized association rules in '",ra srikant,proceedings of,
Yes,20,14220,1,sampling-based estimation of the number of distinct values of an attribute 1995,"p haas , j naughton , s seshadri , l stokes",vldb,,"sampling-based estimation of the number of distinct values of an attribute pj haas , jf naughton , s seshadri , l stokes",,"vldb ,",1995.0
Yes,24,32476,1,"the clustra telecom database : high availability , high throughput , and real-time response s hvasshovd , и torbjјrnsen , s bratsberg , p holager 1995",,vldb,,"the clustra telecom database : high availability , high throughput , and real-time response so hvasshovd , ã ? torbjã ¸ rnsen , se bratsberg , p 1995.0",,"proceedings of the 21th international conference on very & hellip ; ,",
Yes,24,33260,1,"the clustra telecom database : high availability , high throughput , and real-time response s hvasshovd , и torbjјrnsen , s bratsberg , p holager 1995",,vldb,,"bratsberg , and p. holager . the clustra telecom database : high availability , high throughput , and so hvasshovd , se torbjrnsen proc . of the 21th vldb",,,
