label_str,ltable_id,rtable_id,label,id_x,title_x,authors_x,venue_x,year_x,id_y,title_y,authors_y,venue_y,year_y
Yes,2429,61312,1,2429,"integrated document caching and prefetching in storage hierarchies based on markov-chain predictions a kraiss , g weikum",,vldb j.,1998.0,61312,"integrated document caching and prefetching in storage hierarchies based on markov-chain predictions a kraiss , g weikum",,"the vldb journal the international journal on very large & hellip ; ,",1998.0
Yes,19,18752,1,19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,18752,"mining generfized association rules r srikant , r agrawal proc . 1995 int . conf . very large data bases , zrich ,",,,
Yes,95,13903,1,95,fast algorithms for mining association rules in large databases 1994,"r agrawal , r srikant",vldb,,13903,"fast algorithms for mining association rules in databases the 20th int &#39; l conf . on vldb , chile ,","r agrawal , r srikant",,
Yes,1070,22163,1,1070,"`` honey , i shrunk the dbms '' : footprint , mobility , and beyond ( panel ) 1999",p seshadri,sigmod conference,,22163,"â ?? honey , i shrunk the databaseâ ?? : footprint , mobility , and beyond proceedings of the 1999 acm sigmod international conference & hellip ; , 1999.0",p seshadri,,
Yes,2555,48619,1,2555,"chronological scheduling of transactions with temporal dependencies d georgakopoulos , m rusinkiewicz , w litwin",,vldb j.,1994.0,48619,chronological scheduling of transactions with temporal dependencies 1994.0,"d georgakopoulos , m rusinkiewicz , w litwin","the vldb journal the international journal on very large & hellip ; ,",
Yes,2246,28530,1,2246,coma - a system for flexible combination of schema matching approaches vldb,"h do , e rahm",,2002.0,28530,"comaâ ?? a system for flexible combinationofschemamatchingapproaches h do , e rahm proc . 28thinternational conference on very large data bases ,",,,
Yes,432,46621,1,432,semantic integration of environmental models for application to global information systems and decision-making d mackay 1999,,sigmod record,,46621,"semantic integration of environmental models for application to global information systems and sigmod record , 1999.0",ds mackay,,
Yes,1954,27538,1,1954,"discovery of multiple-level association rules from large databases j han , y fu 1995",,vldb,,27538,"discovery of multiple-level association rules from large databases in proc . 1995 vldb zurich , switzerland , sept ,","j han , y fu",,
Yes,6,38997,1,6,"procedures in object-oriented query languages k subieta , y kambayashi , j leszczylowski 1995",,vldb,,38997,"procedures in object-oriented query languages proceedings of the international conference on very large & hellip ; , 1995.0","k subieta , y kambayashi , j leszczylowski",,
Yes,1891,56808,1,1891,toward network data independence j hellerstein sigmod record 2003,,,,56808,"toward network data independence sigmod record ,",j hellerstein,,2003.0
Yes,387,3234,1,387,"electronic market : the roadmap for university libraries and members to survive in the information jungle m christoffel , s pulkowski , b schmitt , p lockemann sigmod record 1998",,,,3234,"electronic market : the roadmap for university libraries and members to survive in the information sigmod record ,",acms anthology,,1998.0
Yes,1140,45553,1,1140,analyzing energy behavior of spatial access methods for memory-resident data vldb,"n an , a sivasubramaniam , n vijaykrishnan , m kandemir , m irwin , s gurumurthi",,2001.0,45553,analyzing energy behavior of spatial access methods for memory-resident data 2001.0,"n an , a sivasubramaniam , n vijaykrishnan , m","proceedings of the international conference on very large & hellip ; ,",
Yes,1154,18542,1,1154,similarity query processing using disk arrays sigmod conference 1998,"a papadopoulos , y manolopoulos",,,18542,"similarity query processing using disk arrays a papadopoulos , y manolopoulos",,,
Yes,95,20258,1,95,fast algorithms for mining association rules in large databases 1994,"r agrawal , r srikant",vldb,,20258,"fast algorithms for mining association rules in large database a rakesh , r srikant",,,1994.0
Yes,86,48634,1,86,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994.0,48634,dual-buffering strategies in object bases 1994.0,"a kemper , d kossmann","vldb ,",
Yes,1092,12464,1,1092,comparing hybrid peer-to-peer systems vldb,"b yang , h garcia-molina",,2001.0,12464,"comparing hybrid peer-to-peer systems b yang , h garcia-molina proceedings of the international conference on very large & hellip ; , 2001.0",,,
Yes,1794,59808,1,1794,"cost-based selection of path expression processing algorithms in object-oriented databases g gardarin , j gruser , z tang 1996",,vldb,,59808,"cost-based selection of path expression processing algorithms in object-oriented databases g gardarin , jr gruser , zh tang proceedings of the international conference on very large & hellip ; ,",,,1996.0
Yes,1426,11975,1,1426,performance measurements of compressed bitmap indices t johnson 1999,,vldb,,11975,performance measurements of compressed bitmap indices,t johnson,"proceedings of the 25th international conference on very & hellip ; ,",1999.0
Yes,1775,46066,1,1775,"spatial joins using seeded trees m lo , c ravishankar sigmod conference",,,1994.0,46066,"1994 . spatial joins using seeded trees m lo , c ravishankar",,proc . acm sigmod int . conf . on management of,
Yes,112,13871,1,112,similarity based retrieval of pictures using indices on spatial relationships vldb 1995,"a sistla , c yu , c liu , k liu",,,13871,"similarity based retrieval of pictures using indices on spatial relationships proceedings of the international conference on very large & hellip ; ,","ap sistla , c yu , c liu , k liu",,1995.0
Yes,532,6351,1,532,workflow management with service quality guarantees 2002,"m gillmann , g weikum , w wonner",sigmod conference,,6351,"workflow management with service quality guarantees ( sigmod02 ) m gillmann , g weikum , w wonner",,sigmod,
Yes,212,63200,1,212,"extracting structured data from web pages a arasu , h garcia-molina sigmod conference 2003",,,,63200,"stanford university , extracting structured data from web pages proceedings of the 2003 acm sigmod international conference & hellip ; ,","a arasu , h garcia-molina",,
Yes,1767,36751,1,1767,materialized views in oracle,"r bello , k dias , a downing , j jr. , j finnerty , w norcott , h sun , a witkowski , m ziauddin",vldb,1998.0,36751,"h. , witkowski , a. , and ziauddin , m. 1998 . materialized views in oracle rg bello , k dias , a downing jr , nc jf , s wd proceedings of the conferencce on very large data bases (",,,
Yes,1769,4321,1,1769,"koda - the architecture and interface of a data model independent kernel g arun , a joshi",,vldb,1998.0,4321,koda - the architecture and interface of a data model independent kernel,"g arun , a joshi","proceedings of the international conference on very large & hellip ; ,",1998.0
Yes,1871,14016,1,1871,"merging ranks from heterogeneous internet sources l gravano , h garcia-molina vldb",,,1997.0,14016,merging ranks from heterogeneous internet sources,"l gravano , h garcia-molina","proceedings of the international conference on very large & hellip ; ,",1997.0
Yes,792,17599,1,792,normalization in oodb design b lee sigmod record 1995,,,,17599,normalization in oodb design 1995.0,bs lee,"acm sigmod record ,",
Yes,1728,57579,1,1728,"efficient testing of high performance transaction processing systems d wildfogel , r yerneni vldb 1997",,,,57579,efficient testing of high performance transaction processing systems,"d wildfogel , r yerneni","proceedings of the international conference on very large & hellip ; ,",1997.0
Yes,512,12093,1,512,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation 2002,"a datta , k dutta , h thomas , d vandermeer , s suresha , k ramamritham",sigmod conference,,12093,"suresha , and ramamritham , k. 2002 . proxy-based accelaration of dynamically generated content on the a datta , k dutta , h thomas , d vander meer proceedings of acm sigmod",,,
Yes,947,31783,1,947,"approximate computation of multidimensional aggregates of sparse data using wavelets j vitter , m wang sigmod conference 1999",,,,31783,"approximate computation ofmultidimensionalaggregates ofsparsedata using wavelets js vitter , m wang proceedings of the 1999 acm sigmod international conference",,,
Yes,2221,60908,1,2221,multi-dimensional regression analysis of time-series data streams vldb 2002,"y chen , g dong , j han , b wah , j wang",,,60908,"multi-dimensional regression analysis of time-series data streams y chen , g dong , j han , bw wah , j wang vldb , 2002.0",,,
Yes,2458,46644,1,2458,"complex relationships and knowledge discovery support in the infoquilt system a sheth , s thacker , s patel",,vldb j.,2003.0,46644,"complex relationships and knowledge discovery support in the infoquilt system a sheth , s thacker , s patel",,"the vldb journal the international journal on very large & hellip ; ,",2003.0
