label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
Yes,2531,19976,1,2531,night owl security products wired color security camera with 60 of cable,garden - general,night owl,cam-cm01-245,49.71,19976,night owl security products cam-cm01-245 wired color security camera with 60 of cable,bullet cameras,night owl optics,cam-cm01-245,39.99
Yes,2074,17803,1,2074,basyx return shell 48-1 4 x24 x29 medium cherry,furniture,basyx,,252.0,17803,new-basyx bl2145a1a1 - bl series return shell 48-1 4w x 24d x 29h medium cherry - bsxbl2145a1a1,laminating supplies,basyx,,194.0
Yes,155,3446,1,155,sumdex slr camera sling pack,mp3 accessories,sumdex,144952,39.99,3446,slr camera sling pack,cases bags,sumdex,poc-484bk,44.59
Yes,2219,245,1,2219,kensington wrist pillow foam keyboard platform wrist rest black,electronics - general,kensington,34801,22.0,245,new-wrist pillow foam keyboard platform wrist rest case pack 1 - 516275,keyboards,kensington,,50.53
Yes,415,20385,1,415,quartet magnetic dry-erase board mahogany frame,stationery & office machinery,quartet,2544m,419.0,20385,new-quartet 2544m - magnetic dry erase board porcelain 48 x 36 white solid mahogany frame - qrt2544m,radios,quartet,,426.29
Yes,284,2675,1,284,netgear powerline av 500 adapter,networking,netgear,xav5001100nas,79.82,2675,netgear xav5001 powerline av 500 adapter,powerline network adapters,netgear,xav5001-100nas,69.99
Yes,2379,10267,1,2379,axis gk-013 107-key ps 2 keyboard black,computers,axis,gk-013,9.72,10267,axis gk-013 107 key ps 2 keyboard black,keyboards,axis communications,gk-013,15.52
Yes,217,5274,1,217,imation 32gb pocket flash drive,usb drives,imation,27860,77.21,5274,usb 32gb pocket flash drive,car audio video,imation,27860,44.02
Yes,2257,8356,1,2257,master caster big foot no-slip rubber wedge gray 2pk,home care,master caster,00972,8.79,8356,master caster 00972 - big foot doorstop no-slip rubber wedge 2-1 4w x 4-3 4d x 1-1 4h gray 2 pack,laminating supplies,master caster,,
Yes,2107,8358,1,2107,atrend-bbox a201-12cp b box series single-sealed 10 up-fire enclosure,car stereos,atrend,a201-12cp,60.88,8358,atrend-bbox a201-12cp b box series single-sealed 10 up-fire enclosure for dodge ram quad cab 2002,office electronics,atrend,,93.7
Yes,2088,17263,1,2088,targus red tg-6660tr tripod with 3-way panhead,photography - general,targus,tg-6660tr,29.98,17263,new-targus red tg-6660tr tripod with 3-way panhead 66 - meytg6660tr,tripods,targus,,31.0
Yes,678,8962,1,678,ilive app-enhanced boom box with ipod iphone dock,electronics - general,ilive,ibp391b,63.88,8962,ilive ibp391b portable app-enhanced boombox am fm radio with dock for iphone ipod,speaker systems,ilive,ibp391b,41.24
Yes,1529,1441,1,1529,dell switch by design studio lids fire red 17r,electronics - general,dell,8cmcy,24.0,1441,switch by design studio fire red 17-inch,computers accessories,dell,318-1000,24.0
Yes,2478,16862,1,2478,mace security easy watch hidden camera in pir motion detector housing,garden - general,mace security,ewc-pir-rj11,119.82,16862,new-easy watch hidden camera in pir motion detection housing - dq2434,home security systems,mace,,172.0
