label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
No,661,9989,0,661,case logic 16 laptop backpack,electronics - general,case logic,154710,39.99,9989,case logic gbp-116 16-inch laptop backpack red,bags cases,case logic,gbp-116red,36.6
No,2461,7243,0,2461,filemate imagine series k2010 usb standard keyboard,computers,,,15.12,7243,wintec filemate imagine series k1010 usb mini keyboard - jet black 3fmnk1010ubk-r,keyboards,wintec,3fmnk1010ubk-r,13.99
No,1426,14635,0,1426,elite screens maxwhite vmax2 plus2 series 82 overall height ezelectric motorized screen - 92 diagonal,electronics - general,elite screens,vmax92xwv2,379.0,14635,maxwhite vmax2 plus2 series ezelectric motorized screen - 92 diagonal in white case,projection screens,elite,,399.0
No,737,4752,0,737,lexmark t650a11a black toner print cartridge,printers,lexmark,t650a11a,202.87,4752,lexmark t650 series print cartridge 7000 yield - genuine oem toner,laser printer toner,lexmark,,231.99
No,421,17330,0,421,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,17330,new-pendaflex 415213 - reinforced hanging file folders 1 3 tab kraft letter standard green 25 box - ess415213,laminating supplies,pendaflex,,
No,626,6750,0,626,da-lite holoscreen rear projection screen - 22 x 33 3 4 video format,electronics - general,da-lite,20030,1600.0,6750,da-lite holo screen - projection screen rear,video projectors,da-lite,,
No,2224,6745,0,2224,da-lite video spectra 1.5 deluxe model b manual screen - 50 x 67 video format,electronics - general,da-lite,73639,181.99,6745,da-lite deluxe model b video spectra 1.5 - projection screen,projection screens,da-lite,model b video spectra 1.5,125.95
No,40,12795,0,40,da-lite 93163 model b manual wall and ceiling projection screen,electronics - general,da-lite,93163,149.88,12795,da-lite deluxe model b manual wall and ceiling projection screen 50 x 50 71 diagonal silver matte surface,projection screens,da-lite,,103.95
No,2082,10869,0,2082,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,73179,167.99,10869,medium oak veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,,
No,421,16820,0,421,pendaflex 2 reinforced hanging file folder standard green 25 box,stationery & office machinery,,4152x2,24.94,16820,new-pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box - essrcy415215sgr,laminating supplies,pendaflex,,38.0
No,889,2793,0,889,logitech wireless mouse m310 bundle,computers,,,29.88,2793,logitech wireless mouse m310 red tendrills,mice,logitech,910-001920,28.51
No,1511,21680,0,1511,canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints,digital cameras,canon,4925b001aa,178.54,21680,canon powershot elph 100 hs 12 mp cmos digital camera with 4x optical zoom grey,point shoot digital cameras,canon,elph 100 hs - gy,179.0
No,1424,11809,0,1424,nzxt phantom crafted series atx full tower steel chassis black,electronics - general,nzxt,nzxt phantom,139.82,11809,nzxt crafted series atx full tower steel chassis - phantom white with red trim computer case cs-nt-phan-wnr white red,computer cases,nzxt,cs-nt-phan-wnr,139.99
No,2432,6753,0,2432,da-lite matte white advantage manual with csr - hdtv format 159 diagonal,electronics - general,da-lite,85743,1080.63,6753,da-lite advantage manual with csr - projection screen - 1 1 - high power,projection screens,da-lite,,
No,787,8779,0,787,da-lite light oak veneer model b manual screen with high power fabric - 60 x 60 av format,electronics - general,da-lite,99731,310.99,8779,da-lite veneer model b high power fabric 120 diag . medium oak,projection screens,da-lite,,
No,398,17563,0,398,pendaflex two-ply dark kraft file folders top tab brown 100 box,stationery & office machinery,,rk15313,51.79,17563,pendaflex rk152 - two-ply dark kraft file folders straight cut top tab letter brown 100 box,printers,pendaflex,,
No,40,2828,0,40,da-lite 93163 model b manual wall and ceiling projection screen,electronics - general,da-lite,93163,149.88,2828,da-lite deluxe model b manual wall and ceiling projection screen 60 x 60 85 diagonal high power surface,projection screens,da-lite,,228.95
No,2284,19451,0,2284,sharpie retractable fine point permanent markers,stationery & office machinery,sharpie,32760,5.99,19451,sharpie fine tip permanent marker - black - 5 pack,,smartbuy,,5.84
No,887,4725,0,887,da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal,electronics - general,da-lite,88285,4242.99,4725,da-lite tensioned advantage deluxe electrol - projection screen motorized - 92 in - 16 9 - pearlescent,projection screens,da-lite,,3740.0
No,2363,21870,0,2363,da-lite high power designer contour manual screen with csr - 50 x 67 video format,electronics - general,da-lite,92290,512.99,21870,high power designer contour manual screen with csr and top black drop - 45 x 80 hdtv format size 52 x 92,projection screens,da-lite,,
No,354,21296,0,354,avery 3 durable view binder with ez-turn ring black,stationery & office machinery,avery,17351,7.47,21296,avery 09300 - durable slant easy insert ring view binder 1 capacity black,,avery,,
No,787,14949,0,787,da-lite light oak veneer model b manual screen with high power fabric - 60 x 60 av format,electronics - general,da-lite,99731,310.99,14949,honey maple veneer model b manual screen with high power fabric - av format size 60 x 60,projection screens,da-lite,,
No,2253,1302,0,2253,visontek wireless candyboard mini keyboard with touchpad,electronics - general,visiontek,900319,59.82,1302,visiontek candyboard bluetooth wireless mini keyboard with touchpad 900335 black,keyboards,visiontek,900335,49.99
No,1153,9239,0,1153,filemate imagine series m2810 usb standard mouse,computers,,,8.98,9239,wintec filemate imagine series m2220 standard mouse - telemagenta with white 3fmnm2220wmg-r,mice,wintec,3fmnm2220wmg-r,15.99
No,2082,2689,0,2082,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,73179,167.99,2689,natural walnut veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,,
No,2188,12648,0,2188,buffalo technology 2tb usb 3.0 drivestation duo,hard drives,buffalo technology,hdwl2tu3r1,239.82,12648,buffalo technology drivestation duo 4 tb 2 x 2 tb usb 3.0 external raid hard drive array hd-wl4tu3r1 black,computers accessories,buffalo technology,hd-wl4tu3r1,397.63
No,2461,2053,0,2461,filemate imagine series k2010 usb standard keyboard,computers,,,15.12,2053,wintec filemate imagine series k2210 usb standard keyboard - blue lilac with white keys 3fmnk2210upu-r,keyboards,wintec,3fmnk2210upu-r,15.99
No,1091,17121,0,1091,hon 600 series two-drawer lateral file black,stationery & office machinery,hon,682lp,449.94,17121,new-hon 692lp - 600 series two-drawer lateral file 42w x19-1 4d black - hon692lp,laminating supplies,hon,,772.0
No,50,16936,0,50,avery economy vinyl round ring view binder,stationery & office machinery,avery,5706,7.91,16936,wilson jones 36214b - economy vinyl round ring view binder 11 x 8-1 2 1 capacity black,,wilson jones,,
No,1141,3276,0,1141,western digital elements 500gb portable se portable hard drive black,hard drives,western digital,wdbabv5000abk-nesn,71.98,3276,western digital wd elements 500 gb usb 2.0 portable external hard drive,external hard drives,western digital,wdbaar5000abk-nesn,74.99
No,1571,10869,0,1571,da-lite honey maple veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,87184,167.99,10869,medium oak veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,,
No,2082,4739,0,2082,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format,electronics - general,da-lite,73179,167.99,4739,light oak veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,,
No,1688,9336,0,1688,universal pressboard classification folder legal box of 10 red,stationery & office machinery,,82007,47.84,9336,universal 10316 - pressboard end tab classification folders legal six-section red 10 box,,universal,,
No,16,15183,0,16,xfx radeon hd6850 pcie 1gb ddr5 graphics card,electronics - general,xfx,hd685xzndc,195.0,15183,xfx hd 6850 775m 1 gb ddr5 graphics card hd685xznfc,graphics cards,xfx,hd685xznfc,163.99
No,1966,10568,0,1966,cables unlimited 15 usb 2.0 a to b cable clear,electronics - general,cables unlimited,usb-5010-05m,8.88,10568,cables unlimited usb-5010-03m usb 2.0 a to b cable 10 feet clear,usb cables,cables unlimited,usb-5010-03m,5.69
No,1809,2815,0,1809,da-lite da-mat tensioned advantage electrol - av format 8 x 10 diagonal,electronics - general,da-lite,84374,3077.99,2815,da-lite tensioned advantage deluxe electrol - - 133 in - 16 9 - pearlescent,projection screens,da-lite,,
No,1653,7612,0,1653,sabrent 32 usb 2.0 active extension cable,electronics - general,sabrent,cb-usbxt,13.88,7612,sabrent usb-exc2 usb 2.0 hi-speed 16-foot active extension cable type a male to type a female,accessories supplies,sabrent,usb-exc2,12.99
No,278,19779,0,278,da-lite hc cinema vision tensioned advantage electrol - av format 8 x 8 diagonal,electronics - general,da-lite,89939,2595.0,19779,hc cinema vision tensioned advantage deluxe electrol - av format size 50 x 50,projection screens,da-lite,,
No,2209,18420,0,2209,bankers box super stor drawer file ltr steel plastic 12-3 4 x 23 x 10-1 2 blk we 6 ctn,storage,bankers box,,179.99,18420,new-bankers box 00372 - super stor drawer file storage box legal steel plastic black white 6 carton - fel00372,storage presentation materials,bankers box,,
No,2461,7240,0,2461,filemate imagine series k2010 usb standard keyboard,computers,,,15.12,7240,wintec filemate imagine series k2010 usb standard keyboard - luminous red 3fmnk2010urd-r,keyboards,wintec,3fmnk2010urd-r,15.99
No,2391,809,0,2391,da-lite high power model b manual screen with csr - 96 x 96 av format,electronics - general,da-lite,85311,555.99,809,da-lite model b with csr high power - projection screen,projection screens,da-lite,high power,289.95
No,658,12878,0,658,keyspan usb twin serial adapter,electronics - general,keyspan,usa-28xg,70.73,12878,keyspan usa-28x external usb to serial adapter,connectors adapters,keyspan,,
No,95,1033,0,95,hp ce505xd black laserjet print cartridges 2pk,printers,hp,hp ce505xd,258.84,1033,hp laserjet ce505x black print cartridge,laser printer toner,hp,ce505x,
No,1057,16735,0,1057,s j paper file jackets with 1 1 2 expansion letter 11 pt . manila 50 ctn,stationery & office machinery,s j paper,,45.69,16735,new-s j paper s11320 - file jackets with 1 1 2 inch expansion letter 11 point manila 50 box - sjps11320,laminating supplies,s j paper,,
No,2445,13066,0,2445,hello kitty sms text messenger,toys - games,sakar,79009,19.11,13066,hello kitty 79009 sms text messenger red,audio video accessories,hello kitty,79009-tru-red,16.99
No,2540,21344,0,2540,zyxel homeplug av 200mbps powerline wall plug adapter,networking,zyxel,pla401v3,47.92,21344,zyxel pla401v3 homeplug av 200 mbps powerline wall-plug adapter starter kit - 2 units,powerline network adapters,zyxel,pla401v3kit,69.99
No,786,4733,0,786,da-lite video spectra 1.5 model c with csr manual screen - 58 x 104 hdtv format,electronics - general,da-lite,82980,736.99,4733,da-lite advantage manual with csr - projection screen - 4 3 - video spectra 1.5 - white,projection screens,da-lite,,636.95
No,889,8764,0,889,logitech wireless mouse m310 bundle,computers,,,29.88,8764,logitech wireless mouse m310 dark aces 910-002087,mice,logitech,910-002087,24.45
