label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
Yes,652,6708,1,652,startech 6 rj-45 to db9 cisco console management router cable,electronics - general,startech,db9concabl6,19.0,6708,startech 6 ft. rj45 to db9 cisco console management router cable - m f db9concabl6,wire management,startech,db9concabl6,14.63
No,2236,11638,0,2236,roocase executive portfolio leather case w 2 screen protector for blackberry playbook,electronics - general,roocase,220761,35.99,11638,roocase executive portfolio black leather case cover with landscape portrait view for blackberry playbook tablet wi-fi 4g,cases sleeves,roocase,,20.0
Yes,577,19367,1,577,da-lite tilt lock single pair or container of 12 pairs,electronics - general,da-lite,40964,66.19,19367,tilt lock single pair or container of 12 pairs package container of 24 tilt locks,projection screens,da-lite,,66.19
No,887,8784,0,887,da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal,electronics - general,da-lite,88285,4242.99,8784,da-lite tensioned advantage deluxe electrol - projection screen motorized - 92 in - 16 9 - high contrast cinema vision,projection screens,da-lite,,2959.95
Yes,2196,19484,1,2196,netgear ant 9dbi in outdoor omni-direc,computers,netgear,ant240920000s,129.82,19484,ant 9dbi in outdoor omni-direc,connectors adapters,netgear,,
Yes,810,11428,1,810,startech.com icusb1284 6 ft usb to parallel printer adapter,printers,startech,icusb1284,15.88,11428,startech.com 6 feet usb to db25 parallel printer adapter cable - m f icusb1284d25,connectors adapters,startech,icusb1284d25,14.25
Yes,2133,10434,1,2133,hp c7971a lto ultrium 1 tape cartridge,mp3 accessories,hp,c7971a,39.88,10434,1-pack 100 200gb lto ultrium data cart for surestore ultrium,data cartridges,hp,c7971a,21.99
Yes,853,6747,1,853,da-lite matte white concord designer manual screen - 70 x 70 av format,electronics - general,da-lite,76454,923.99,6747,da-lite designer manual matte white concord finisher - projection screen - matte white,projection screens,da-lite,matte white ( concord finisher ),
No,545,11634,0,545,roocase multi-angle leather case for lg g-slate 8.9-inch 4g tablet,electronics - general,roocase,222052,35.99,11634,roocase ultra slim magenta leather case cover with stand for lg g-slate 8.9-inch 4g android tablet wi-fi 4g,cases sleeves,roocase,,32.93
Yes,741,11537,1,741,simplism shoulder case for ipad red,mp3 accessories,simplism,trlcslipaddren,58.76,11537,simplism leather collection shoulder leather case for ipad deep red,cases sleeves,simplism,tr-lcslipad-dr/en,21.85
Yes,1564,6914,1,1564,incipio smart feather for apple ipad 2 light blue,electronics - general,incipio,ipad-227,33.25,6914,incipio smart feather case for apple ipad 2 - light blue ipad-227,cases sleeves,incipio,ipad-227,29.13
Yes,2069,21448,1,2069,kodak 10c color ink cartridge,printers,kodak,10c,19.97,21448,kodak color ink cartridge 8946501,inkjet printer ink,kodak,8946501,17.99
Yes,528,21347,1,528,wintec filemate 4gb swivel usb flash drive black,usb drives,wintec,3fmusb4gwb-r,7.84,21347,wintec filemate 4 gb swivel usb drive - black,usb flash drives,wintec,3fmusb4gwb-r,8.99
No,1269,21544,0,1269,comprehensive 1 4 standard stereo phone jack cable end set of 25,tv accessories,comprehensive,spj-s,35.75,21544,comprehensive spp 1 4 standard phone plug cable end set of 25,,comprehensive,,
No,665,2821,0,665,da-lite video spectra 1.5 model b manual screen with csr - 69 x 92 video format,electronics - general,da-lite,85322,429.99,2821,da-lite model b with csr - projection screen - 1 1 - video spectra 1.5,projection screens,da-lite,,284.5
No,2236,3629,0,2236,roocase executive portfolio leather case w 2 screen protector for blackberry playbook,electronics - general,roocase,220761,35.99,3629,roocase 2n1 executive portfolio black leather case cover and 2-pack anti-glare screen protector for blackberry playbook tablet wi-fi 4g,cases sleeves,roocase,,39.54
Yes,2379,264,1,2379,axis gk-013 107-key ps 2 keyboard black,computers,axis,gk-013,9.72,264,new-axis gk-013 107-key ps 2 keyboard black - cp76006,keyboards,axis,,11.51
Yes,2438,2861,1,2438,lacie fastkey 120gb usb 3.0 flash drive,usb drives,lacie,lac130980,449.0,2861,lacie fastkey 120 gb usb 3.0 solid state drive 130980,computers accessories,lacie,130980,418.59
Yes,1197,4814,1,1197,kensington k72335us ci10 fit wireless notebook laser mouse,mice,kensington,k72335us,24.84,4814,kensington ci10 fit wireless notebook laser mouse silver,mice,kensington,k72335us,25.41
No,1511,21680,0,1511,canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints,digital cameras,canon,4925b001aa,178.54,21680,canon powershot elph 100 hs 12 mp cmos digital camera with 4x optical zoom grey,point shoot digital cameras,canon,elph 100 hs - gy,179.0
Yes,1908,20111,1,1908,middle atlantic designer inspired ultra quiet fan panel,tv accessories,middle atlantic,uqfp-4dra,525.0,20111,middle atlantic designer inspired ultra quiet fan panel uqfp-4dra - rack fan kit - black,home audio theater,middle atlantic,uqfp-4dra,372.42
No,1141,3276,0,1141,western digital elements 500gb portable se portable hard drive black,hard drives,western digital,wdbabv5000abk-nesn,71.98,3276,western digital wd elements 500 gb usb 2.0 portable external hard drive,external hard drives,western digital,wdbaar5000abk-nesn,74.99
Yes,1151,18330,1,1151,quality park antistatic fiberboard disk mailer white recycled 25 box,stationery & office machinery,,64126,16.97,18330,new-quality park 64126 - antistatic fiberboard disk mailer 6 x 8 5 8 white recycled 25 box - qua64126,storage presentation materials,quality park,,51.15
Yes,475,12746,1,475,lowrance elite-5 dsi fishfinder base,fish finder,lowrance,000-10236-001,740.84,12746,lowrance 000-10236-001 elite tm -5 dsi fishfinder base,gps system accessories,lowrance,,744.1
Yes,2353,13476,1,2353,sony dpw30r2h 1.4 gb camcorder 8cm dvd rw,mp3 accessories,sony,dpw30r2h,8.88,13476,sony dpw30r2h 1.4 gb camcorder 8cm dvd rw single,dvd rw discs,sony,dpw30r2h,3.49
Yes,785,10845,1,785,macsense lc200 just mobile lazy couch aluminum portable stand,electronics - general,macsense,lc-200,18.72,10845,just mobile lazy couch for ipad macbook,cases sleeves,just mobile,lc-200,12.87
No,517,4079,0,517,targus 15.4 corporate traveler laptop case,electronics - general,targus,146417,79.99,4079,targus checkpoint-friendly corporate traveler case for 15.4 inch laptops cuct02ua15s black,bags cases,targus,cuct02ua15s,66.27
Yes,2341,7893,1,2341,green onions supply 10.1 anti-glare screen protector,electronics - general,green onions supply,rt-spfg101w / m,22.88,7893,green onions supply anti-glare screen protector for 10.1 16 9 hd widescreen,screen protectors,green,rt-spfg10101w / m,19.99
No,948,1204,0,948,edge 512mb 1x512mb pc2100 nonecc unbuffered 200 pin ddr sodimm,memory,edge,pe187378,22.88,1204,edge - memory - 512 mb - so dimm 200-pin - ddr - 266 mhz pc2100 - unbuffered - non-ecc,computers accessories,edge,,13.99
Yes,362,16307,1,362,xerox 108r00602 maintenance kit,printers,xerox,108r00602,110.84,16307,new-108r00602 maintenance kit case pack 1 - 513983,computer accessories,xerox,,327.94
Yes,1400,18727,1,1400,hp 82 cyan inkjet cartridge ch566a,printers,hp,hp ch566a,29.88,18727,ink hp 82 cyan ink cartridge-ch566a,computers accessories,hp,,
No,2126,2139,0,2126,pny 4gb sdhc memory card class 4,usb drives,pny,p-sdhc4g4-ef,8.98,2139,pny 4gb class 4 navy sd card,car audio video,pny,p-sdhc4g4-ef / navy,11.18
Yes,1846,15547,1,1846,canon psc-4100 deluxe soft case compatible with sx-30 canon camera,photography - general,canon,psc-4100,22.99,15547,canon psc-4100 deluxe fitted leather case for the powershot sx30 is sx20 is sx10 is sx1 is digital cameras black,cases bags,canon,5020b001,29.99
Yes,2037,8519,1,2037,corsair xms2 4 gb 2 x 2 gb pc2-6400 800 mhz 240-pin ddr2 dual-channel memory kit - twin2x4096-6400c5,memory,corsair,twin2x4096-6400c5,74.82,8519,corsair twin2x4096-6400c5c 4gb xms2 pc2-6400 800mhz 240-pin dual channel ddr2 desktop memory,memory,corsair,twin2x4096-6400c5c,49.98
Yes,848,3153,1,848,clarion half-din graphic equalizer with built-in crossover,car stereos,clarion,eqs746,99.99,3153,new clarion eqs746 half-din graphic equalizer with built-in crossover car stereo head units,memory card readers,clarion,,86.2
No,1258,21936,0,1258,da-lite video spectra 1.5 model c manual screen - 78 x 139 hdtv format,electronics - general,da-lite,82973,787.99,21936,da-lite model c hdtv format manual wall and ceiling screen 78 x 139 159 diagonal silver matte surface,projection screens,da-lite,,539.95
No,2201,14110,0,2201,pny 4gb micro swivel attache flash drive,printers,pny,,9.84,14110,pny micro swivel attach 4 gb usb 2.0 flash drive p-fdu4gbsv-ef gry grey,usb flash drives,pny,p-fdu4gbsv-ef / gry,15.51
Yes,2515,4424,1,2515,corsair 115gb solid state drive corsair force series,hard drives,corsair,cssdf115gbp2brk,261.25,4424,corsair force series 115 gb sata 3.0 gb-s 2.5-inch high performance sata ii solid state drive f115gb2-brkt-a,computer components,corsair,cssd-f115gb2-brkt-a,178.12
Yes,20,16837,1,20,mead spiral bound notebook college rule,stationery & office machinery,mead,6622,3.88,16837,new-mead 06622 - spiral bound notebook college rule 8-1 2 x 11 white 100 sheets pad - mea06622,storage presentation materials,mead,,12.24
Yes,1145,2867,1,1145,kodak easyshare m531 red 14mp digital camera w 3x optical zoom 2.7 lcd display w 50 bonus prints,digital cameras,kodak,m531 red,89.0,2867,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,digital cameras,kodak,,104.95
Yes,563,18915,1,563,bic wite-out shake n squeeze correction pen white 4-pack,stationery & office machinery,bic,wosqpp418-whi,8.39,18915,bic wosqpp418 - wite-out shake n squeeze correction pen 8 ml white 4 pack,hard drive bags,bic,,28.36
Yes,56,21964,1,56,edge tech proshot 4gb sdhc class 6 memory card,usb drives,edge tech,pe209780,10.88,21964,4gb edge proshot sdhc memory card class6,hard drive enclosures,edge,edgdm-209780-pe,11.87
No,292,4497,0,292,case logic universal mp3 sport case - medium,mp3 accessories,case logic,120579,11.99,4497,caselogic uma-102pink medium universal mp3 sport case pink,armbands,case logic,uma-102pink,12.99
No,1418,4752,0,1418,lexmark t650h11a black high-yield toner print cartridge,printers,lexmark,t650h11a,565.2,4752,lexmark t650 series print cartridge 7000 yield - genuine oem toner,laser printer toner,lexmark,,231.99
