label_str,ltable_id,rtable_id,label,title_x,category_x,brand_x,modelno_x,price_x,title_y,category_y,brand_y,modelno_y,price_y
No,2,18949,0,comprehensive two-piece 75 precision bnc jack for rg-59 set of 25 comprehensive bj-2c7559 59.25,tv accessories,,,,comprehensive bp-tw756 twist-on 75 precision bnc connectors for rg-6 19.49,connectors adapters,comprehensive,,
No,15,6272,0,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack avery,stationery & office machinery,,5029,21.47,avery 5314 self-adhesive address labels for copiers clear 1 x 2-13 16 660 labels pack shipping labels avery 14.7,,,5314,
No,16,15182,0,xfx radeon hd6850 pcie 1gb ddr5 graphics card 195.0,electronics - general,xfx,hd685xzndc,,xfx radeon hd 5770 1 gb ddr5 pcie graphics card hd577aznfc,computers accessories,xfx,hd577aznfc,
No,21,966,0,iogear 2-port miniview micro usb plus kvm switch iogear,networking,,gcs632uw6,37.57,iogear 8-port miniview ultra kvm switch gcs1758 kvm switches iogear,,,gcs1758,248.99
No,22,3334,0,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame stationery & office machinery 2305,,quartet,,91.44,universal 43613 - bulletin board natural cork 36 x 24 satin-finished aluminum frame,,universal,,51.0
No,22,11302,0,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame stationery & office machinery 2305,,quartet,,91.44,universal 43614 - universal bulletin board natural cork 48 x 36 satin-finished aluminum frame,,universal,,85.0
No,22,15108,0,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame stationery & office machinery 2305,,quartet,,91.44,acco brands inc. 2366 enclosed bulletin board natural cork fiberboard 72 x 36 aluminum frame audio video accessories kensington 620.69,,,,
No,22,15306,0,quartet cork bulletin board natural cork fiberboard 60 x 36 aluminum frame stationery & office machinery 2305,,quartet,,91.44,universal 43612 - bulletin board natural cork 24 x 18 satin-finished aluminum frame universal,,,,33.0
No,25,8668,0,hp ce278a black laserjet print cartridge hp 69.84,printers,,hp ce278a,,hp laserjet 53x black print cartridge in retail packaging printer ink toner hp,,,q7553x,134.99
No,25,8669,0,hp ce278a black laserjet print cartridge hp 69.84,printers,,hp ce278a,,hp laserjet 24a black print cartridge in retail packaging laser printer toner hp,,,q2624a,39.0
No,25,13010,0,hp ce278a black laserjet print cartridge hp 69.84,printers,,hp ce278a,,hp laserjet 61x black print cartridge in retail packaging - dual pack laser printer toner hp c8061d,,,,199.99
No,25,13622,0,hp ce278a black laserjet print cartridge hp 69.84,printers,,hp ce278a,,hp laserjet 38a black cartridge in retail packaging q1338a q1338a,laser printer toner,hp,,125.31
No,25,18732,0,hp ce278a black laserjet print cartridge hp 69.84,printers,,hp ce278a,,hp laserjet 11x black print cartridge in retail packaging laser printer toner hp q6511x,,,,171.99
No,34,3042,0,hp 45 black inkjet cartridge 51645a,printers,hp,51645a,35.78,hp no. 20 black ink cartridge c6614an hp 12.95,inkjet printer ink,,c6614an,
No,34,4979,0,hp 45 black inkjet cartridge 51645a,printers,hp,51645a,35.78,hp 20 black ink cartridge c6614dn inkjet printer ink hp,,,c6614dn,
No,34,5118,0,hp 45 black inkjet cartridge 51645a,printers,hp,51645a,35.78,epson t032120 black inkjet cartridge inkjet printer ink epson,,,t032120,14.2
No,41,8855,0,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module kingston ktd-dm8400a / 1g 22.92,memory,,,,kingston 256mb ddr2 sdram memory module 256mb 1 x 256mb ddr2 sdram 144pin kth-lj2015 256 kth-lj2015 / 256,memory,kingston,,9.6
No,41,8856,0,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module kingston ktd-dm8400a / 1g 22.92,memory,,,,kingston 8 gb ddr2 sdram memory module 8 gb 2 x 4 gb 667mhz ddr2 sdram ktd-ws667 8g,memory,kingston,ktd-ws667 / 8g,230.74
No,41,14770,0,kingston ktd-dm8400a 1g 1gb ddr2 sdram memory module kingston ktd-dm8400a / 1g 22.92,memory,,,,kingston 4 gb ddr2 sdram memory module 4 gb 2 x 2 gb 667mhz ddr2667 pc25400 ddr2 sdram 200pin kta-mb667k2 4g kingston kta-mb667k2 / 4g 49.99,memory,,,
No,43,10344,0,siig soundwave 5.1 channel pci sound card electronics - general,,siig,ic-510012-s2,19.84,asus pci 5.1 channel sound card xonar dg asus xonar_dg 20.99,,,,
No,43,20229,0,siig soundwave 5.1 channel pci sound card electronics - general,,siig,ic-510012-s2,19.84,sabrent sbt-sp6c 6-channel 5.1 surround sound 3d pci sound card internal sound cards sabrent 9.88,,,sbt-sp6c,
No,53,801,0,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite data pro thru-the-wall rear projection screen - 401 2 x 72 hdtv format 10185.3,projection screens,da-lite,23168,
No,53,6740,0,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format da-lite 2608.99,electronics - general,,27528,,da-lite data pro thru-the-wall rear projection screen - 52 x 92 hdtv format da-lite 15985.81,projection screens,,23181,
No,58,5531,0,sennheiser sh 350 ip binaural headset with noise canceling microphone,electronics - general,sennheiser,sh350ip,150.0,sennheiser pc 151 binaural headset with noise-canceling microphone volume control sennheiser pc 151 42.52,headsets microphones,,,
No,62,1673,0,blackberry leather sleeve for playbook tablet black blackberry acc-39311-301,electronics - general,,,29.88,research in motion sky blue zip sleeve for blackberry playbook tablet acc-39318-302 cases sleeves blackberry acc-39318-302,,,,22.71
No,62,3955,0,blackberry leather sleeve for playbook tablet black blackberry acc-39311-301,electronics - general,,,29.88,blackberry playbook 7-inch tablet 64gb blackberry 663.68,tablets,,prd-38548-003,
No,64,14347,0,los angeles lakers iphone 3g duo case electronics - general tribeca fva4005,,,,24.99,san antonio spurs iphone 3g duo case tribeca,computers accessories,,,9.99
No,64,15740,0,los angeles lakers iphone 3g duo case electronics - general tribeca fva4005,,,,24.99,miami heat iphone 3g duo case computers accessories tribeca,,,,9.99
No,65,1171,0,epson t020201 color ink cartridge epson t020201 27.0,printers,,,,epson t033520 light cyan inkjet cartridge,inkjet printer ink,epson,t033520,12.99
No,65,1174,0,epson t020201 color ink cartridge epson t020201 27.0,printers,,,,epson s189108 black ink cartridge inkjet printer ink epson,,,s189108,18.69
No,65,7138,0,epson t020201 color ink cartridge epson t020201 27.0,printers,,,,epson t042220 ink cartridge cyan,inkjet printer ink,epson,t042220,12.73
No,65,7146,0,epson t020201 color ink cartridge epson t020201 27.0,printers,,,,ld epson s020191 s191089 color compatible ink cartridge 4inkjets 6.95,inkjet printer ink,,,
No,65,20020,0,epson t020201 color ink cartridge epson t020201 27.0,printers,,,,primera tri-color ink cartridge primera technology 33.95,inkjet printer ink,,,
No,65,21448,0,epson t020201 color ink cartridge epson t020201 27.0,printers,,,,kodak color ink cartridge 8946501 inkjet printer ink 8946501,,kodak,,17.99
