label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
Yes,1359,1903,1,1359,sony bcvw1 ac charger for w series battery,photography - general,sony,bcvw1,44.88,1903,sony bcvw1 quick charger for w series batteries black,battery chargers,sony,bcvw1,44.88
Yes,1899,5458,1,1899,panasonic kx-fatc506 high yield cyan toner cartridge,printers,panasonic,kx-fatc506,89.84,5458,cyan toner cartridge for kx-mc6020 6040 high yield,printer ink toner,panasonic,kx-fatc506,81.57
Yes,261,5192,1,261,xerox 108r00645 imaging unit for phaser 6300 and 6350 printer,printers,xerox,108r00645,244.84,5192,xerox printers imaging unit phaser 6300 6350 108 r00645,printer ink toner,xerox,108r00645,253.79
Yes,131,5595,1,131,sabrent usb 2.0 wireless 802.11 g adapter,networking,sabrent,nt-wghu,24.88,5595,sabrent nt-wghu high-power 1000mw wireless usb 802.11 g adapter for wardriving range extension with 7 folding booster 6dbi,computers accessories,sabrent,nt-wghu,24.88
Yes,1037,12168,1,1037,planar 997-2797-00 pl series pl1910m lcd monitor,monitors,planar,997-2797-00,179.0,12168,planar pl1910m-bk 19-inch digital analog lcd monitor with speakers black,monitors,planar,997-2797-00,179.0
Yes,376,9389,1,376,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive,hard drives,toshiba,ph3100u-1e3s,89.0,9389,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver,external hard drives,toshiba,ph3100u-1e3s,80.23
Yes,1081,21587,1,1081,garmin gpsmap 78s 010-00864-01 marine gps navigator and world wide chartplotter,handheld gps,garmin,gpsmap 78s,399.88,21587,garmin gpsmap 78s 010-00864-01 marine gps navigator and world wide chartplotter,boating gps units chartplotters,garmin,010-00864-01,399.88
Yes,669,12490,1,669,creative labs sound blaster tactic3d alpha,electronics - general,creative labs,gh012000003,59.99,12490,creative labs 70gh012000003 sound blaster tactic 3d alpha usb gaming headset,accessories supplies,creative labs,70gh012000003,49.93
Yes,2405,8668,1,2405,hp laserjet 53x black print cartridge,printers,hp,q7553x,164.84,8668,hp laserjet 53x black print cartridge in retail packaging,printer ink toner,hp,q7553x,134.99
Yes,2474,14437,1,2474,cooler master hyper 212 plus universal cooler,electronics - general,coolermaster,rr-b10-212p-g1,29.99,14437,cooler master hyper 212 plus 120mm sleeve cpu cooler rr-b10-212p-g1,computers accessories,cooler master,rr-b10-212p-g1,27.66
Yes,1256,20411,1,1256,netgear wireless-n 150 access point wn604,networking,netgear,wn604-100nas,55.88,20411,wireless-n 150 access point,networking products,netgear,wn604-100nas,63.99
Yes,2276,12760,1,2276,lorex lne1001 easy connect network ip camera,computers,lorex,,121.84,12760,lorex lne1001 easy connect network ip remote surveillance camera white,surveillance cameras,lorex,lne1001,126.02
Yes,2245,3566,1,2245,scosche 1995-97 general motors sonoma chevrolet s10 rack kit color match,car stereos,scosche,gm1515b,9.88,3566,scosche gm1515b s10 rack kit for 1995-97 general motors sonoma chevrolet,power-cable terminals,scosche,gm1515b,9.88
Yes,15,4282,1,15,avery self-adhesive filing labels 1 3 cut 3-7 16 x 2 3 clear 450 pack,stationery & office machinery,avery,5029,21.47,4282,avery 5029 clear self-adhesive filing labels 3-7 16 x 2 3 30 sheet 450 pack,file folder labels,avery,5029,14.2
Yes,898,7383,1,898,tp-link tl-sc3171g wireless day night surveillance camera,garden - general,tp link,tl-sc3171g,172.0,7383,tl-sc3171g surveillance network camera - color,networking products,tp-link,tl-sc3171g,139.99
Yes,1183,11288,1,1183,vantec 2-port superspeed usb 3.0 expresscard 34,electronics - general,vantec,ugt-uc302cb,40.33,11288,vantec 2-port superspeed usb 3.0 expresscard 34,usb flash drives,vantec,ugt-uc302cb,37.99
Yes,1504,4817,1,1504,kensington wireless presenter pro with green laser pointer,stationery & office machinery,kensington,k72353us,59.88,4817,kensington k72353us wireless presenter pro with green laser pointer,laser pointers,kensington,k72353us,59.88
Yes,2039,7443,1,2039,startech.com pm1115u fast ethernet print server,networking,startech,pm1115u,40.84,7443,startech.com 10 100 mbps usb print server pm1115u,print servers,startech,pm1115u,35.23
