label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
No,1573,13416,0,1573,startech 3 slim 3.5 mm right angle stereo audio cable m m startech mu3mms2ra 7.88,electronics - general,,,,13416,startech.com mu3mmsra slim 3.5 mm to right angle stereo audio cable - m m 3 feet mu3mmsra,connectors adapters,startech,,3.48
No,1426,14635,0,1426,elite screens maxwhite vmax2 plus2 series 82 overall height ezelectric motorized screen - 92 diagonal electronics - general vmax92xwv2,,elite screens,,379.0,14635,maxwhite vmax2 plus2 series ezelectric motorized screen - 92 diagonal in white case projection screens elite 399.0,,,,
No,737,4752,0,737,lexmark t650a11a black toner print cartridge lexmark t650a11a,printers,,,202.87,4752,lexmark t650 series print cartridge 7000 yield - genuine oem toner lexmark 231.99,laser printer toner,,,
No,421,17330,0,421,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,17330,new-pendaflex 415213 - reinforced hanging file folders 1 3 tab kraft letter standard green 25 box - ess415213 pendaflex,laminating supplies,,,
No,626,6750,0,626,da-lite holoscreen rear projection screen - 22 x 33 3 4 video format da-lite 20030 1600.0,electronics - general,,,,6750,da-lite holo screen - projection screen rear video projectors da-lite,,,,
No,2224,6745,0,2224,da-lite video spectra 1.5 deluxe model b manual screen - 50 x 67 video format 73639 181.99,electronics - general,da-lite,,,6745,da-lite deluxe model b video spectra 1.5 - projection screen model b video spectra 1.5 125.95,projection screens,da-lite,,
No,2082,10869,0,2082,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format da-lite 73179 167.99,electronics - general,,,,10869,medium oak veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal da-lite,projection screens,,,
No,421,16820,0,421,pendaflex 2 reinforced hanging file folder standard green 25 box stationery & office machinery 4152x2,,,,24.94,16820,new-pendaflex rcy415215sgr - reinforced hanging file folders kraft letter standard green 25 box - essrcy415215sgr laminating supplies 38.0,,pendaflex,,
No,1511,21680,0,1511,canon powershot elph 100 hs blue 12.1 mp digital camera with 4x optical zoom 3.0 lcd 1080p hd video w 50 bonus prints digital cameras,,canon,4925b001aa,178.54,21680,canon powershot elph 100 hs 12 mp cmos digital camera with 4x optical zoom grey 179.0,point shoot digital cameras,canon,elph 100 hs - gy,
No,2432,6753,0,2432,da-lite matte white advantage manual with csr - hdtv format 159 diagonal 1080.63,electronics - general,da-lite,85743,,6753,da-lite advantage manual with csr - projection screen - 1 1 - high power projection screens da-lite,,,,
No,398,17563,0,398,pendaflex two-ply dark kraft file folders top tab brown 100 box rk15313 51.79,stationery & office machinery,,,,17563,pendaflex rk152 - two-ply dark kraft file folders straight cut top tab letter brown 100 box pendaflex,printers,,,
No,585,13589,0,585,iluv ipod nano 6g clear glare-free screen film mp3 accessories iluv,,,icc1113clr,11.88,13589,iluv icc1112clr ipod nano 6g clear type protective film apple,printers,,,
No,1534,5038,0,1534,griffin ipod touch 4g formfit case pink clear arkon,mp3 accessories,,gb01959,17.13,5038,griffin technology formfit for ipod touch 4g black clear cases griffin technology gb01957 7.4,,,,
No,787,14949,0,787,da-lite light oak veneer model b manual screen with high power fabric - 60 x 60 av format electronics - general da-lite,,,99731,310.99,14949,honey maple veneer model b manual screen with high power fabric - av format size 60 x 60 projection screens,,da-lite,,
No,2082,2689,0,2082,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format da-lite 73179 167.99,electronics - general,,,,2689,natural walnut veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal da-lite,projection screens,,,
No,2236,11637,0,2236,roocase executive portfolio leather case w 2 screen protector for blackberry playbook electronics - general,,roocase,220761,35.99,11637,roocase executive portfolio red leather case cover with landscape portrait view for blackberry playbook tablet wi-fi 4g roocase 20.0,cases sleeves,,,
No,978,2340,0,978,sharpie permanent markers fine point - black - 12 count,stationery & office machinery,sharpie,30001wm,8.24,2340,new-sharpie 1738519 - grip permanent marker fine point black dozen - san1738519 shredders sharpie 33.09,,,,
No,1513,5543,0,1513,snapshield p2 polycarbonate case ipad 2 smoke mp3 accessories scosche ipd2pcbk,,,,20.88,5543,scosche snapshield p2 polycarbonate case ipad 2 - purple ipd2pcpu ipd2pcpu 14.09,laptop netbook computer accessories,scosche,,
No,1608,11490,0,1608,western digital wd scorpio blue 320gb 5400rpm 2.5 sata hard drive wdbabc3200anc hard drives western digital wdbabc3200anc,,,,51.12,11490,western digital 320gb scorpio blue sataii 5400rpm 2.5 in 8mb bulk oem hard drive wd3200bevt internal hard drives 47.87,,western digital,wd3200bevt,
No,625,20429,0,625,da-lite da-glas standard rear projection screen 72 x 96 video format 27639 4448.99,electronics - general,da-lite,,,20429,da-lite 27660 da-glas deluxe rear projection screen - 72 x 96 video format projection screens da-lite,,,,
No,1924,19550,0,1924,accell premium series 10 usb 3.0 a b cable accell 13.88,electronics - general,,a111b-010b,,19550,new-3 premium series usb 3.0 a b cable - cl4640 accell,cables interconnects,,,10.49
No,742,14668,0,742,logitech m305 wireless mouse black,mice,logitech,910-001752,29.73,14668,logitech wireless mouse m305 vivid violet 910-002469 logitech 910-002469,mice,,,19.99
No,2349,12225,0,2349,brother tn110bk black toner cartridge printers,,brother,tn110bk,49.88,12225,brother tn-620 toner cartridge laser printer toner brother tn620 47.99,,,,
No,2371,1004,0,2371,ifrogz summit case for ipad 2 black mp3 accessories ifrogz ipad2sumblk,,,,59.99,1004,ifrogz summit case for ipad 2 - black with green snap-on shell ipad2-sum-grn cases sleeves,,ifrogz,ipad2-sum-grn,54.54
No,1571,10869,0,1571,da-lite honey maple veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format da-lite 87184,electronics - general,,,167.99,10869,medium oak veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal da-lite,projection screens,,,
No,2082,4739,0,2082,da-lite cherry veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format da-lite 73179 167.99,electronics - general,,,,4739,light oak veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal projection screens da-lite,,,,
No,1459,20526,0,1459,sentry headart extreme folding headphones black mp3 accessories sentry sentry dj style bk,,,,12.98,20526,sentry headart extreme folding headphones silver headphones 15.99,,sentry,,
No,219,729,0,219,microsoft wireless mobile mouse 4000 sgkomen pink microsoft,mice,,d5d-00052,20.0,729,microsoft wireless mobile mouse 4000 - berry pink mice d5d-00019,,microsoft,,15.25
No,688,2870,0,688,kodak easyshare m530 red 12mp digital camera w 3x optical zoom 2.7 lcd w 50 bonus prints digital cameras,,kodak,m530 red,99.54,2870,kodak easyshare m530 12mp digital camera w 3x wide angle optical zoom 2.7 lcd carbon 2gb sd card camera bag s table tripod 3 pieces cleaning kit sd card reader kodak,digital cameras,,,
No,1688,9336,0,1688,universal pressboard classification folder legal box of 10 red stationery & office machinery,,,82007,47.84,9336,universal 10316 - pressboard end tab classification folders legal six-section red 10 box,,universal,,
No,16,15183,0,16,xfx radeon hd6850 pcie 1gb ddr5 graphics card 195.0,electronics - general,xfx,hd685xzndc,,15183,xfx hd 6850 775m 1 gb ddr5 graphics card hd685xznfc graphics cards,,xfx,hd685xznfc,163.99
No,1571,2689,0,1571,da-lite honey maple veneer model b manual screen with matte white fabric - 60 x 60 diagonal video format da-lite 87184,electronics - general,,,167.99,2689,natural walnut veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal da-lite,projection screens,,,
No,1815,17249,0,1815,wilson jones super heavy weight sheet protector stationery & office machinery wilson jones 21403,,,,10.94,17249,new-wilson jones 21400 - super heavy weight sheet protector clear 50 box - wlj21400 storage presentation materials,,wilson jones,,28.0
No,1057,16735,0,1057,s j paper file jackets with 1 1 2 expansion letter 11 pt . manila 50 ctn stationery & office machinery,,s j paper,,45.69,16735,new-s j paper s11320 - file jackets with 1 1 2 inch expansion letter 11 point manila 50 box - sjps11320,laminating supplies,s j paper,,
No,95,1033,0,95,hp ce505xd black laserjet print cartridges 2pk hp hp ce505xd 258.84,printers,,,,1033,hp laserjet ce505x black print cartridge ce505x,laser printer toner,hp,,
No,2209,18420,0,2209,bankers box super stor drawer file ltr steel plastic 12-3 4 x 23 x 10-1 2 blk we 6 ctn bankers box 179.99,storage,,,,18420,new-bankers box 00372 - super stor drawer file storage box legal steel plastic black white 6 carton - fel00372 bankers box,storage presentation materials,,,
No,2461,7240,0,2461,filemate imagine series k2010 usb standard keyboard computers,,,,15.12,7240,wintec filemate imagine series k2010 usb standard keyboard - luminous red 3fmnk2010urd-r keyboards wintec 15.99,,,3fmnk2010urd-r,
No,2391,809,0,2391,da-lite high power model b manual screen with csr - 96 x 96 av format 85311 555.99,electronics - general,da-lite,,,809,da-lite model b with csr high power - projection screen projection screens da-lite high power 289.95,,,,
No,658,12878,0,658,keyspan usb twin serial adapter electronics - general keyspan 70.73,,,usa-28xg,,12878,keyspan usa-28x external usb to serial adapter connectors adapters keyspan,,,,
