label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
Yes,376,9389,1,376,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive hard drives toshiba ph3100u-1e3s,,,,89.0,9389,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver ph3100u-1e3s,external hard drives,toshiba,,80.23
Yes,1365,18372,1,1365,los angeles lakers ipod touch 4g hard case fva4614,electronics - general,tribeca,,29.99,18372,los angeles lakers ipod touch 4g hard case tribeca,computers accessories,,,29.99
No,1153,7242,0,1153,filemate imagine series m2810 usb standard mouse 8.98,computers,,,,7242,wintec filemate imagine series m2810 usb standard mouse - white with light green 3fmnm2810ugn-r wintec 3fmnm2810ugn-r 11.99,mice,,,
Yes,1356,11269,1,1356,viewsonic pjd7383 dlp projector pjd7383 729.0,electronics - general,viewsonic,,,11269,viewsonic pjd7383 xga 1024x768 ultra short throw dlp projector - 3000 lumens 3000 1 dcr 120hz 3d ready 10w speakers video projectors,,viewsonic,pjd7383,764.99
Yes,709,1096,1,709,griffin ipod touch 4g screen care kit 3 pack arkon gb01913 13.3,mp3 accessories,,,,1096,griffin gb01913 screen care kit for ipod touch 4g 3 pack cases griffin technology gb01913 11.17,,,,
Yes,1081,21587,1,1081,garmin gpsmap 78s 010-00864-01 marine gps navigator and world wide chartplotter handheld gps 399.88,,garmin,gpsmap 78s,,21587,garmin gpsmap 78s 010-00864-01 marine gps navigator and world wide chartplotter boating gps units chartplotters,,garmin,010-00864-01,399.88
No,1688,16652,0,1688,universal pressboard classification folder legal box of 10 red stationery & office machinery,,,82007,47.84,16652,pendaflex 2157r - pressboard classification folders legal four-section red 10 box,storage presentation materials,pendaflex,,
Yes,2006,13921,1,2006,cables unlimited usb 2.0 7 port hub with power electronics - general usb-1870,,cables unlimited,,27.0,13921,cables unlimited usb1870 usb 2.0 7-port desktop hub with power hubs 24.99,,cables unlimited,usb-1870,
Yes,56,21964,1,56,edge tech proshot 4gb sdhc class 6 memory card edge tech pe209780 10.88,usb drives,,,,21964,4gb edge proshot sdhc memory card class6 hard drive enclosures edge edgdm-209780-pe,,,,11.87
Yes,1868,4494,1,1868,q-see qsdb8209c 2.4 inches digital wireless monitoring system night vision and audio camera garden - general q-see qsdb8209c,,,,129.82,4494,q-see qsdb8209c 2.4-inch digital wireless portable monitor with wireless night vision and audio camera q-see qsdb8209c 82.52,surveillance cameras,,,
Yes,1657,16332,1,1657,guardian flexstep antifatigue polypropylene rubber mat 24 x 36 black home care 24020300 36.97,,guardian,,,16332,guardian 24020300 - flexstep rubber antifatigue mat polypropylene 24 x 36 black printer accessories guardian,,,,
Yes,2028,12891,1,2028,acer iconia tablet bluetooth keyboard laptop computers acer,,,a500k01,49.0,12891,acer iconia tab bluetooth keyboard keyboards,,acer,bluetooth keyboard,46.99
Yes,81,17194,1,81,innovera heavyweight photo paper matte 8-1 2 x 11 50 sheets pack stationery & office machinery innovera 11.7,,,99650,,17194,innovera 99650 - heavyweight photo paper matte 8-1 2 x 11 50 sheets pack innovera,antitheft,,,29.73
No,1091,10988,0,1091,hon 600 series two-drawer lateral file black hon,stationery & office machinery,,682lp,449.94,10988,hon 692ll - 600 series two-drawer lateral file 42w x19-1 4d putty printers,,hon,,
No,2126,2139,0,2126,pny 4gb sdhc memory card class 4 pny p-sdhc4g4-ef 8.98,usb drives,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,
No,786,12785,0,786,da-lite video spectra 1.5 model c with csr manual screen - 58 x 104 hdtv format da-lite,electronics - general,,82980,736.99,12785,da-lite model c with csr - projection screen - 1 1 - video spectra 1.5 with csr,projection screens,da-lite,,401.95
Yes,1031,13438,1,1031,sony 39 lightweight camera and camcorder tripod vct-r100 vctr100,camera and camcorder accessories,sony,,24.54,13438,sony vct-r100 lightweight compact tripod with 3-way pan tilt head digital camera accessories sony 24.54,,,vctr100,
Yes,669,12490,1,669,creative labs sound blaster tactic3d alpha,electronics - general,creative labs,gh012000003,59.99,12490,creative labs 70gh012000003 sound blaster tactic 3d alpha usb gaming headset 49.93,accessories supplies,creative labs,70gh012000003,
Yes,97,15904,1,97,lacie firewire 800 expresscard 34,electronics - general,lacie,lac130992,45.0,15904,lacie fw 800 expresscard 34 lacie 44.24,computers accessories,,130992,
No,2434,4727,0,2434,da-lite high power model b manual screen - 72 x 72 av format electronics - general 33424,,da-lite,,229.99,4727,da-lite model b high power - projection screen - 72 in 183 mm projection screens high power 174.95,,da-lite,,
Yes,1832,432,1,1832,arkon sgt-7ss sun shade for samsung galaxy tab arkon,car stereos,,sgt-7ss,16.88,432,arkon sun shade for samsung galaxy tab touch screen tablet accessories arkon 16.88,,,sgt-7ss,
Yes,2076,18297,1,2076,ampad spiral steno book gregg rule 6 canary 70 sheets stationery & office machinery ampad 25473 5.15,,,,,18297,new-ampad 25473 - spiral steno book gregg rule 6 x 9 canary 100 sheets - amp25473 ampad 18.0,storage presentation materials,,,
Yes,741,11537,1,741,simplism shoulder case for ipad red mp3 accessories simplism trlcslipaddren,,,,58.76,11537,simplism leather collection shoulder leather case for ipad deep red cases sleeves,,simplism,tr-lcslipad-dr/en,21.85
Yes,2483,11841,1,2483,kenwood 6.5 2-way 160w speaker system kfc-1652 kenwood 29.99,stereos/audio,,kfc-1652,,11841,kenwood kfc-1652s 6.5-inch 160 watt max power dual cone speaker system coaxial speakers kenwood kfc-1652s 23.75,,,,
Yes,2332,18200,1,2332,da-lite da-plex self trimming rear projection screen - 40 1 4 x 53 3 4 video format 27580 1892.99,electronics - general,da-lite,,,18200,da-plex base rear projection screen - 40 1 4 x 53 3 4 video format projection screens da-lite 1525.99,,,,
Yes,803,4121,1,803,scosche ka2064b 2005 kia sportage iso kit,car stereos,scosche,ka2064b,15.88,4121,scosche ka2064b dash kit for 2005 and up kia sportage dash mounting kits ka2064b,,scosche,,10.99
No,1317,9408,0,1317,tenba mixx shoulder bag large 136902 85.99,mp3 accessories,tenba,,,9408,tenba 638-621 mixx large camera shoulder bag black black tenba,cases bags,,638-621,
Yes,107,12090,1,107,targus 17 groove backpack for laptops black 37.88,electronics - general,targus,cvr617,,12090,targus groove backpack case designed for 17 inch laptops cvr617 black cvr617 34.99,laptop netbook computer accessories,targus,,
