label_str,ltable_id,rtable_id,label,id_x,title_x,category_x,brand_x,modelno_x,price_x,id_y,title_y,category_y,brand_y,modelno_y,price_y
Yes,2531,19976,1,2531,night owl security products wired color security camera with 60 of cable night owl 49.71,garden - general,,cam-cm01-245,,19976,night owl security products cam-cm01-245 wired color security camera with 60 of cable bullet cameras cam-cm01-245 39.99,,night owl optics,,
Yes,2074,17803,1,2074,basyx return shell 48-1 4 x24 x29 medium cherry furniture 252.0,,basyx,,,17803,new-basyx bl2145a1a1 - bl series return shell 48-1 4w x 24d x 29h medium cherry - bsxbl2145a1a1 laminating supplies basyx 194.0,,,,
Yes,1899,5458,1,1899,panasonic kx-fatc506 high yield cyan toner cartridge printers panasonic kx-fatc506,,,,89.84,5458,cyan toner cartridge for kx-mc6020 6040 high yield printer ink toner panasonic kx-fatc506,,,,81.57
Yes,155,3446,1,155,sumdex slr camera sling pack 39.99,mp3 accessories,sumdex,144952,,3446,slr camera sling pack sumdex poc-484bk,cases bags,,,44.59
Yes,261,5192,1,261,xerox 108r00645 imaging unit for phaser 6300 and 6350 printer xerox 108r00645,printers,,,244.84,5192,xerox printers imaging unit phaser 6300 6350 108 r00645 108r00645,printer ink toner,xerox,,253.79
Yes,2219,245,1,2219,kensington wrist pillow foam keyboard platform wrist rest black electronics - general kensington 34801,,,,22.0,245,new-wrist pillow foam keyboard platform wrist rest case pack 1 - 516275 keyboards,,kensington,,50.53
Yes,1037,12168,1,1037,planar 997-2797-00 pl series pl1910m lcd monitor planar 997-2797-00 179.0,monitors,,,,12168,planar pl1910m-bk 19-inch digital analog lcd monitor with speakers black planar 179.0,monitors,,997-2797-00,
Yes,376,9389,1,376,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive hard drives toshiba ph3100u-1e3s,,,,89.0,9389,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver ph3100u-1e3s,external hard drives,toshiba,,80.23
Yes,415,20385,1,415,quartet magnetic dry-erase board mahogany frame stationery & office machinery quartet,,,2544m,419.0,20385,new-quartet 2544m - magnetic dry erase board porcelain 48 x 36 white solid mahogany frame - qrt2544m quartet 426.29,radios,,,
Yes,2405,8668,1,2405,hp laserjet 53x black print cartridge q7553x 164.84,printers,hp,,,8668,hp laserjet 53x black print cartridge in retail packaging printer ink toner hp,,,q7553x,134.99
Yes,284,2675,1,284,netgear powerline av 500 adapter networking netgear,,,xav5001100nas,79.82,2675,netgear xav5001 powerline av 500 adapter powerline network adapters netgear,,,xav5001-100nas,69.99
Yes,898,7383,1,898,tp-link tl-sc3171g wireless day night surveillance camera garden - general tp link tl-sc3171g,,,,172.0,7383,tl-sc3171g surveillance network camera - color networking products,,tp-link,tl-sc3171g,139.99
Yes,1504,4817,1,1504,kensington wireless presenter pro with green laser pointer k72353us,stationery & office machinery,kensington,,59.88,4817,kensington k72353us wireless presenter pro with green laser pointer laser pointers 59.88,,kensington,k72353us,
Yes,1437,11704,1,1437,plantronics usb-to-headset adapter plantronics,electronics - general,,da-40,27.98,11704,plantronics headset to usb adapter da40 accessories supplies plantronics da40,,,,27.98
Yes,561,18152,1,561,da-lite da-plex self trimming rear projection screen - 96 x 120 av format da-lite 7799.99,electronics - general,,27903,,18152,da-lite 27903 da-plex self trimming rear projection screen - 96 x 120 av format da-lite,projection screens,,,
Yes,2374,3051,1,2374,hp 920 cyan officejet ink cartridge ch634an printers hp ch634an # 140,,hp,,13.97,3051,hp 920 cyan ink cartridge in retail packaging ch634an 140 printer ink toner hp ch634an # 140,,,,
Yes,2379,10267,1,2379,axis gk-013 107-key ps 2 keyboard black computers,,axis,gk-013,9.72,10267,axis gk-013 107 key ps 2 keyboard black keyboards axis communications,,,gk-013,15.52
Yes,1512,20844,1,1512,uniden d1680 dect 6.0 with caller id and call waiting 33.84,electronics - general,uniden,d1680,,20844,new-uniden d1680 dect 6.0 cordless phone system with answering system call waiting caller id single-handset system - unnd1680 cordless telephones 37.87,,uniden,,
Yes,2149,4784,1,2149,kodak easyshare m552 dark pink 14mp digital camera w 5x optical zoom 2.7 lcd display w 50 bonus prints kodak,digital cameras,,m552pink,94.54,4784,kodak easyshare m552 14 mp digital camera with 5x optical zoom and 2.7-inch lcd - dark pink new model point shoot digital cameras,,kodak,1942390,
Yes,217,5274,1,217,imation 32gb pocket flash drive imation 27860,usb drives,,,77.21,5274,usb 32gb pocket flash drive imation,car audio video,,27860,44.02
Yes,1195,5364,1,1195,targus 17 platinum blacktop standard laptop computer case black gray electronics - general 46.88,,targus,cpt301us,,5364,targus platinum blacktop 17 standard laptop case - notebook carrying case - 17 - gray black bags cases 35.17,,targus,cpt301us,
